Date,Supplier,Amount
23/10/2014,INSTITUTE OF FISCAL ST,£528.00
24/10/2014,INSTITUTE OF FISCAL ST,£528.00
28/10/2014,CIVIL SERVICE COLLEGE,£594.00
27/10/2014,REDACTIVE,£564.00
10/10/2014,DEPARTMENT OF HEALTH,£531.23
02/10/2014,WWW.BL.UK R/T,£657.47
03/10/2014,DUNCAN & TODD,£679.20
27/10/2014,CIVIL SERVICE LEARNING,£846.00
08/10/2014,VODAFONE LTD,£924.00
13/10/2014,GOV TODAY,£948.00
15/10/2014,REGUS,£840.00
16/10/2014,CIVIL SERVICE COLLEGE,£660.00
23/10/2014,THE OPERATIONAL RE,£660.00
23/10/2014,THE OPERATIONAL RE,£660.00
14/10/2014,HEALTHCARE FINANCIAL M,£906.00
14/10/2014,HEALTHCARE FINANCIAL M,£906.00
13/10/2014,GUY'S & ST THOMAS' NHS,£942.30
