Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Item Text,Amount
Communities & Local Government,PINS,03/11/2014,Recruitment/Procurement Advertising,Human Resources,LEXIS NEXIS              LONDON,1000000758,Recr ,714.00
Communities & Local Government,PINS,04/11/2014,Training,Inspector Costs,WP-HAYMARKET PUBLI       LONDON,1000000762,Training course,454.79
Communities & Local Government,PINS,10/11/2014,Catering,Operations,WLDC ATP                 ORMSKIRK,1000000766,Lunch/Refreshments & Photocopying,261.92
Communities & Local Government,PINS,11/11/2014,Training,Inspector Costs,WP-HAYMARKET PUBLI       LONDON,1000000767,Training Course,358.80
Communities & Local Government,PINS,12/11/2014,"IT - PC, Network & Hardware",ICT Business Partner,WWW.TONERGIANT.CO.UK     M'CHESTER M46,1000000768,HP Officejet Pro 8600 Printers x 12,"1,966.56"
Communities & Local Government,PINS,12/11/2014,"IT - PC, Network & Hardware",ICT Business Partner,WWW.TONERGIANT.CO.UK     M'CHESTER M46,1000000768,HP Officejet Pro 8600 Printers x 12,"-1,966.56"
Communities & Local Government,PINS,12/11/2014,Training,Human Resources,UNI OF WEST ENGLAN      ,1000000769,Tuition ,"2,000.00"
Communities & Local Government,PINS,12/11/2014,Training,Human Resources,WWW.EPAY.EXETER.AC.UK/EP EXETER,1000000769,Mstr in Public Admin ,"2,854.00"
Communities & Local Government,PINS,17/11/2014,Training,Human Resources,WWW.QA.COM               INTERNET,1000000772,Pr 1 & 2 ,999.00
Communities & Local Government,PINS,19/11/2014,Training,Inspector Costs,TCPA WEB INTERNET        LONDON SW1Y,1000000778,Training course for Inspector,384.00
Communities & Local Government,PINS,19/11/2014,Training,Inspector Costs,WP-HAYMARKET PUBLI       LONDON,1000000778,Training Course for Inspector,358.80
Communities & Local Government,PINS,24/11/2014,Catering,Operations,MARRIOTT                 BOURNEMOUTH,1000000783,Navitus Bay hearings - catering,288.00
Communities & Local Government,PINS,24/11/2014,Training,Strategy & Communications,CIVIL SERVICE LEARNING   INTERNET,1000000781,Training GPC Card,408.00
Communities & Local Government,PINS,25/11/2014,Training,Strategy & Communications,MERCURE BRISTOL          BRISTOL GLOUC,1000000785,TRAINING EVENT ROOM HIRE,592.00
Communities & Local Government,PINS,25/11/2014,Training,Inspector Costs,WP-HAYMARKET PUBLI       LONDON,1000000784,Training Course for Inspector,358.80
Communities & Local Government,PINS,26/11/2014,"IT - PC, Network & Hardware",ICT Business Partner,AMAZONPAYMENTS.CO.UK     AMAZON.CO.UK,1000000786,HP Officejet Pro 8600 Inkjet Printer x 12,"2,010.37"
Communities & Local Government,PINS,26/11/2014,"IT - PC, Network & Hardware",ICT Planning & Strategy,EBUYER (UK) LTD          SHEFFIELD,1000000786,"Projectors - Epson x 1, Optoma x 3","1,573.21"
