objectid,nawer17cd,nawer17nm,nawer17nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,W10000001,North Wales,Gogledd Cymru,282470,346124,-3.75275,52.999512,6172743387.72514,1154801.36028585
2,W10000006,Mid and West Wales,Canolbarth a Gorllewin Cymru,290528,263540,-3.60533,52.259109,10974140655.2441,1499906.86443058
3,W10000007,South Wales Central,Canol De Cymru,303521,175398,-3.39039,51.469292,473532115.597591,145290.702905078
4,W10000008,South Wales East,Dwyrain De Cymru,328056,205411,-3.0434,51.74276,1665006460.73263,326672.092326541
5,W10000009,South Wales West,Gorllewin De Cymru,290764,195737,-3.5803,51.64978,1496828174.12806,449937.051187966
