Department Family                                 ,Entity                                            ,Date                   ,Expense Type                                      ,Expense Area                                      ,Supplier                                          ,Transaction Number                                ,Amount               ,VAT Registration Number                           
--------------------------------------------------,--------------------------------------------------,-----------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,---------------------,--------------------------------------------------
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Agency Temporary Staff Costs                      ,VE Production Special Effects                     ,Spring Personnel                                  ,CADPINVSM0000008330                               ,             633.9200,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,B/S - Tangible Fixed Assets - Exhibi              ,PEG Visitor Offer Strat Non Exh Proj              ,Fraser Randall                                    ,CADPINVSM0000008333                               ,            5300.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,B/S - Tangible Fixed Assets - Exhibi              ,PEG Visitor Offer Strat Non Exh Proj              ,Universal Design Studio Ltd                       ,CADPINVSM0000008336                               ,            3560.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,B/S - Tangible Fixed Assets Fixtures              ,Collections Committee (Furniture)                 ,Rackline Ltd                                      ,CADPINVSM0000008319                               ,           35000.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Elec Works                                        ,Estates Engineering                               ,Emcor Facility Services Ltd                       ,CADPINVSM0000008323                               ,            6121.4400,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Equip Hire & Maintenance (Leases)                 ,Zoology Facility                                  ,Labcold Ltd                                       ,CADPINVSM0000008338                               ,             245.5000,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Equipment < £5k                                   ,Sci L&A Archives                                  ,Eltek Ltd                                         ,CADPINVSM0000008339                               ,               0.0100,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Equipment < £5k                                   ,Sci L&A Archives                                  ,Eltek Ltd                                         ,CADPINVSM0000008339                               ,               1.2300,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Equipment < £5k                                   ,Sci L&A Archives                                  ,Eltek Ltd                                         ,CADPINVSM0000008339                               ,              15.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Equipment < £5k                                   ,Sci L&A Archives                                  ,Eltek Ltd                                         ,CADPINVSM0000008339                               ,              32.7800,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Equipment < £5k                                   ,Sci L&A Archives                                  ,Eltek Ltd                                         ,CADPINVSM0000008339                               ,              35.2400,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Equipment < £5k                                   ,Sci L&A Archives                                  ,Eltek Ltd                                         ,CADPINVSM0000008339                               ,             400.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Equipment < £5k                                   ,Sci L&A Archives                                  ,Eltek Ltd                                         ,CADPINVSM0000008339                               ,             430.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Equipment < £5k                                   ,Zoology Facility                                  ,Eltek Ltd                                         ,CADPINVSM0000008340                               ,              25.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Equipment < £5k                                   ,Zoology Facility                                  ,Eltek Ltd                                         ,CADPINVSM0000008340                               ,             200.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Equipment < £5k                                   ,Zoology Facility                                  ,Eltek Ltd                                         ,CADPINVSM0000008340                               ,             236.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Equipment < £5k                                   ,Zoology Facility                                  ,Eltek Ltd                                         ,CADPINVSM0000008340                               ,             250.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Equipment < £5k                                   ,Zoology Facility                                  ,Eltek Ltd                                         ,CADPINVSM0000008340                               ,             400.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Equipment < £5k                                   ,Zoology Facility                                  ,Eltek Ltd                                         ,CADPINVSM0000008340                               ,             550.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Equipment < £5k                                   ,Zoology Facility                                  ,Eltek Ltd                                         ,CADPINVSM0000008340                               ,             860.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Equipment < £5k                                   ,Estates Engineering                               ,Emcor Facility Services Ltd                       ,CADPINVSM0000008324                               ,            2314.2300,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Equipment < £5k                                   ,VE Production Special Effects                     ,Golding Audio Ltd                                 ,CADPINVSM0000008332                               ,            4614.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Exhibition Production                             ,PEG Visitor Offer Strat Non Exh Proj              ,Emcor Facility Services Ltd                       ,CADPINVSM0000008334                               ,             527.3900,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Irrecoverable VAT                                 ,DCS Finance                                       ,Apple Computer                                    ,CADPINVSM0000008325                               ,               4.5500,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Irrecoverable VAT                                 ,DCS Finance                                       ,CSA Waverley Ltd                                  ,CADPINVSM0000008321                               ,             151.3000,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Irrecoverable VAT                                 ,DCS Finance                                       ,Dell Computer Corporation Ltd                     ,CADPINVSM0000008322                               ,               7.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Irrecoverable VAT                                 ,Zoology Admin                                     ,Eltek Ltd                                         ,CADPINVSM0000008340                               ,             206.6200,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Irrecoverable VAT                                 ,Zoology Admin                                     ,Labcold Ltd                                       ,CADPINVSM0000008338                               ,              40.2400,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,IT Maintenance                                    ,DCS ICT (Info Computer Techonology)               ,CSA Waverley Ltd                                  ,CADPINVSM0000008321                               ,           23788.6800,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,MF - IT Equipment < £5k                           ,DCS ICT (Info Computer Techonology)               ,Apple Computer                                    ,CADPINVSM0000008325                               ,             716.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,MF - IT Equipment < £5k                           ,DCS ICT (Info Computer Techonology)               ,Dell Computer Corporation Ltd                     ,CADPINVSM0000008322                               ,             119.1900,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,MF - IT Equipment < £5k                           ,DCS ICT (Info Computer Techonology)               ,Dell Computer Corporation Ltd                     ,CADPINVSM0000008322                               ,             981.2200,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,P/L - Est Irrecoverable VAT R/Costs               ,Estates Management                                ,Emcor Facility Services Ltd                       ,CADPINVSM0000008323                               ,              38.9300,                                                  
DCMS                                              ,NHM                                               ,2012-06-28 00:00:00.000,P/L - Est Water/Sewage                            ,Estates Engineering                               ,Emcor Facility Services Ltd                       ,CADPINVSM0000008356                               ,             588.6000,                                                  
DCMS                                              ,NHM                                               ,2012-06-28 00:00:00.000,P/L - Est Water/Sewage                            ,Estates Engineering                               ,Emcor Facility Services Ltd                       ,CADPINVSM0000008361                               ,            1271.1900,                                                  
DCMS                                              ,NHM                                               ,2012-06-28 00:00:00.000,Specimen Conservation                             ,Palaeontology Curation                            ,Univar Limited                                    ,CADPINVSM0000008343                               ,              29.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-28 00:00:00.000,Specimen Conservation                             ,Palaeontology Curation                            ,Univar Limited                                    ,CADPINVSM0000008343                               ,              99.5000,                                                  
DCMS                                              ,NHM                                               ,2012-06-28 00:00:00.000,Specimen Conservation                             ,Palaeontology Curation                            ,Univar Limited                                    ,CADPINVSM0000008343                               ,             247.5000,                                                  
DCMS                                              ,NHM                                               ,2012-06-28 00:00:00.000,Specimen Conservation                             ,Palaeontology Curation                            ,Univar Limited                                    ,CADPINVSM0000008343                               ,             506.5000,                                                  
