Permanent Secretary,Date,Name of Organisation,Purpose of meeting
Martin Donnelly,Jan-2014,Westminster Abbey Institute,To discuss the Westminster Abbey Institute
Martin Donnelly,Feb-2014,Chemical Industries Association,To discuss the Chemical Industries Association
Martin Donnelly,Feb-2014,Eisai,To discuss Eisai’s business interests in UK and Japan
Martin Donnelly,Feb-2014,Keidanren,To discuss Japanese business interests in the UK
Martin Donnelly,Feb-2014,Honda,To discuss Honda business interests in the UK
Martin Donnelly,Feb-2014,Toyota ,To discuss Toyota’s business interests in the UK
Martin Donnelly,Feb-2014,L’Oreal,Introductory Meeting
Martin Donnelly,Feb-2014,"Telefonica Europe, BIS Non-Exec Board Member",To discuss corporate venture capital
Martin Donnelly,Mar-2014,University of Cambridge,To discuss Cambridge University
Martin Donnelly,Mar-2014,The Russell Group,To discuss higher education
Martin Donnelly,Mar-2014,Confederation of British Industry,Regular meeting
Martin Donnelly,Mar-2014,NuScale Power,To discuss nuclear issues
Martin Donnelly,Mar-2014,John Lewis Partnership,General catch up
Martin Donnelly,Mar-2014,Enlightment Economics,General catch up
Martin Donnelly,Mar-2014,University of Aberdeen,To discuss higher education
Sir Mark Walport,Jan-2014,Agricultural Biotechnology Council (ABC),Introductory meeting
Sir Mark Walport,Jan-2014,National Centre for Universities and Business (NCUB),Introductory meeting
Sir Mark Walport,Jan-2014,British Science Association,To discuss science education
Sir Mark Walport,Jan-2014,University of Oxford,To discuss science issues
Sir Mark Walport,Jan-2014,The Royal Society,To discuss science issues
Sir Mark Walport,Jan-2014,Arthritis Research UK,Update on current issues
Sir Mark Walport,Feb-2014,Lloyd’s Register,To discuss Big Data
Sir Mark Walport,Feb-2014,HSBC,To discuss Big Data
Sir Mark Walport,Feb-2014,London School of Economics,To discuss computer based trading
Sir Mark Walport,Feb-2014,Bank of England,To discuss science issues
Sir Mark Walport,Mar-2014,University of Helsinki,To discuss science policy
Sir Mark Walport,Mar-2014,Royal Academy of Engineering,To discuss energy issues
Sir Mark Walport,Mar-2014,NuScale Power,To discuss energy issues
