Full Property Address,Property Reference Number,Current Rateable Value,Current Relief Type Description,Primary Liable party name,Account Start date,Account Reference Number
"53, Market Street, Dalton In Furness, Cumbria, LA15 8AP",112287600532N,2700,Small Business Relief England,Hartleys On The Hoof Ltd,25/08/2010,5000014382
"54, Crellin Street, Barrow In Furness, Cumbria, LA14 1DS",105314400540N,3800,Small Business Relief England,Acacia Taxis Ltd,01/04/1990,5000000700
"55, Market Street, Dalton In Furness, Cumbria, LA15 8AP",112287600550N,3250,Small Business Relief England,South Lakes Lettings Ltd,19/11/2012,5000015728
"56, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600560N,6800,Increased Retail Relief,"R Forrest Ltd,",01/04/1990,5000000447
"5-7, Dalton Road, Barrow In Furness, Cumbria, LA14 1HX",105117300050N,17250,Increased Retail Relief,Post Office Limited,01/04/2014,5000016343
"58-60, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600580N,12750,Increased Retail Relief,Mr Gee'S Ltd,01/12/2001,5000009339
"58-60, Dominion Street, Barrow In Furness, Cumbria, LA14 3BW",102418600600N,5500,Small Business Relief England,Davis & Hadwin Ltd,01/04/1990,5000000094
"58-64, Dalton Road, Barrow In Furness, Cumbria, LA14 1JB",105117300580N,22500,Increased Retail Relief,Diggle Ltd,01/04/1990,5000000481
"58, Scott Street, Barrow In Furness, Cumbria, LA14 1QE",104562500581N,1375,Small Business Relief England,Beckside Management Ltd,20/01/2014,5000016252
"59, School Street, Barrow In Furness, Cumbria, LA14 1EW",105162300590N,3450,Empty Property Rate Non-Industrial,R & B Properties Ltd,08/08/2014,5000016638
"5, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",105111600050N,7200,Empty Property Rate Non-Industrial,Caroline Martin Property Limited,23/04/2014,5000016821
"5, Rowlinson Place, Dalton In Furness, Cumbria, LA15 8DH",112289209070N,1250,Small Business Relief England,S & P Higginson Ltd,01/04/1990,5000001161
"5, The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",105117309092N,3650,Empty Property Rate Non-Industrial,Barrow Borough Council,01/04/2010,5000015312
"61, Cavendish Street, Barrow In Furness, Cumbria, LA14 1QD",105111600611N,9100,Increased Retail Relief,Richard Haynes Ltd,04/04/2002,5000009579
"61, Cavendish Street, Barrow In Furness, Cumbria, LA14 1QD",105111600611N,9100,Small Business Relief England,Richard Haynes Ltd,04/04/2002,5000009579
"63, Cavendish Street, Barrow In Furness, Cumbria, LA14 1QD",105111600630N,6500,Increased Retail Relief,St Johns Hearing Aid Centre,02/05/2014,5000016499
"64-68, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600641N,19000,Increased Retail Relief,Identityco Limited,05/04/2005,5000015137
"65, Duke Street, Barrow In Furness, Cumbria, LA14 1RW",105119500650N,11750,Small Business Relief England,Brown Barron & Co,01/04/1990,5000000555
"66-68, Dalton Road, Barrow In Furness, Cumbria, LA14 1JB",105117300681N,15750,Increased Retail Relief,J N Murray Ltd,01/11/1994,5000004395
"66, Hindpool Road, Barrow In Furness, Cumbria, LA14 2ND",104531200660N,3150,Small Business Relief England,Speed Of Sound Ltd,01/01/2001,5000008645
"69, Scott Street, Barrow In Furness, Cumbria, LA14 1QE",104562500690N,4100,Small Business Relief England,C & S Davies Ltd,01/05/1997,5000006014
"6, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000060N,34250,Increased Retail Relief,Vodafone Ltd,17/10/1997,5000006932
"71-79, School Street, Barrow In Furness, Cumbria, LA14 1EJ",105162300711N,18250,Mandatorary Relief,Barrow & District Disability Assoc,08/01/2001,5000008774
"71, Buccleuch Street, Barrow In Furness, Cumbria, LA14 1QQ",104508900710N,1625,Increased Retail Relief,"Shaw Hadwin Coaches,",01/04/1990,5000000369
"72, Market Street, Dalton In Furness, Cumbria, LA15 8AA",113187600720N,8100,Small Business Relief England,Market Street House Ltd,17/10/2013,5000016198
"74, Dalton Road, Barrow In Furness, Cumbria, LA14 1JB",105117300740N,10750,Small Business Relief England,"Burrow'S Tool Factors,",01/04/1990,5000000486
"75-77, Market Street, Dalton In Furness, Cumbria, LA15 8DL",112287600750N,11500,Increased Retail Relief,Lloyds Pharmacy Ltd,01/11/1991,5000001896
"76, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600760N,8800,Empty Property Rate Non-Industrial,Farrell Heyworth Ltd,21/03/2013,5000015793
"76,, Duke Street, Barrow In Furness, Cumbria, LA14 1RX",105119500761N,7200,Small Business Relief England,Furness Prop Let. & Mgt Ltd,06/12/2004,5000011635
"76, Warwick Street, Barrow In Furness, Cumbria, LA14 5HB",107274500761N,5100,Mandatorary Relief,"British Red Cross,",15/06/1991,5000001832
"79, Market Street, Dalton In Furness, Cumbria, LA15 8DL",112287600793N,4200,Increased Retail Relief,Greggs Of Cumbria,01/04/1992,5000002241
"7, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",105111600070N,4550,Small Business Relief England,Marsha Lea Bridal Studio Ltd,27/11/2000,5000008541
"7., Emlyn Street, Barrow In Furness, Cumbria, LA14 1QS",104422200074N,3000,Increased Retail Relief,"Animal Refuge Furness,",16/11/2009,5000013846
"7., Emlyn Street, Barrow In Furness, Cumbria, LA14 1QS",104422200074N,3000,Mandatorary Relief,"Animal Refuge Furness,",16/11/2009,5000013846
"7, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1HX",105154000070N,43750,Increased Retail Relief,Orange Retail Ltd,28/02/2001,5000008904
"81, Market Street, Dalton In Furness, Cumbria, LA15 8DL",112287600810N,4800,Small Business Relief England,Sharples Estate Agents Ltd T/A Stephensons Estate Agents,01/05/2011,5000014649
"82, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",105117300820N,32250,Increased Retail Relief,Winfield Holdings Ltd,01/08/2009,5000013718
"82, Scott Street, Barrow In Furness, Cumbria, LA14 1QE",104562500820N,4400,Increased Retail Relief,Reef Evans Ltd,20/06/1997,5000005816
"83-85, Duke Street, Barrow In Furness, Cumbria, LA14 1RH",105119500830N,2425,Small Business Relief England,Provincial Funding Ltd,01/04/1990,5000000563
"83, Greengate Street, Barrow In Furness, Cumbria, LA14 1EZ",105327600830N,3400,Small Business Relief England,Greengate St News Ltd,23/08/2004,5000010811
"83, Market Street, Dalton In Furness, Cumbria, LA15 8DL",112287600830N,3100,Increased Retail Relief,Tangeo Management Ltd,10/10/2007,5000012652
"84, Dalton Road, Barrow In Furness, Cumbria, LA14 1JN",105117300840N,30500,Mandatorary Relief,St Marys Hospice,01/06/2000,5000008297
"85, Market Street, Dalton In Furness, Cumbria, LA15 8DL",112287600850N,3000,Increased Retail Relief,St Marys Hospice,01/05/2009,5000013577
"85, Market Street, Dalton In Furness, Cumbria, LA15 8DL",112287600850N,3000,Mandatorary Relief,St Marys Hospice,01/05/2009,5000013577
"86-88, Market Street, Dalton In Furness, Cumbria, LA15 8DJ",113187600860N,7100,Increased Retail Relief,P&L Enterprise (Cumbria) Ltd,08/10/2007,5000012636
"86, Duke Street, Barrow In Furness, Cumbria, LA14  1RD",104519500869N,9900,Increased Retail Relief,Creative Support Ltd,23/10/2013,5000016103
"89-91, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",105117300890N,26250,Empty Property Rate Non-Industrial,The Carphone Warehouse Uk Ltd,01/01/2008,5000012805
"89, Duke Street, Barrow In Furness, Cumbria, LA14 1RH",104519500890N,3100,Small Business Relief England,Pc! Lettings Ltd,17/06/2005,5000011318
"8, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1SP",104517100080N,4050,Small Business Relief England,R & T Music Ltd,27/03/2003,5000010074
"8 The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",105117309100N,3050,Increased Retail Relief,"J E Blackshaw Ltd,",10/10/2012,5000015769
"90, Abbey Road, Barrow In Furness, Cumbria, LA14 5QR",104500108110N,33250,Mandatorary Relief,Rathbone Training Ltd,01/04/1990,5000001382
"9 The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",105117309110N,2700,Empty Property Rate Non-Industrial,Barrow Borough Council,06/12/1999,5000007876
"Abbots Vale Community Centre, Abbots Vale, Barrow In Furness, Cumbria, LA13  9PA",108100209304N,6500,Mandatorary Relief,Abbots Vale Users Association,18/01/2010,5000014014
"Adj 44, Whitehead Street, Barrow In Furness, Cumbria, LA14 1AH",104475900440N,2300,Small Business Relief England,Superior Windows Ltd,19/09/2001,5000009491
"Adj Coastguard Cottages, South End, Barrow In Furness, Cumbria, LA14 3YQ",102364409151N,1725,Mandatorary Relief,"The Cumbria Wildlife Trust,",01/04/1992,5000004206
"Adj Unit 2d, Ashburner Way, Barrow-In-Furness, Cumbria, LA14 5UG",104274209112N,4350,Empty Property Rate Industrial,Anixter Industrial,01/04/1994,5000005714
"Age Concern, 24, Nelson Street, Barrow In Furness, Cumbria, LA14 1NF",104247309010N,3150,Mandatorary Relief,Alzheimers Society,01/05/2009,5000013627
"Age Concern, Lakeland Pennine Bldg, Abbey Road, Barrow In Furness, Cumbria, LA14 1XL",104300109038N,22000,Mandatorary Relief,Age Uk Barrow And District,12/04/2002,5000009796
"Albion Hotel, Dalton Road, Barrow In Furness, Cumbria, LA14 2EX",105117309010N,10700,Increased Retail Relief,Niamh Isobel Limited,28/10/2014,5000016689
"All Trading Ltd, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1SP",104517109005N,22500,Empty Property Rate Non-Industrial,"D Stoker (Barrow) Ltd,",06/01/2012,5000015233
"Anchorline Basin, Ramsden Dock, Barrow In Furness, Cumbria, LA14 2TB",103357109460N,3100,Small Business Relief England,"Bay Towage & Salvage Ltd,",01/04/1993,5000002566
"Art Gene Ltd, The Nan Tait Centre, Bath Street, Barrow In Furness, Cumbria, LA14 5TY",104300109083N,29750,Mandatorary Relief,Art Gene Ltd,01/04/2012,5000015746
"Ashton Group 1st Flr, 104, Abbey Road, Barrow In Furness, Cumbria, LA14 5QR",104500108088N,12250,Mandatorary Relief,The Ashton Group,15/08/2011,5000015053
"Askam United Afc, Duddon Road, Askam In Furness, Cumbria, LA16 7AN",112595509120N,3250,Mandatory CASC Relief,Askam United Afc,01/04/1993,5000002842
"Barrow 6th Form College, Rating Lane, Barrow In Furness, Cumbria, LA13 9LE",110457509040N,217000,Mandatorary Relief,Barrow 6th Form Coll,01/04/1993,5000002571
"Barrow Amateur Boxing Club, Brook Street, Barrow In Furness, Cumbria, LA13 9SU",108408609010N,2950,Small Business Relief England,Barrow Amateur Boxing Club,01/04/1990,5000000979
"Barrow Celtic Football Club, Newby Terrace, Barrow In Furness, Cumbria, LA14 5PE",106147701030N,1600,Small Business Relief England,Barrow Celtic Fc,01/01/1995,5000004399
"Barrow Cricket Club, Ernest Pass Mem Gr, Abbey Road, Barrow In Furness, Cumbria, LA13 9JS",110100109560N,14500,Mandatory CASC Relief,Barrow Cricket Club,01/04/1990,5000001010
"B C S Social Club, Dane Avenue, Barrow In Furness, Cumbria, LA14 4JS",109117409020N,3750,Mandatory CASC Relief,B C S Social Club,01/04/1990,5000000985
"B & D Motors, 99, Chatsworth Street, Barrow In Furness, Cumbria, LA14 5TP",104112109261N,9800,Small Business Relief England,B & D Motors Ltd,01/04/2006,5000012435
"B L Gilbert (Barrow) Ltd, St Andrews Street, Barrow In Furness, Cumbria, LA14 2SU",103360709030N,5800,Small Business Relief England,"B L Gilbert (Barrow) Ltd,",01/04/1990,5000000201
"Bowling Green At Cavendish Park, Island Road, Barrow In Furness, Cumbria, LA14 2SA",103334009110N,1125,Small Business Relief England,Barrow Island Bowling Club,01/04/2010,5000017038
"Bowling Green At King Alfred Hotel, Ocean Road, Barrow In Furness, Cumbria, LA14 3DU",102250209091N,810,Small Business Relief England,King Alfred Bowling Club,01/04/2005,5000012797
"Brisbane Park, Blake Street, Barrow In Furness, Cumbria, LA14 1NY",104107309023N,4100,Mandatory CASC Relief,Hindpool Sports Association,13/09/1998,5000007459
"Broadway Sports Bar, Cavendish Street, Barrow In Furness, Cumbria, LA14 1QD",104411609173N,17250,Increased Retail Relief,Lucas Leisure Ltd,01/05/2011,5000015168
"Car Park,Nth Of Sandscale Cotts, Roanhead, Barrow In Furness, Cumbria, LA14 4QJ",112697359050N,1800,Mandatorary Relief,The National Trust,06/02/2001,5000008678
"Cheeky Monkeys Childcare Ltd, Abbots Vale, Barrow In Furness, Cumbria, LA13 9PA",108100209305N,7000,Small Business Relief England,Cheeky Monkeys Childcare Ltd,18/01/2010,5000014015
"Church House, School Street, Barrow In Furness, Cumbria, LA14 1EW",105462309092N,6000,Mandatorary Relief,Thrift Charitable Trust,19/05/2014,5000016498
"Citizens Advice Bureau, Ramsden Hall, Abbey Road, Barrow In Furness, Cumbria, LA14 5QW",104300109063N,13750,Mandatorary Relief,"Citizens Advice Bureau,",09/08/2000,5000008748
"Cjs Car Sales Ltd, Ireleth Road, Askam In Furness, Cumbria, LA16  7DJ",112599002091N,12000,Increased Retail Relief,Cjs Car Sales Ltd,17/09/2007,5000012694
"College House, Rooms 205-206, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",104232209059N,5300,Small Business Relief England,Be Creative Design Ltd,01/02/2013,5000015929
"Columba Garage, Euryalus Street, Barrow In Furness, Cumbria, LA14 3BD",102522709010N,2700,Small Business Relief England,Columba Garage Ltd,22/11/2002,5000009895
"Cosy Seal Insulation Co Ltd, Scarth Road, Barrow In Furness, Cumbria, LA14 4RF",106552709300N,5300,Small Business Relief England,Irvs Vw Restorations Ltd,01/09/2013,5000016888
"Council Stores, 1st Floor, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",105119510013N,8900,Empty Property Rate Industrial,Barrow Borough Council,06/12/1999,5000007891
"County Coachbuilders Automotive Lmtd, Park Road, Barrow In Furness, Cumbria, LA14  4EQ",106552709174N,47750,Increased Retail Relief,County Coachbuilders Automotive Ltd,01/06/2008,5000013709
"County Coachbuilders (Barrow) Ltd, Chatsworth Street, Barrow In Furness, Cumbria, LA14 5TP",104112109450N,7100,Small Business Relief England,J R Gabriel Properties Ltd,11/04/2012,5000015294
"Crooklands Casuals Fc, Opp Longlands Cottag, Longlands, Dalton In Furness, Cumbria, LA15 8JF",113487209020N,1675,Mandatory CASC Relief,Crooklands Casuals,01/04/1990,5000001320
"Crossgates Smallholding, Broughton Road, Dalton In Furness, Cumbria, LA15 8JR",112183300020N,1000,Small Business Relief England,D & P Johnson Ltd,01/04/2001,5000009193
"Dalton-In-Furness Ce School, Coronation Drive, Dalton In Furness, Cumbria, LA15 8QR",113382809000N,26500,Mandatorary Relief,"Dalton St Mary'S C.E. Primary School,",01/04/1994,5000003605
"Dalton Leisure Centre, Chapel Street, Dalton In Furness, Cumbria, LA15 8DA",112182309130N,105000,Mandatorary Relief,"Dalton Leisure Services Ltd,",01/04/1990,5000001119
"Dalton Market, Tudor Square, Dalton In Furness, Cumbria, LA15 8RJ",112291400900N,1500,Increased Retail Relief,Dalton Parish Council,01/04/2002,5000009769
"Dalton United Football Club, Beckside, Dalton In Furness, Cumbria, LA15 8DP",113181209060N,5600,Mandatory CASC Relief,Dalton United Afc,01/04/1990,5000001254
"Derian The Old Brewery, Hindpool Road, Barrow In Furness, Cumbria, LA14 2ND",104531209079N,0,Small Business Relief England,Derian Engineering Ltd,01/03/2006,5000011881
"Dominos, Walney Road, Barrow In Furness, Cumbria, LA14 5UG",104274209601N,15500,Increased Retail Relief,Michael Bird Ltd,30/06/2009,5000013679
"Dsl Heating,, Moorfield Street, Barrow In Furness, Cumbria, LA13 9RS",108243809011N,3250,Small Business Relief England,Dsl Heating Ltd,01/01/2015,5000016793
"Duddon Inshore Rescue The Shore, Steel Street, Askam In Furness, Cumbria, LA16 7BS",112697809020N,3750,Mandatorary Relief,Duddon Inshore Rescue,01/04/1990,5000001245
"Duddon Sports & Social Club, James Street, Askam In Furness, Cumbria, LA16 7AH",112595509020N,8400,Increased Retail Relief,Duddon Sports & Social Club,01/08/1999,5000007649
"Duddon Sports & Social Club, James Street, Askam In Furness, Cumbria, LA16 7AH",112595509020N,8400,Small Business Relief England,Duddon Sports & Social Club,01/08/1999,5000007649
"Empire Carpets, Wilkie Road, Barrow-In-Furness, Cumbria, LA14 5UT",104274209072N,13000,Mandatorary Relief,St Marys Hospice,01/02/2014,5000016233
"English Heritage, Furness Abbey, Barrow In Furness, Cumbria, LA13 0PJ",110125409090N,5000,Mandatorary Relief,English Heritage,01/04/2000,5000008083
"Envirocasting Ltd, St Georges Square, Barrow In Furness, Cumbria, LA14 2JQ",105160909140N,8500,Small Business Relief England,Envirocasting Ltd,01/04/1990,5000001819
"Flexappeal Fitness Ltd, Hartington Street, Barrow In Furness, Cumbria, LA14 5SS",104129809015N,6700,Small Business Relief England,Flexappeal Fitness Ltd,17/05/1999,5000007807
"Former Furness Heating Components, The Old Brewery, Albert Street, Barrow In Furness, Cumbria, LA14 2JF",105101109017N,3650,Small Business Relief England,Horrocks (North West) Ltd,23/06/2013,5000016326
"Furness Academy, Park Drive, Barrow In Furness, Cumbria, LA13 9BB",107352609001N,540000,Mandatorary Relief,Furness Academy,14/09/2013,5000016313
"Furness Carers At, Hindpool Community Centre, Nelson Street, Barrow In Furness, Cumbria, LA14 1NF",104347309026N,4800,Mandatorary Relief,Furness Carers Association,15/04/2009,5000013703
"Furness Carers, Pt  Ff Hindpool Community Centre, Nelson Street, Barrow In Furness, Cumbria, LA14 1NF",104347309035N,2175,Mandatorary Relief,Furness Carers Association,06/06/2006,5000012104
"Furness Cavaliers Afc, Rampside Road, Barrow In Furness, Cumbria, LA13 OHN",111257009200N,3450,Mandatory CASC Relief,"Furness Cavaliers Afc,",01/04/1990,5000001058
"Furness College, Channelside, Bessemer Way, Barrow In Furness, Cumbria, LA14 5RL",104232209011N,925000,Mandatorary Relief,"Furness College Corporation,",01/04/1993,5000002803
"Furness Footwear Ltd, Billings Road, Dalton In Furness, Cumbria, LA13 0SG",113487309105N,19500,Increased Retail Relief,Courtesy Shoes Limited,01/04/2013,5000015816
"Furness Print Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UG",104253550100N,43750,Empty Property Rate Industrial,Reverseword Ltd,30/05/2014,5000016471
"Gf, 118 , Duke Street, Barrow In Furness, Cumbria, LA14 1LW",104519509602N,9600,Increased Retail Relief,Home Delivery Carpets Ltd,23/06/2014,5000016526
"Girl Guides Association, Chapel Street, Dalton In Furness, Cumbria, LA15 8BZ",112182309140N,1650,Mandatorary Relief,"Girl Guides Assn,",01/04/1990,5000001120
"Ground Floor, 111, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",105119501110N,5400,Increased Retail Relief,Pearson Driving Assess Ltd,24/05/2004,5000010884
"Holker Old Boys' Club, Rakesmoor Lane, Barrow In Furness, Cumbria, LA14 4QB",109456809050N,10250,Mandatory CASC Relief,Holker Old Boys' Club,01/04/1990,5000001006
"Jeffersons, 60-64, Duke Street, Barrow In Furness, Cumbria, LA14 1RX",105119500624N,18000,Increased Retail Relief,Beluto Properties Ltd,01/04/2015,5000016988
"J N Murray Ltd, Central Drive, Barrow In Furness, Cumbria, LA14 3HY",101379300182N,17000,Increased Retail Relief,J N Murray Ltd,31/07/1997,5000005979
"J N Murray, The Pharmacy, Warwick Street, Barrow In Furness, Cumbria, LA14 5AY",107274500320N,10750,Increased Retail Relief,"J N Murray Ltd,",01/04/1990,5000000895
"J Postlethwaite Ltd, Warwick Street, Barrow In Furness, Cumbria, LA14 5HT",107274509150N,4250,Small Business Relief England,J S Postlethwaite Ltd,01/04/1990,5000000899
"Kavannas, 18-24, Cornwallis Street, Barrow In Furness, Cumbria, LA14 2LG",105114000240N,18250,Increased Retail Relief,Crook Lodge Ltd,27/12/2014,5000016754
"Kings Arms Hotel, Dalton Road, Barrow In Furness, Cumbria, LA14 1HY",105117309030N,12000,Increased Retail Relief,Amber Taverns Limited,17/05/2011,5000014723
"Kings Hall, Hartington Street, Barrow In Furness, Cumbria, LA14 5SR",104129809010N,11250,Mandatory CASC Relief,Furness Gym Club,01/04/1993,5000002536
"Kwik Save, Holker Street, Barrow In Furness, Cumbria, LA14 5RA",104231609200N,115000,Empty Property Rate Non-Industrial,T W R Developments Limited,01/04/2010,5000014084
"Lakeland Fudge, Schneider Road, Barrow In Furness, Cumbria, LA14 5ER",106362309312N,5300,Small Business Relief England,Lakeland Fudge Ltd,01/10/2013,5000016208
"Landscape House, Bath Street, Barrow In Furness, Cumbria, LA14 5TR",104105909450N,3100,Small Business Relief England,Yool Ltd,11/09/2000,5000008586
"Lloyds Motor Services, Durham Street, Barrow In Furness, Cumbria, LA13 9SW",108243709010N,4850,Small Business Relief England,Lloyds Motor Services Barrow Ltd,01/08/2013,5000016029
"Lords Tavern, Abbey Road, Barrow In Furness, Cumbria, LA14 1LQ",104300109052N,13000,Increased Retail Relief,Abbey Road Leisure Limited,23/08/2010,5000014355
"Lords Tavern, Abbey Road, Barrow In Furness, Cumbria, LA14 1LQ",104300109052N,13000,Small Business Relief England,Abbey Road Leisure Limited,23/08/2010,5000014355
"Lumier Ltd, County Park Trading Estate, Park Road, Barrow In Furness, Cumbria, LA14 4BQ",106552709030N,7600,Small Business Relief England,Lumier Ltd,28/02/2002,5000009404
"Manhattans, Cavendish Street, Barrow In Furness, Cumbria, LA14 1QD",104411609174N,37000,Increased Retail Relief,Lucas Leisure Ltd,23/12/2011,5000015625
"Masonic Hall, Hall Street, Dalton In Furness, Cumbria, LA15 8RS",112285409020N,3700,Small Business Relief England,"The Baldwin Masonic Hall Co.Ltd,",01/04/1990,5000001129
"Nautical Club, Promenade, Barrow In Furness, Cumbria, LA14 3QF",101254809250N,9200,Increased Retail Relief,"Nautical Club,",01/04/1990,5000000024
"Nautical Club, Promenade, Barrow In Furness, Cumbria, LA14 3QF",101254809250N,9200,Small Business Relief England,"Nautical Club,",01/04/1990,5000000024
"Nch At Newbarns School, Rising Side, Barrow In Furness, Cumbria, LA13 9ET",110458259011N,6300,Mandatorary Relief,Action For Children,14/04/2008,5000013198
"Newton Village Hall, Newton, Newton In Furness, Nr Dalton In Furness, Cumbria, LA13 ONB",113388400920N,2600,Mandatorary Relief,Newton Village Hall,01/04/1990,5000001317
"No 34 Hut, Harding Rise, Barrow In Furness, Cumbria, LA14 2TB",103357109250N,330,Small Business Relief England,Barrow Island Boating Club,01/04/2003,5000010100
"North Scale Community Centre, Cows Tarn Lane, Barrow In Furness, Cumbria, LA14 3UG",101314229001N,2800,Small Business Relief England,North Scale Residents Association (Incorp Comm Centre),01/11/1996,5000005819
"North Scale Disabled Boat Club, Promenade, Barrow In Furness, Cumbria, LA14 3RW",101254809016N,960,Small Business Relief England,N Scale Dis. Boat Club,05/11/2005,5000011655
"Office 9, Unit 2 Walney Road Offices, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",104274209709N,1475,Small Business Relief England,R Brady T/A Gardening Serv. Ltd,01/02/2013,5000016003
"Office A Ambassador House, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",105117309206N,12250,Mandatorary Relief,Accent Foundation Ltd,03/11/2008,5000013689
"Office B Ambassador House, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",105117309207N,9100,Empty Property Rate Non-Industrial,Accent Foundation Ltd,29/07/2011,5000014832
"Our Lady Of The Rosary Rc School, Crooklands Brow, Ulverston Road, Dalton In Furness, Cumbria, LA15 8JH",113183109070N,13750,Mandatorary Relief,Cumbria County Council,01/04/1990,5000001260
"Our Ladys Chetwynde School, Rating Lane, Barrow In Furness, Cumbria, LA13 0NZ",110100109722N,162000,Mandatorary Relief,Chetwynde School Ltd,12/12/1997,5000007445
"Outdoor Market, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154009000N,2400,Increased Retail Relief,Barrow Borough Council,12/03/1997,5000006141
"Paul French Salon 1,, Rakesmoor Lane, Barrow In Furness, Cumbria, LA14 4LG",109456800017N,4750,Small Business Relief England,Paul French Salon Ltd,09/11/2005,5000011783
"Phoenix Business Centre, Room 5, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",104235500051N,2000,Small Business Relief England,Fck Recruitment Ltd,21/07/2012,5000015635
"Piel View, Abbey Road, Barrow In Furness, Cumbria, LA13 9BD",107300109962N,7800,Small Business Relief England,Octopus Collective Limited,01/05/2010,5000014173
"Princess Interiors, Wilkie Road, Barrow-In-Furness, Cumbria, LA14 5UT",104274209064N,18500,Increased Retail Relief,Rall Ltd,01/01/2002,5000010747
"Ram Associates, High Street, Barrow In Furness, Cumbria, LA14 1QY",104530709060N,3900,Small Business Relief England,Mrl Properties Limited,12/11/2013,5000016179
"Rampside Village Hall, Rampside, Barrow In Furness, Cumbria, LA13 OPY",111156909100N,9700,Mandatorary Relief,Rampside Village Hall Cttee,18/04/2005,5000011432
"Ramsden Square Rank Ltd, Duke Street, Barrow In Furness, Cumbria, LA14 1XX",104119509490N,1450,Small Business Relief England,Ramsden Square Rank Limited,22/06/2010,5000014238
"Rathbone Training Ltd, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",104253560100N,16000,Mandatorary Relief,Rathbone Training,15/12/2000,5000008784
"Repair Garage, Foundry Street, Barrow In Furness, Cumbria, LA14 2BB",108124609163N,4000,Small Business Relief England,Foundry St Garage Ltd,01/04/2001,5000009342
"Richard Cave Centre,, Schneider Road, Barrow In Furness, Cumbria, LA14 5DP",106362109391N,2450,Mandatorary Relief,Multiple Sclerosis Society,20/03/2004,5000010792
"Roa Island Boating Club Ltd., Piel Street, Roa Island, Barrow In Furness, Cumbria, LA13 OQJ",111158309240N,13000,Mandatory CASC Relief,Roa Island Boating Club Ltd,31/10/2004,5000011111
"Room 13, Phoenix Business Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UA",104235500130N,1500,Small Business Relief England,Holbeck Construction Services Limited,01/12/2013,5000016149
"Room 14, Phoenix Business Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UA",104235500140N,1500,Small Business Relief England,Shepherd A & S Ltd,03/02/2014,5000016271
"Room 4, Phoenix Business Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UA",104235500041N,2000,Small Business Relief England,Michael Ellis Wealth Management Limited,03/04/2013,5000015866
"Rooms 111-121,1st Floor College House, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",104232209130N,20250,Mandatorary Relief,Nacro,07/11/2014,5000016869
"Roosegate Housing Office, 182, Roose Road, Barrow In Furness, Cumbria, LA13 OEE",111559009101N,6200,Small Business Relief England,A B Mitchell Developments Ltd,01/04/2009,5000013584
"Royal British Legion Club, Holker Street, Barrow In Furness, Cumbria, LA14 5RQ",104231609170N,14750,Mandatorary Relief,"British Legion Club,",01/04/1990,5000000231
"Royal Naval Association Club, Ramsden Dock Road, Barrow In Furness, Cumbria, LA14 2TN",103357209030N,7800,Increased Retail Relief,"Royal Naval Association Club,",01/04/1990,5000000196
"Salthouse Bowling Club, Salthouse Road, Barrow In Furness, Cumbria, LA14 2AN",105261609130N,880,Mandatory CASC Relief,"Salthouse Bowling Club,",01/04/1990,5000000670
"Salthouse Pavilion,, Roose Road, Barrow In Furness, Cumbria, LA13 9RQ",111559009351N,11250,Mandatorary Relief,Spring Mount Christian Fellowship,19/03/2015,5000016874
"Salt Marsh Caravan Park, Carr Lane, Barrow In Furness, Cumbria, LA14 3YH",102111209010N,8300,Small Business Relief England,Biggar Bank Caravan Association,02/04/1990,5000000068
"School Playing Field, Duke Street, Askam In Furness, Cumbria, LA16 7AD",112595609030N,215,Mandatorary Relief,Community Centre,01/04/1990,5000001648
