Full Property Address,Property Reference Number,Current Rateable Value,Current Relief Type Description,Primary Liable party name,Account Start date,Account Reference Number
"13, Strand, Barrow In Furness, Cumbria, LA14 2HG",105165809110N,5200,Small Business Relief England,Crossfit Barrow Ltd,12/01/2015,5000016927
"1-3, The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",105117309049N,7800,Small Business Relief England,Barrow & District Credit Union,01/02/2013,5000015795
"141, Market Street, Dalton In Furness, Cumbria, LA15 8RG",112287601417N,3250,Small Business Relief England,Elegance By Jayne Ltd,19/01/2015,5000016774
"142, Abbey Road, Barrow In Furness, Cumbria, LA14 5AB",107300101420N,4650,Empty Property Rate Non-Industrial,Royal Mail Group Plc,01/08/2009,5000013702
"143., Market Street, Dalton In Furness, Cumbria, LA15 8RQ",112287601432N,10250,Mandatorary Relief,St Marys Hospice,01/09/2014,5000016685
"151, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1BB",105457701510N,3650,Small Business Relief England,Posh Flowers Ltd,31/10/2011,5000016876
"152, Market Street, Dalton In Furness, Cumbria, LA15 8RQ",113187601520N,2475,Small Business Relief England,The Full Octave Ltd,11/11/1997,5000006947
"161, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ES",105457701610N,2425,Small Business Relief England,S Mason & Sons Ltd,01/09/2002,5000009779
"165-167, Dalton Road, Barrow In Furness, Cumbria, LA14 1PU",105117301650N,44500,Increased Retail Relief,Signet Group Plc,01/04/1990,5000000511
"168-170, Dalton Road, Barrow In Furness, Cumbria, LA14 1PU",105117301680N,49750,Increased Retail Relief,"J N Murray Ltd,",01/04/1990,5000000512
"16a, Portland Walk, Barrow In Furness, Cumbria, LA14 1DB",105154000161N,27750,Increased Retail Relief,Telefonica O2 Uk Ltd,16/10/2003,5000010729
"16, Bath Street, Barrow In Furness, Cumbria, LA14 1LZ",104105900160N,3550,Small Business Relief England,Digital Aerial Vision Limited,17/10/2012,5000015619
"16b, Portland Walk, Barrow In Furness, Cumbria, LA14 1DB",105154000162N,29500,Increased Retail Relief,Baker Acquisitions Ltd,01/04/2012,5000015302
"16, Hartington Street, Barrow In Furness, Cumbria, LA14 5SL",104329800160N,5900,Mandatorary Relief,The Samaritans,01/04/1990,5000000281
"171, Dalton Road, Barrow In Furness, Cumbria, LA14 1PX",105117301710N,22000,Increased Retail Relief,Greggs Of Cumbria,01/04/1990,5000000513
"172, Dalton Road, Barrow In Furness, Cumbria, LA14 1PU",105117301720N,26500,Increased Retail Relief,British Heart Foundation,09/07/1999,5000007659
"172, Dalton Road, Barrow In Furness, Cumbria, LA14 1PU",105117301720N,26500,Mandatorary Relief,British Heart Foundation,09/07/1999,5000007659
"173, Dalton Road, Barrow In Furness, Cumbria, LA14 1PX",105117301730N,24750,Increased Retail Relief,The Furness Children'S  Trust,03/01/2012,5000015113
"173, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",105457701730N,3150,Small Business Relief England,G.S.A. Ltd,01/04/1990,5000000744
