Full Property Address,Current Rateable Value,Primary Liable party name,Account Mailing Address,Current Relief Type Description,Current Relief Award Start Date,Property Reference Number
"100, Church Street, Barrow In Furness, Cumbria, LA14 2HJ",4950,Systemcam Ltd,"Head Cragg, Kirkby In Furness, Cumbria,  LA17 7TB",Empty Property Rate Non-Industrial,01/09/2015,105112501000N
"116, Church Street, Barrow In Furness, Cumbria, LA14 1HA",3650,Promm Property Ltd,"5 Cavendish St, Barrow-In-Furness, Cumbria,  LA14 1SF",Empty Property Rate Non-Industrial,05/07/2016,105112501164N
"11 The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",3000,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",Empty Property Rate Non-Industrial,01/04/2011,105117309130N
"122, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",11750,Levens Hall Estates,"Estates Office, Levens Hall, Kendal,  LA8 0PD",Empty Property Rate Non-Industrial,06/03/2017,105117301220N
"1-3, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1SP",22500,Little & Caine Ltd,"10 Dalkeith Street, Barrow In Furness, Cumbria,  LA14 1SP",Empty Property Rate Non-Industrial,17/02/2018,104517109005N
"1-3, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",72000,Leto Ltd,"C/O Lee Baron Ltd, 7 Swallow Place, London,  W1B 2AG",Empty Property Rate Non-Industrial,25/09/2016,105154000010N
"142, Abbey Road, Barrow In Furness, Cumbria, LA14 5AB",4700,Royal Mail Group Plc,"C/O G L Hearn Management Ltd, Po Box 1821, Southampton,  SO18 9NA",Empty Property Rate Non-Industrial,01/04/2011,107300101420N
"1st & 2nd Fs, 34-40, Cornwallis Street, Barrow In Furness, Cumbria, LA14 2LG",15500,"Furness Building Society,","51-55 Duke St, Barrow-In-Furness, Cumbria,  LA14 1RT",Empty Property Rate Non-Industrial,02/11/2017,105114000333N
"1st & 2nd Fs, 35, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",8600,Done Brothers  Ltd,"The Spectrum, 56-58 Benson Road, Birchwood, Warrington,  WA3 7PQ",Empty Property Rate Non-Industrial,12/01/2017,105111600331N
"203-205, Dalton Road, Barrow In Furness, Cumbria, LA14 1PP",20750,Jonlyn Properties Ltd,"C/O Andrew & Ashwell, 53 London Road, Leicester,  LE2 0PD",Empty Property Rate Non-Industrial,13/12/2017,105117302030N
"20, Bath Street, Barrow In Furness, Cumbria, LA14 1NE",4850,Project John Ltd,"20 Bath Street, Barrow In Furness, Cumbria,  LA14 1NE",Empty Property Rate Charitable,19/03/2018,104105900200N
"20,, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",6100,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",Empty Property Rate Non-Industrial,30/06/2017,105119500201N
"21, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1ST",4650,Selshaw Property Limited,"The Old Mill, Thurstonfield, Carlisle,  CA5 6HQ",Empty Property Rate Non-Industrial,28/01/2018,104517100210N
"223, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",7300,Arcami Properties Ltd,"223, Dalton Road, Barrow In Furness, Cumbria, La14 1pq",Empty Property Rate Non-Industrial,30/07/2017,104417302230N
"227-231, Duke Street, Barrow In Furness, Cumbria, LA14 1XT",15500,H.S.S. Hire Services Group Plc,"Hss Hire Group Finance Ofice, Unit 1 The Heathrow Estate, Silver Jubilee Way, Heathrow,  TW4 6NF",Empty Property Rate Non-Industrial,12/08/2017,105119502270N
"24,, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",6800,Barrow Borough Council,"C/O Accounts Dept., Town Hall, Duke Street, Barrow-In-Furness, Cumbria ,  LA14 2LD",Empty Property Rate Non-Industrial,31/01/2017,105119500241N
"2, Highlands Avenue, Barrow In Furness, Cumbria, LA13 OAU",4400,Croft Care Trust,"2, Highlands Avenue, Barrow In Furness, Cumbria, La13 Oau",Empty Property Rate Non-Industrial,19/01/2018,110330900020N
"2nd Flr, 104, Duke Street, Barrow In Furness, Cumbria, LA14 1LP",3550,Hsbc Bank Plc,"55 Temple Row, Birmingham, West Midlands,  B2 5L",Empty Property Rate Non-Industrial,01/04/2011,104519509710N
"3, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",5400,Max Nutritional Products Ltd,"Po Box 214 , 131 Fishergate , Preston, Lancs,  PR1 2EF",Empty Property Rate Non-Industrial,13/12/2017,105117300131N
"55, Market Street, Dalton In Furness, Cumbria, LA15 8AP",4750,Eden Property Lettings & Management,"4 Eden Avenue, Barrow In Furness, Cumbria,  LA14 3XW",Empty Property Rate Non-Industrial,21/01/2018,112287600550N
"5, The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",2950,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",Empty Property Rate Non-Industrial,01/04/2011,105117309092N
"76,, Duke Street, Barrow In Furness, Cumbria, LA14 1RX",7600,Barrow Borough Council,"C/O Accounts Dept., Town Hall, Duke Street, Barrow-In-Furness, Cumbria ,  LA14 2LD",Empty Property Rate Non-Industrial,01/01/2016,105119500761N
"82, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",13500,Winfield Holdings Ltd,"Albert Mill,, Mill Street, Haslingden, Rossendale,  BB4 5JW",Empty Property Rate Non-Industrial,23/10/2016,105117300820N
"8,, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",5500,Max Nutritional Products Ltd,"Po Box 214 , 131 Fishergate , Preston, Lancs,  PR1 2EF",Empty Property Rate Non-Industrial,13/12/2017,105119509886N
"90, Abbey Road, Barrow In Furness, Cumbria, LA14 5QR",35250,Ruskin Bar & Lounge Ltd,"90, Abbey Road, Barrow In Furness, Cumbria, La14 5qr",Empty Property Rate Non-Industrial,24/09/2017,104500108110N
"90, Market Street, Dalton In Furness, Cumbria, LA15 8DJ",10000,"Barclays Bank Plc,","Sunrise Co Ltd, C/O Fraser Cre Ltd, Fleet Works, 26 Farringdon Street, London,  EC4 4AB",Empty Property Rate Non-Industrial,04/06/2011,113187600900N
"9 The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",3100,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",Empty Property Rate Non-Industrial,01/04/2011,105117309110N
"Austwhim House, High Street, Barrow In Furness, Cumbria, LA14 1QY",7500,Cn Group Ltd,"Po Box 7, Newspaper House, Dalston Road, Carlisle,  CA2 5UA",Empty Property Rate Non-Industrial,01/09/2016,104530709170N
"B & M Retail Ltd, Hollywood Park, Hindpool Road, Barrow-In-Furness, Cumbria, LA14 1YE",65000,Standard Life Inv Fund Ltd,"C/O Bnp Paribas Real Estate, Att: Rating Support Unit, 9 Colmore Row, Birmingham,  B3 2BJ",Empty Property Rate Non-Industrial,08/10/2016,104131209290N
"Chambers, 98, Duke Street, Barrow In Furness, Cumbria, LA14 1RD",0,High Speed Boats (Windermere) Ltd,"Hsmb Ltd, Ecclerigg Court, Windermere, Cumbria,  LA23 1LQ",Empty Property Rate Non-Industrial,01/04/2011,104519500945N
"College House, Room 208, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",3150,Age Uk,"Property Department, Tavis House, 1-6 Tavistock Square, London,  WC1H 9NA",Empty Property Rate Non-Industrial,01/07/2016,104232209075N
"College House, Room 209, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",3200,Age Uk,"Property Department, Tavis House, 1-6 Tavistock Square, London,  WC1H 9NA",Empty Property Rate Non-Industrial,01/07/2016,104232209076N
"College House, Room 210, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",3150,Age Uk,"Property Department, Tavis House, 1-6 Tavistock Square, London,  WC1H 9NA",Empty Property Rate Non-Industrial,01/07/2016,104232209077N
"College House, Room 211, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",5800,Age Uk,"Property Department, Tavis House, 1-6 Tavistock Square, London,  WC1H 9NA",Empty Property Rate Non-Industrial,01/07/2016,104232209078N
