Department family,Entity,Date,Supplier,Amount,Description,Description
HM Revenue & Customs,HM Revenue & Customs,16/11/2015,MAILGUN.COM,677.7,Computer Software Stores,IT  fees for  services  provided  to  support  HMRC’s  move  to  providing  a  digital  email  service  to  it’s  customers
HM Revenue & Customs,HM Revenue & Customs,11/11/2015,TVEYES INC.,"2,457.53",Advertising Services,Annual  fee  for  TV/Radio  broadcast  monitoring  and  evaluation  system  for  HMRC  Press  Office  use
