Organisation name,Organisation type,Main parent or sponsoring department,Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time equivalent,Payroll staff Other unknown or unspecified Headcount,Payroll staff Other unknown or unspecified Full-time equivalent,Payroll staff Total Employees Headcount,"Payroll staff Total Employees Full-time 
equivalent",Number of non-payroll staff Agency staff (clerical/admin) Headcount,Number of non-payroll staff Agency staff (clerical/admin) Full-time equivalent,Number of non-payroll staff Interim managers Headcount,Number of non-payroll staff Interim managers Full-time equivalent,Number of non-payroll staff Specialist Contractors Headcount,Number of non-payroll staff Specialist Contractors Full-time equivalent,Number of non-payroll staff Consultants/consultancy Headcount,Number of non-payroll staff Consultants/consultancy Full-time equivalent,Number of non-payroll staff Total Headcount,Number of non-payroll staff Total Full-time equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time equivalent,Payroll staff costs Salary,Payroll staff costs Allowances,Payroll staff costs Non-consolidated performance payments,Payroll staff costs Overtime,Payroll staff costs Employer pension contributions,Payroll staff costs Employer national insurance contributions,Payroll staff costs Total paybill for payroll staff,Total monthly cost of contingent labour: agency (clerical and admin) staff and interim managers and specialist contractors,Total monthly cost of consultants/consultancy,Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,160,155.64,347,338.45,496,488,772,758.91,241,235.9,158,155.78,"2,174","2,133",6,6,181,181,33,32.6,5,5,225,224.6,"2,174","2,133","£7,660,606.76","£379,525.47","£39,137.00","£95,181.14","£1,659,257.53","£760,192.54","£10,593,900.44","2,667,896.92","£1,462,082.25","£4,129,979.17","£10,593,900.44",
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,3,2.56,5,5,2,1.8,3,3,1,1,0,0,14,13,0,0,0,0,0,0,0,0,0,0,14,13,"£35,706.88",£983.40,£0.00,£0.00,"£6,979.76","£3,140.33","£46,810.37",£0.00,£0.00,£0.00,"£46,810.37",
Crown Commercial Service,Executive Agency,Cabinet Office,44,43,133,127.6,336,329.6,190,188.4,49,48.9,0,0,752,738,17,17,41,41,0,0,0,0,58,58,810,796,"£2,580,174.48","£6,995.19","£16,600.00",£0.00,"£513,460.38","£236,729.31","£3,353,959.36","£229,034.51","£531,509.50","£760,544.01","£4,114,503.37",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,119,113,483,449,241,227,74,70,18,18,0,0,935,877,15,15,0,0,6,0.5,0,0,21,15.5,956,893,"£2,037,106.18","£34,560.67",£0.00,"£12,142.28","£368,679.21","£159,220.60","£2,611,708.94","£81,535.60",£0.00,"£81,535.60","£2,693,244.54",
