InvoiceMonth,MeatIndustryCash,MiscAndMilkIndustryCash,RadiologicalCash,GovernmentCash
2016-07,1762263.74,2557.00,0.00,781392.58
2016-08,2432193.44,5131.75,773848.29,1275314.67
2016-09,2367343.66,9901.31,1958.54,585813.44
2016-10,2051583.94,3891.99,146739.57,581183.87
2016-11,1344522.90,10419.40,0.00,672018.04
2016-12,1520068.18,4679.50,69207.93,1220783.83
2017-01,1985515.31,4834.25,279525.82,1143794.55
2017-02,1261779.65,11149.12,50901.57,1137433.93
2017-03,1267493.87,4409.71,222849.84,492667.13
2017-04,1668896.21,4783.00,102391.31,530772.69
2017-05,1550428.99,4071.00,0.00,1393761.27
2017-06,1982093.09,4143.78,190880.21,315425.12
