BODY NAME,SERVICE LABEL COMMITTEE,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER  ID,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262120,16628.75,COMBINE FABS LTD,101858,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G992,2ND NSH VAN FEB DD 13/14,06/03/2015,261115,16311.64,JCB FINANCE LTD,100242,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,PROFESSIONAL SERVICES,06/03/2015,261145,16257.25,PURCELL MILLER TRITTON LLP,101037,,P148021,large value
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,PROFESSIONAL SERVICES,27/03/2015,262249,16257.25,PURCELL MILLER TRITTON LLP,101037,,P148021,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,GAS,27/03/2015,262600,15788.82,THE NEWARK ACADEMY,101813,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,20/03/2015,262042,15670.25,BRONBURY SERVICES LTD,100060,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,RECHARGE THIRD PARTY,06/03/2015,260761,15593.64,NEWARK AND SHERWOOD HOMES LTD,100366,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ADVERTISING,06/03/2015,261144,15000,EVENT PLAN LTD,104879,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,27/03/2015,262503,14455.22,VAUGHANDALE CONSTRUCTION LTD,100590,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262648,14295.53,VINSHIRE PLUMBING AND HEATING LTD,104940,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,27/03/2015,262570,14077.04,ABAKUS ENGINEERING,102104,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,RENT,20/03/2015,262059,14000,EAST MIDLANDS TRAINS LTD,100140,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,EXHIBITIONS AND DISPLAYS,06/03/2015,261173,14000,MAGNUM PHOTOS LTD,104888,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,13/03/2015,261494,13919.8,HALL FUELS,102155,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,06/03/2015,261159,13848.09,HALL FUELS,102155,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,20/03/2015,262236,13820.29,HALL FUELS,102155,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262657,13577.16,INSULATION & ENVIRONMENTAL SERVICES LTD,102058,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262633,13576.85,ELECTRICAL SAFETY SYSTEMS LTD,100147,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,CONTRACTUAL SERVICES,27/03/2015,262688,13500,EXPERIENCE NOTTINGHAMSHIRE LTD,102053,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,POSTAGES,01/03/2015,261100,13282.76,PRINT IMAGE FACILITIES LLP,101902,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262627,12767.04,NATIONWIDE WINDOWS LIMITED,101404,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,GOV GRANT EXPENDITURE,13/03/2015,261654,12500,SHERWOOD & NEWARK CITIZENS ADVICE BUREAU,102100,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,PROFESSIONAL SERVICES,27/03/2015,262663,12342,TURNER & TOWNSEND PROJECT MANAGEMENT LTD,101826,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262656,12299,BS CITY FENCING CONTRACTS LTD,100064,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262643,12296.3,BLUE LINES ROOFING LTD,100049,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,CHANGE MANAGEMENT,27/03/2015,262582,11426.76,V4 SERVICES LTD,101993,,,
