BODY NAME,SERVICE LABEL COMMITTEE,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER  ID,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,REPAIRS AND MAINTENANCE,27/03/2015,262711,3260,SUNRISE WINDOW SYSTEMS LTD,101218,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,REPAIRS AND MAINTENANCE,13/03/2015,261452,3177.86,GYM REPAIR SERVICES,101714,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G992,PARISH COUNCIL LOAN GRANT,27/03/2015,262787,3137.31,BLIDWORTH PARISH COUNCIL,100045,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PARISH CNCLS AND VOL BODIES,13/03/2015,261434,3120,AJ'S SCHOOL OF DANCE,102182,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262636,3103.57,NATIONWIDE WINDOWS LIMITED,101404,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,LOCAL NATURE RESERVES MAINTNCE,06/03/2015,261138,3022,P D ELLIOTT CONTRACTING,104851,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,CONTRACTUAL SERVICES,20/03/2015,262015,3000,TOTAL INTEGRATED SOLUTIONS LTD,104742,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,27/03/2015,262486,2971.5,NAVMAN WIRELESS UK LTD,100353,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,AGENCY STAFF,13/03/2015,261540,2938.44,COMENSURA LTD,100106,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PROFESSIONAL SERVICES,13/03/2015,261468,2929.8,REDACTED PERSONAL DATA,104778,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,13/03/2015,261549,2888.77,MAPLE TREE ENTERTAINMENT LIMITED,104531,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,20/03/2015,262119,2883.38,PTS PLUMBING TRADE SUPPLIES,101748,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,FLEXIBLE RESOURCES,20/03/2015,262067,2877.3,NATALIE DEAR PLANNING CONSULTANCY,101636,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,RENT,13/03/2015,261981,2875,SHOTSTONE LTD,100498,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,27/03/2015,262575,2812.17,CIRCUS OF HORRORS LTD,100844,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,20/03/2015,262130,2802.31,MATTHEWS & TANNERT LTD,101312,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,METERED WATER CHARGE,27/03/2015,262615,2785.9,THE DUKERIES ACADEMY,101837,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,13/03/2015,261660,2772.52,MATTHEWS & TANNERT LTD,101312,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,13/03/2015,261606,2756.1,HONEYWELL - NOVAR SYSTEMS LTD,100213,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262661,2695,"YOUR ELECTRICAL SUPPLIES, SERVICE & SOLUTIONS",104743,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,INTERNAL TRAINING,13/03/2015,261402,2694.5,TREVOR ROBERTS ASSOCIATES LTD,101918,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,PREMISES REPAIRS & RENEWALS,27/03/2015,262710,2600,SUNRISE WINDOW SYSTEMS LTD,101218,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,13/03/2015,261608,2557.98,HONEYWELL - NOVAR SYSTEMS LTD,100213,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,POSTAGES,27/03/2015,262558,2519.36,ROYAL MAIL GROUP LTD,100469,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262651,2518.5,LINDUM GROUP LTD,100651,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,RURAL COMMUNITY COUNCIL,27/03/2015,262449,2508,RURAL COMMUNITY ACTION NOTTINGHAMSHIRE,100473,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,AGENCY REPAYMENTS,25/03/2015,262578,2505.5,NEW YOUTH THEATRE,100360,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,16/03/2015,261558,2500,VAMPIRES ROCK LTD,101920,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,20/03/2015,262212,2496.18,MARK LUNDQUIST MANAGEMENT & CONCERT PROMOTION,100907,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PREMISES REPAIRS & RENEWALS,27/03/2015,262564,2490,CENTRAL (HIGH RISE) LTD,104869,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,27/03/2015,262576,2415.2,SUBISH LTD (T/A THE FUREYS),100525,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ADVERTISING,20/03/2015,262047,2400,CONFETTI CONSTELLATIONS LTD,101859,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,AGENCY STAFF,20/03/2015,262086,2388.95,COMENSURA LTD,100106,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,AGENCY STAFF,27/03/2015,262733,2387.46,COMENSURA LTD,100106,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,CONTRACTUAL SERVICES,20/03/2015,261973,2385,JCP POWER & DATA CONTRACTORS LTD,100243,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262630,2374.57,S P G CONSTRUCTION LTD,100477,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,06/03/2015,261209,2350,BS CITY FENCING CONTRACTS LTD,100064,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,AGENCY REPAYMENTS,13/03/2015,261565,2329,NEWARK MUSIC CLUB,104927,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G992,REPAIRS AND MAINTENANCE,27/03/2015,262473,2287.76,D.TEC INTERNATIONAL LTD,104873,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,TELEPHONES,13/03/2015,261527,2257.98,TIMICO LTD,100567,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,AGENCY STAFF,13/03/2015,261539,2251.76,COMENSURA LTD,100106,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,EQUIPMENT REPAIRS & RENEWALS,13/03/2015,261484,2250,IDOX SOFTWARE LTD,100738,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,HARDWARE MAINTENANCE,06/03/2015,261217,2199,TEXTHELP SYSTEMS LTD,101060,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,HIRE OF FACILITIES,13/03/2015,261451,2184.33,THE DUKERIES ACADEMY,101837,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,ELECTRICITY,20/03/2015,262175,2184.06,EDF ENERGY 1 LTD,101140,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ADVERTISING,20/03/2015,262149,2179.15,REDACTED PERSONAL DATA,102171,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262641,2140.72,NATIONWIDE WINDOWS LIMITED,101404,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,20/03/2015,261922,2125.28,NATIONWIDE WINDOWS LIMITED,101404,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ADVERTISING,20/03/2015,262156,2100,CAMPBELL & CO DESIGN CONSULTANTS LTD,101179,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,13/03/2015,261467,2100,REPLICA WAREHOUSE,104931,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,CONTRACTUAL SERVICES,27/03/2015,262595,2098.22,HI-SPEC FACILITIES SUPPORT CO PLC,101303,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,CONTRACTUAL SERVICES,20/03/2015,262082,2097.56,METRIC GROUP LTD,100306,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,STATIONERY,13/03/2015,261392,2064.1,LYRECO UK LIMITED,101689,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,20/03/2015,262044,2058.3,EDMUNDSON ELECTRICAL LTD,101640,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PROFESSIONAL SERVICES,13/03/2015,261482,2040,NOTTINGHAMSHIRE WILDLIFE TRUST,103315,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,PREMISES REPAIRS & RENEWALS,27/03/2015,262583,2024,CARMALOR CONSTRUCTION,100073,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G992,CIS DEDUCTIONS,20/03/2015,262250,2000,B P I  LTD,101125,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,PROMOTION OF EVENTS,10/04/2015,262756,2000,CHUTER EDE PRIMARY SCHOOL,102411,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,CHANGE MANAGEMENT,20/03/2015,261914,2000,LAVAT CONSULTING LTD,100269,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,CHANGE MANAGEMENT,13/03/2015,261431,2000,NCC PENSION FUND,101894,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,EQUIPMENT REPAIRS & RENEWALS,13/03/2015,261581,2000,REDACTED PERSONAL DATA,104778,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,LEARNING & PARTICIPATION,20/03/2015,262138,2000,REDACTED PERSONAL DATA,104904,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,OTHER EQUIPMENT AND TOOLS,06/03/2015,261156,1993.2,AQUASCENE,104864,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,PROFESSIONAL SERVICES,06/03/2015,261146,1992.5,PURCELL MILLER TRITTON LLP,101037,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,13/03/2015,261550,1989.68,VAMPIRES ROCK LTD,101920,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262654,1979.8,LINDUM GROUP LTD,100651,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,CONTRACTUAL SERVICES,27/03/2015,262597,1961.51,HI-SPEC FACILITIES SUPPORT CO PLC,101303,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,SUBSCRIPTIONS,13/03/2015,261578,1943.63,DISTRICT SURVEYORS LTD T/A LABC SERVICES,101002,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,GAS,20/03/2015,262129,1930.7,CORONA ENERGY,100113,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,RECEPTION DINNER,20/03/2015,261962,1882.5,KELHAM HALL LTD,102116,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,EQUIPMENT REPAIRS & RENEWALS,13/03/2015,261580,1860,REDACTED PERSONAL DATA,104778,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,FLEXIBLE RESOURCES,13/03/2015,261469,1824.75,GHM PLANNING,104881,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ADVERTISING,20/03/2015,261924,1800,CURRENT PUBLISHING LIMITED,104872,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,GAS,20/03/2015,262133,1792.29,CORONA ENERGY,100113,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,13/03/2015,261548,1790.6,THE MERRY OPERA COMPANY,104934,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ELECTRICITY,20/03/2015,262178,1780.98,EDF ENERGY 1 LTD,101140,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,13/03/2015,261546,1773.92,DEREK BLOCK ARTISTES AGENCY LTD,100124,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ADVERTISING,06/03/2015,261170,1773,NEWARK ADVERTISER CO LTD,100363,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262529,1720,NEWLINK ROOFING COMPANY,100376,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,06/03/2015,261206,1715.25,EDMUNDSON ELECTRICAL LTD,101640,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ITEMS FOR RESALE,20/03/2015,262248,1715.24,WARLORD GAMES LTD,104942,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,20/03/2015,261976,1704.27,CITY ELECTRICAL FACTORS LTD,100091,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,HARDWARE MAINTENANCE,20/03/2015,262211,1700,REYNOLDS & REYNOLDS LTD,101906,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ADVERTISING,13/03/2015,261478,1700,XN LEISURE SYSTEMS LTD,100616,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,RURAL COMMUNITY COUNCIL,27/03/2015,262538,1672,RURAL COMMUNITY ACTION NOTTINGHAMSHIRE,100473,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,13/03/2015,261584,1670.29,BRONBURY SERVICES LTD,100060,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G995,PROFESSIONAL SERVICES,13/03/2015,261604,1650,LAVAT CONSULTING LTD,100269,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,06/03/2015,261155,1640.1,MILLERS OILS LTD,102161,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,INTERNAL TRAINING,13/03/2015,261398,1640,NOTTINGHAMSHIRE COUNTY COUNCIL,100393,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,PUBLICATIONS,27/03/2015,262093,1634,THOMSON REUTERS (PROFESSIONAL) UK LTD,104540,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PLANNED MAINTENANCE - GROVE,27/03/2015,262548,1625,JCP POWER & DATA CONTRACTORS LTD,100243,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,PROFESSIONAL SERVICES,27/03/2015,262689,1618.8,ARC BUSINESS CONSULTANCY SERVICES LTD,102143,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,PALACE PALS EXPENDITURE,13/03/2015,261553,1565,NEW YOUTH THEATRE,100360,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,REFUSE BIN PURCHASES,13/03/2015,261526,1552.95,UK CONTAINER MAINTENANCE LTD,100578,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,PREMISES REPAIRS & RENEWALS,27/03/2015,262594,1547,JCP POWER & DATA CONTRACTORS LTD,100243,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,CONTRACTUAL SERVICES,13/03/2015,261623,1532.82,CANON (UK) LTD,101374,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,REPAIRS AND MAINTENANCE,20/03/2015,262187,1529.23,TOTAL INTEGRATED SOLUTIONS LTD,104742,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262495,1509,ARCUS CONSULTING LLP,104572,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,SPORTS DEVELOPMENT & EVENTS,13/03/2015,261596,1500,BLIDWORTH CWCC 100 CLUB,104751,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,20/03/2015,261915,1500,CONFETTI CONSTELLATIONS LTD,101859,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,FLEXIBLE RESOURCES,13/03/2015,261500,1500,MT TOWN PLANNING,104813,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,27/03/2015,262514,1500,THE GATE TO SOUTHWELL FOLK FESTIVAL,100931,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,REPAIRS AND MAINTENANCE,27/03/2015,262551,1499,JCP POWER & DATA CONTRACTORS LTD,100243,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,EH MINOR DEFAULT WORKS,20/03/2015,261888,1495,TOPARIA SUMMITS LTD,104936,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ADVERTISING,06/03/2015,261216,1485.05,REDACTED PERSONAL DATA,102171,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,POSTAGES,27/03/2015,262560,1479.65,ROYAL MAIL GROUP LTD,100469,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,GAS,20/03/2015,262132,1475.2,CORONA ENERGY,100113,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ADVERTISING,20/03/2015,261909,1473.6,IMMEDIATE MEDIA COMPANY BRISTOL LTD,104884,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,PROFESSIONAL SERVICES,27/03/2015,262466,1446.45,ARC BUSINESS CONSULTANCY SERVICES LTD,102143,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,REPAIRS AND MAINTENANCE,13/03/2015,261529,1420,TOTAL TILING SOLUTIONS,101625,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G992,SECTION 106 PAYMENTS,20/03/2015,261928,1400,CRESTRA LTD,101824,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,MERCHANDISE,27/03/2015,262613,1400,STREETWISE SOCCER UK LTD,104933,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,ADVERTISING,20/03/2015,262084,1395,BAG IT DON'T BIN IT LTD,102146,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,20/03/2015,262072,1395,OBAM LIFT SERVICES LTD,100403,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,13/03/2015,261631,1395,S P G CONSTRUCTION LTD,100477,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262653,1389.58,LINDUM GROUP LTD,100651,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,REPAIRS AND MAINTENANCE,27/03/2015,262501,1384.04,INSTATHERM COMBUSTION SERVICES LTD,102644,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,27/03/2015,262569,1376,THE MOBILITY EQUIPMENT CO LTD,100550,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,EQUIPMENT REPAIRS & RENEWALS,13/03/2015,261481,1358.82,TOTAL INTEGRATED SOLUTIONS LTD,104742,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,POOL CHEMICALS,13/03/2015,261562,1335,UNIVAR BV,102046,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,27/03/2015,262579,1333.55,ARTISTES INTERNATIONAL REPRESENTATION LTD,102145,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,20/03/2015,262186,1278,S P G CONSTRUCTION LTD,100477,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,27/03/2015,262484,1274.4,NAVMAN WIRELESS UK LTD,100353,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,PROFESSIONAL SERVICES,20/03/2015,262052,1267.1,ARDEN BUSINESS MANAGEMENT LTD,101698,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,REPAIRS AND MAINTENANCE,13/03/2015,261528,1250,J T DECORATORS,100806,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,REPAIRS AND MAINTENANCE,27/03/2015,262710,1250,SUNRISE WINDOW SYSTEMS LTD,101218,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PUBLICATIONS,20/03/2015,261886,1244.25,LEXISNEXIS,100276,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,27/03/2015,262165,1229.12,STAGE ELECTRICS,100517,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,PROFESSIONAL SERVICES,20/03/2015,261932,1200,CIPFA BUSINESS LTD,100090,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,REPAIRS AND MAINTENANCE,06/03/2015,261244,1182.29,COOPER PLUMBING,100110,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262638,1170,ARCUS CONSULTING LLP,104572,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,13/03/2015,261545,1159.62,REDACTED PERSONAL DATA,104883,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,OTHER EQUIPMENT AND TOOLS,27/03/2015,262616,1155.37,XN LEISURE SYSTEMS LTD,100616,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CATERING EQUIPMENT,27/03/2015,262476,1150,NOTTINGHAM CITY COUNCIL,100390,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,LOCAL NATURE RESERVES MAINTNCE,20/03/2015,262090,1132.9,P D ELLIOTT CONTRACTING,104851,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,POSTAGES,20/03/2015,261935,1126.98,ROYAL MAIL GROUP LTD,100469,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,COUNCIL FOR VOLUNTARY SERVICES,27/03/2015,262447,1124,NEWARK & SHERWOOD CVS,101027,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,13/03/2015,261547,1119.3,BRIAN SHAW CONCERTS,104708,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,CONTRACTUAL SERVICES,20/03/2015,262083,1106.94,HOME AND GARDEN REPAIRS,101970,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,POSTAGES,13/03/2015,261486,1077.3,ROYAL MAIL GROUP LTD,100469,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,13/03/2015,261618,1074.84,HONEYWELL - NOVAR SYSTEMS LTD,100213,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ELECTRICITY,20/03/2015,262174,1056.08,EDF ENERGY 1 LTD,101140,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PARISH CNCLS AND VOL BODIES,20/03/2015,261942,1050,REDACTED PERSONAL DATA,104910,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,FLEXIBLE RESOURCES,13/03/2015,261530,1050,WYG ENVIRONMENT PLANNING TRANSPORT LTD,101795,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,LICENCES,27/03/2015,262605,1037.7,LES MILLS FITNESS UK LTD,101522,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PREMISES REPAIRS & RENEWALS,06/03/2015,261249,1028.09,COOPER PLUMBING,100110,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,COMPUTER EQUIPMENT PURCHASE,20/03/2015,262213,1017.94,KELWAY (UK) LIMITED,100255,,,
