Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,Amount in Sterling,Supplier VAT Registration Number
"Department for Business, Innovation & Skills",Advantage West Midlands,24/06/2010,AWM Development Asset Spend,Resources Directorate,GOODMAN LOGISTIC DEVELOPMENTS (UK) LTD,143849,"587,500.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,14/06/2010,Equipment Rental & Equipment Running Costs,Resources Directorate,DANWOOD HITACHI (PRINT & EVERGREEN INV'S),143248,"30,884.29",
"Department for Business, Innovation & Skills",Advantage West Midlands,25/06/2010,ERDF - CAPITAL EXPENDITURE,Resources Directorate,MARCHES RURAL INVESTMENT TRUST T/A IMPETUS ,4204,"-30,587.70",
"Department for Business, Innovation & Skills",Advantage West Midlands,02/06/2010,ERDF - CAPITAL EXPENDITURE,Resources Directorate,ASTON UNIVERSITY,142546,"88,328.27",
"Department for Business, Innovation & Skills",Advantage West Midlands,02/06/2010,ERDF - CAPITAL EXPENDITURE,Resources Directorate,BLACK COUNTRY REINVESTMENT SOCIETY,142887,"152,750.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,24/06/2010,ERDF - CAPITAL EXPENDITURE,Resources Directorate,MARCHES RURAL INVESTMENT TRUST T/A IMPETUS ,143156,"30,587.70",
"Department for Business, Innovation & Skills",Advantage West Midlands,24/06/2010,ERDF - CAPITAL EXPENDITURE,Resources Directorate,MARCHES RURAL INVESTMENT TRUST T/A IMPETUS ,143156,"47,424.85",
"Department for Business, Innovation & Skills",Advantage West Midlands,08/06/2010,ERDF - REVENUE EXPENDITURE,Resources Directorate,UWSP CONCEPTS LTD (GRANTS ONLY),4182,"-110,867.88",
"Department for Business, Innovation & Skills",Advantage West Midlands,24/06/2010,ERDF - REVENUE EXPENDITURE,Resources Directorate,Screen West Midlands,141938,"26,741.04",
"Department for Business, Innovation & Skills",Advantage West Midlands,02/06/2010,ERDF - REVENUE EXPENDITURE,Resources Directorate,COVENTRY UNIVERSITY ENTERPRISES LTD,142834,"115,137.36",
"Department for Business, Innovation & Skills",Advantage West Midlands,07/06/2010,ERDF - REVENUE EXPENDITURE,Resources Directorate,UWSP CONCEPTS LTD (GRANTS ONLY),143049,"110,867.88",
"Department for Business, Innovation & Skills",Advantage West Midlands,07/06/2010,ERDF - REVENUE EXPENDITURE,Resources Directorate,WEST MIDLANDS MANUFACTURING CONSORTIUM LTD,143090,"29,107.74",
"Department for Business, Innovation & Skills",Advantage West Midlands,09/06/2010,ERDF - REVENUE EXPENDITURE,Resources Directorate,UNIVERSITY OF WARWICK,143293,"286,490.28",
"Department for Business, Innovation & Skills",Advantage West Midlands,08/06/2010,ERDF - REVENUE EXPENDITURE,Resources Directorate,UWSP CONCEPTS LTD (GRANTS ONLY),143348,"110,957.26",
"Department for Business, Innovation & Skills",Advantage West Midlands,18/06/2010,ERDF - REVENUE EXPENDITURE,Resources Directorate,COVENTRY UNIVERSITY ENTERPRISES LTD,143483,"45,724.30",
"Department for Business, Innovation & Skills",Advantage West Midlands,23/06/2010,ERDF - REVENUE EXPENDITURE,Resources Directorate,WEST MIDLANDS MAN CONSORTIUM LTD (ERDF),143625,"27,161.17",
"Department for Business, Innovation & Skills",Advantage West Midlands,24/06/2010,ERDF - REVENUE EXPENDITURE,Resources Directorate,UNIVERSITY OF WARWICK,143690,"48,565.18",
"Department for Business, Innovation & Skills",Advantage West Midlands,21/06/2010,ERDF - REVENUE EXPENDITURE,Resources Directorate,West MIdlands Brokerage Services ltd,143782,"66,036.46",
"Department for Business, Innovation & Skills",Advantage West Midlands,23/06/2010,ERDF - REVENUE EXPENDITURE,Resources Directorate,WEST MIDLANDS MANUFACTURING CONSORTIUM LTD,143815,"46,162.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,02/06/2010,EXTERNAL AUDIT FEES,Resources Directorate,NATIONAL AUDIT OFFICE,143155,"90,915.63",
"Department for Business, Innovation & Skills",Advantage West Midlands,07/06/2010,General Reserve,Resources Directorate,HOMES AND COMMUNITIES AGENCY (BIRMINGHAM),143323,"131,109.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,25/06/2010,Rent,Resources Directorate,ASTON SCIENCE PARK LTD,143416,"176,776.99",
"Department for Business, Innovation & Skills",Advantage West Midlands,25/06/2010,Service Charge,Resources Directorate,ASTON SCIENCE PARK LTD,143416,"36,516.06",
"Department for Business, Innovation & Skills",Advantage West Midlands,24/06/2010,Single Pot - Capital,Resources Directorate,STEELWAY FENSECURE LTD,141392,"43,000.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,29/06/2010,Single Pot - Capital,Resources Directorate,EXCALIBUR MANUFACTURING SOLUTIONS LTD,141893,"25,000.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,27/05/2010,Single Pot - Capital,Resources Directorate,INTERNET BUSINESS SOLUTINS LTD,142711,"35,000.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,27/05/2010,Single Pot - Capital,Resources Directorate,OLYMPUS ENGINEERING,142865,"66,707.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,02/06/2010,Single Pot - Capital,Resources Directorate,BLACK COUNTRY REINVESTMENT SOCIETY,142887,"76,250.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,08/06/2010,Single Pot - Capital,Resources Directorate,UNIVERSITY OF WARWICK,142897,"41,358.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,27/05/2010,Single Pot - Capital,Resources Directorate,NUNEATON AND BEDWORTH BOROUGH COUNCIL,142947,"84,879.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,04/06/2010,Single Pot - Capital,Resources Directorate,WASTE & RESOURCES ACTION PROGRAMME,143130,"57,171.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,09/06/2010,Single Pot - Capital,Resources Directorate,WARWICKSHIRE COLLEGE,143349,"297,817.76",
"Department for Business, Innovation & Skills",Advantage West Midlands,11/06/2010,Single Pot - Capital,Resources Directorate,SHROPSHIRE COUNCIL ,143355,"25,808.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,11/06/2010,Single Pot - Capital,Resources Directorate,STOFORD DEVELOPMENTS LTD,143357,"121,415.37",
"Department for Business, Innovation & Skills",Advantage West Midlands,22/06/2010,Single Pot - Capital,Resources Directorate,THE MANUFACTURING TECHNOLOGY CENTRE,143529,"812,151.12",
"Department for Business, Innovation & Skills",Advantage West Midlands,21/06/2010,Single Pot - Capital,Resources Directorate,STRATFORD ON AVON DISTRICT COUNCIL,143584,"286,095.85",
"Department for Business, Innovation & Skills",Advantage West Midlands,24/06/2010,Single Pot - Capital,Resources Directorate,E C HOPKINS,143607,"40,000.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,16/06/2010,Single Pot - Capital,Resources Directorate,MERCIA TECHNOLOGY SEED FUND 2,143620,"499,950.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,24/06/2010,Single Pot - Capital,Resources Directorate,BIRMINGHAM CITY COUNCIL (NOT RATES),143767,"468,743.96",
"Department for Business, Innovation & Skills",Advantage West Midlands,24/06/2010,Single Pot - Capital,Resources Directorate,ROYAL SHAKESPEARE COMPANY,143811,"279,187.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,25/06/2010,Single Pot - Capital,Resources Directorate,MARCHES RURAL INVESTMENT TRUST T/A IMPETUS ,143879,"30,587.70",
"Department for Business, Innovation & Skills",Advantage West Midlands,08/06/2010,Single Pot - Revenue,Resources Directorate,UWSP CONCEPTS LTD (GRANTS ONLY),4182,"-66,520.73",
"Department for Business, Innovation & Skills",Advantage West Midlands,24/06/2010,Single Pot - Revenue,Resources Directorate,SOLIHULL METROPOLITAN BOROUGH COUNCIL,141883,"72,461.53",
"Department for Business, Innovation & Skills",Advantage West Midlands,24/06/2010,Single Pot - Revenue,Resources Directorate,Screen West Midlands,141938,"26,741.04",
"Department for Business, Innovation & Skills",Advantage West Midlands,09/06/2010,Single Pot - Revenue,Resources Directorate,West Midlands International Trade LLP,142698,"51,297.88",
"Department for Business, Innovation & Skills",Advantage West Midlands,26/05/2010,Single Pot - Revenue,Resources Directorate,INTERNATIONAL AGRI-TECHNOLOGY CENTRE LTD,142895,"35,752.55",
"Department for Business, Innovation & Skills",Advantage West Midlands,02/06/2010,Single Pot - Revenue,Partnerships and Communications Directorate,SHROPSHIRE COUNCIL ,142945,"32,000.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,26/05/2010,Single Pot - Revenue,Economic Development Directorate,West MIdlands Brokerage Services ltd,142961,"947,974.10",
"Department for Business, Innovation & Skills",Advantage West Midlands,28/06/2010,Single Pot - Revenue,Partnerships and Communications Directorate,MARKETING BIRMINGHAM,142971,"58,750.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,07/06/2010,Single Pot - Revenue,Resources Directorate,UWSP CONCEPTS LTD (GRANTS ONLY),143049,"66,574.36",
"Department for Business, Innovation & Skills",Advantage West Midlands,07/06/2010,Single Pot - Revenue,Economic Development Directorate,WEST MIDLANDS MANUFACTURING CONSORTIUM LTD,143090,"184,163.50",
"Department for Business, Innovation & Skills",Advantage West Midlands,09/06/2010,Single Pot - Revenue,Resources Directorate,ACCREDIT UK LTD,143098,"29,140.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,04/06/2010,Single Pot - Revenue,Resources Directorate,WASTE & RESOURCES ACTION PROGRAMME,143130,"42,941.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,17/06/2010,Single Pot - Revenue,Partnerships and Communications Directorate,BHMG MARKETING SERVICES LIMITED,143269,"26,625.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,08/06/2010,Single Pot - Revenue,Resources Directorate,UWSP CONCEPTS LTD (GRANTS ONLY),143348,"66,574.36",
"Department for Business, Innovation & Skills",Advantage West Midlands,11/06/2010,Single Pot - Revenue,Resources Directorate,HEART OF ENGLAND FINE FOODS,143356,"36,997.59",
"Department for Business, Innovation & Skills",Advantage West Midlands,10/06/2010,Single Pot - Revenue,Partnerships and Communications Directorate,MCCANN ERICKSON CENTRAL LTD,143376,"25,000.01",
"Department for Business, Innovation & Skills",Advantage West Midlands,10/06/2010,Single Pot - Revenue,Partnerships and Communications Directorate,BIRMINGHAM CITY COUNCIL (NOT RATES),143402,"80,000.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,10/06/2010,Single Pot - Revenue,Partnerships and Communications Directorate,BIRMINGHAM CITY COUNCIL (NOT RATES),143403,"200,000.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,15/06/2010,Single Pot - Revenue,Resources Directorate,West Midlands International Trade LLP,143424,"69,133.87",
"Department for Business, Innovation & Skills",Advantage West Midlands,15/06/2010,Single Pot - Revenue,Economic Development Directorate,WEST MIDLANDS BUSINESS REPRESENTATION LLP,143442,"74,105.90",
"Department for Business, Innovation & Skills",Advantage West Midlands,24/06/2010,Single Pot - Revenue,Resources Directorate,MEDILINK WEST MIDLANDS,143501,"100,647.28",
"Department for Business, Innovation & Skills",Advantage West Midlands,16/06/2010,Single Pot - Revenue,Resources Directorate,THE DANCE XCHANGE LTD,143505,"132,684.40",
"Department for Business, Innovation & Skills",Advantage West Midlands,18/06/2010,Single Pot - Revenue,Economic Development Directorate,West MIdlands Brokerage Services ltd,143527,"72,513.33",
"Department for Business, Innovation & Skills",Advantage West Midlands,18/06/2010,Single Pot - Revenue,Economic Development Directorate,West MIdlands Brokerage Services ltd,143528,"1,187,903.32",
"Department for Business, Innovation & Skills",Advantage West Midlands,17/06/2010,Single Pot - Revenue,Resources Directorate,NATIONAL METALS TECHNOLOGY CENTRE LTD,143532,"31,927.06",
"Department for Business, Innovation & Skills",Advantage West Midlands,17/06/2010,Single Pot - Revenue,Resources Directorate,TELFORD & WREKIN COUNCIL,143580,"28,691.67",
"Department for Business, Innovation & Skills",Advantage West Midlands,23/06/2010,Single Pot - Revenue,Economic Development Directorate,WEST MIDLANDS MAN CONSORTIUM LTD (ERDF),143625,"27,161.17",
"Department for Business, Innovation & Skills",Advantage West Midlands,17/06/2010,Single Pot - Revenue,Economic Development Directorate,West MIdlands Brokerage Services ltd,143673,"30,971.90",
"Department for Business, Innovation & Skills",Advantage West Midlands,22/06/2010,Single Pot - Revenue,Partnerships and Communications Directorate,AMAZE (EUROPE) LIMITED,143684,"39,832.50",
"Department for Business, Innovation & Skills",Advantage West Midlands,24/06/2010,Single Pot - Revenue,Resources Directorate,UNIVERSITY OF WARWICK,143690,"48,565.18",
"Department for Business, Innovation & Skills",Advantage West Midlands,21/06/2010,Single Pot - Revenue,Partnerships and Communications Directorate,MCCANN ERICKSON CENTRAL LTD,143744,"39,950.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,24/06/2010,Single Pot - Revenue,Resources Directorate,INTERNATIONAL AGRI-TECHNOLOGY CENTRE LTD,143780,"48,595.84",
"Department for Business, Innovation & Skills",Advantage West Midlands,21/06/2010,Single Pot - Revenue,Economic Development Directorate,West MIdlands Brokerage Services ltd,143782,"76,472.58",
"Department for Business, Innovation & Skills",Advantage West Midlands,23/06/2010,Single Pot - Revenue,Economic Development Directorate,ASTON UNIVERSITY,143788,"31,255.00",
"Department for Business, Innovation & Skills",Advantage West Midlands,23/06/2010,Single Pot - Revenue,Economic Development Directorate,WEST MIDLANDS MANUFACTURING CONSORTIUM LTD,143815,"213,161.52",
"Department for Business, Innovation & Skills",Advantage West Midlands,24/06/2010,Sundry Debtors - Manual Input,Resources Directorate,GOODMAN LOGISTIC DEVELOPMENTS (UK) LTD,4202,"-587,500.00",
,,,,,,TOTAL,"9,017,954.35",
NB. Items with a minus value relate to credit notes which have been issued by the supplier to cancel an incorrect invoice.,,,,,,,,
