Country,LAType,LAName,TotalNumberOfEstablishments(IncludingNotYetRatedAndOutside)(1),NumberOfEstablishmentsNotYetRatedForIntervention(1),NumberOfEstablishmentsOutsideProgramme(1),Total%OfInterventionsAchieved(PremisesRatedA-C),Total%OfInterventionsAchieved-PremisesRatedA,Total%OfInterventionsAchieved-PremisesRatedB,Total%OfInterventionsAchieved-PremisesRatedC,Total%OfInterventionsAchieved-PremisesNotYetRated,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-Seizure|DetentionAndSurrenderOfFood,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-SimpleCautions,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-ImprovementNotices,TotalNumberOfEstablishmentsSubjectToWrittenWarnings,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-ProsecutionsConcluded,ProfessionalFullTimeEquivalentPosts-Occupied*
England,County Council,Buckinghamshire,4422,200,9,4.70,100.00,11.52,2.58,94.29,0,0,0,31,0,2.51
England,County Council,Cambridgeshire ?,4943,0,0,15.00,88.00,21.05,6.75,100.00,0,0,0,12,0,1.50
England,County Council,Cumbria,5312,60,0,74.44,100.00,100.00,68.18,98.13,0,0,0,78,1,2.00
England,County Council,Derbyshire,9036,54,0,48.24,93.02,69.82,16.71,34.15,0,1,0,1,0,4.00
England,County Council,Devon and Somerset ?,20842,320,0,5.94,100.00,6.61,3.36,52.37,0,0,0,74,0,3.07
England,County Council,Dorset,5206,24,0,74.10,100.00,58.25,100.00,NR,0,0,0,34,0,2.80
England,County Council,East Sussex,7041,26,2,34.72,96.03,39.23,13.48,100.00,0,0,0,21,0,1.00
England,County Council,Essex ?,14570,872,0,34.48,75.65,21.47,35.29,91.89,0,0,0,13,0,5.35
England,County Council,Gloucestershire ?,4710,1107,0,100.00,100.00,100.00,100.00,100.00,0,0,0,0,0,2.00
England,County Council,Hampshire,8936,552,0,7.30,99.11,6.29,4.15,50.15,0,1,0,64,0,2.90
England,County Council,Hertfordshire,7201,510,0,4.97,100.00,5.26,3.69,3.09,0,0,0,2,0,6.20
England,County Council,Kent ?,15256,1253,0,89.44,100.00,85.64,98.28,100.00,0,0,0,1,0,3.80
England,County Council,Lancashire,10133,37,14,26.01,100.00,28.71,14.66,88.89,0,51,12,0,4,4.00
England,County Council,Leicestershire,3815,424,0,37.15,100.00,45.90,34.93,100.00,0,2,5,109,0,3.20
England,County Council,Lincolnshire ?,8855,47,19,1.81,24.10,2.02,0.34,0.00,0,0,0,15,0,2.00
England,County Council,Norfolk ,8007,0,0,100.00,100.00,100.00,100.00,NR,0,0,1,27,0,4.80
England,County Council,North Yorkshire ?,9284,153,0,19.35,65.22,3.43,29.03,100.00,0,0,1,35,0,2.85
England,County Council,Northamptonshire,4580,1,0,46.85,100.00,43.33,54.84,100.00,1,0,0,30,0,2.50
England,County Council,Nottinghamshire ,6267,329,0,3.14,98.89,1.68,1.58,9.40,0,0,0,0,0,2.60
England,County Council,Oxfordshire,7004,0,0,2.00,89.87,0.98,0.96,100.00,0,0,0,15,0,1.99
England,County Council,Staffordshire,10111,139,1,36.65,100.00,62.91,28.75,91.61,0,0,1,39,1,3.50
England,County Council,Suffolk ?,9978,9130,3,12.64,50.70,7.95,2.86,100.00,1,0,0,64,0,2.00
England,County Council,Surrey,8844,21,1491,4.56,100.00,5.26,2.89,83.33,0,0,0,23,0,3.66
England,County Council,Warwickshire,5571,1048,228,2.49,100.00,3.32,0.87,2.92,0,2,0,20,1,3.00
England,County Council,West Sussex,10555,39,0,58.52,96.57,48.12,53.25,100.00,0,1,0,140,1,5.40
England,County Council,Worcestershire ?,6699,1737,0,3.86,15.38,2.09,4.60,0.81,0,0,0,1,0,1.00
England,London Borough,Barking & Dagenham ?,,,,55.39,62.50,74.81,40.35,100.00,0,0,0,1,0,1.00
England,London Borough,Barnet,,,,31.50,100.00,45.07,22.97,91.50,3,0,0,69,0,1.00
England,London Borough,Bexley ?,,,,99.52,100.00,98.14,100.00,100.00,0,0,0,538,0,5.50
England,London Borough,Brent ?,,,,65.45,50.88,59.13,72.61,56.79,0,0,0,6,0,2.00
England,London Borough,Bromley,,,,54.82,100.00,62.50,51.19,100.00,0,0,2,11,0,2.22
England,London Borough,Camden (2),,,,99.93,100.00,99.89,100.00,57.77,0,0,0,0,0,0.80
England,London Borough,City of London,,,,50.71,100.00,65.44,44.97,100.00,0,0,0,124,0,0.90
