Transaction Posting date,Merchant Name,Transaction Amount,Comments (Additional Context)
02-Dec-2011,FRANCOTYP,506.00,Franking machine top-up (postage)
13-Dec-2011,FRANCOTYP,506.00,Franking machine top-up (postage)
22-Dec-2011,WWW.FPMAILING.CO.UK,506.00,Franking machine top-up (postage)
01-Dec-2011,WWW.NEOPOST.CO.UK,515.00,Franking machine top-up (postage)
02-Dec-2011,WWW.NEOPOST.CO.UK,515.00,Franking machine top-up (postage)
06-Dec-2011,WWW.NEOPOST.CO.UK,515.00,Franking machine top-up (postage)
08-Dec-2011,WWW.NEOPOST.CO.UK,515.00,Franking machine top-up (postage)
13-Dec-2011,WWW.NEOPOST.CO.UK,515.00,Franking machine top-up (postage)
21-Dec-2011,WWW.NEOPOST.CO.UK,515.00,Franking machine top-up (postage)
21-Dec-2011,WWW.NEOPOST.CO.UK,515.00,Franking machine top-up (postage)
06-Dec-2011,FRANCOTYP,1006.00,Franking machine top-up (postage)
20-Dec-2011,FRANCOTYP,1006.00,Franking machine top-up (postage)
01-Dec-2011,WWW.NEOPOST.CO.UK,1030.00,Franking machine top-up (postage)
23-Dec-2011,NORMAN HAYNES LTD,1098.53,Replacement parts for document binding equipment
23-Dec-2011,FRANCOTYP,1506.00,Franking machine top-up (postage)
