objectid,pfa16cd,pfa16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E23000001,Metropolitan Police,517516,178392,-0.30864,51.49227142,1570605598.08478,424522.342919828
2,E23000002,Cumbria,341868,527389,-2.90217996,54.63825989,6822195398.81371,987067.168715615
3,E23000003,Lancashire,363669,441026,-2.55392003,53.86418152,3076412675.61151,795005.042947391
4,E23000004,Merseyside,344324,390164,-2.83892989,53.40534973,646731745.76365,280940.941577153
5,E23000005,Greater Manchester,377940,401102,-2.33406997,53.50614929,1275981133.87164,248705.576852045
6,E23000006,Cheshire,368759,368676,-2.46926999,53.21422958,2342769958.02758,461592.256021329
7,E23000007,Northumbria,398898,602530,-2.01891994,55.31684113,5566180595.30325,751325.435039996
8,E23000008,Durham,410381,532242,-1.8405,54.68513107,2429018088.23463,339193.008266398
9,E23000009,North Yorkshire,429509,466515,-1.55032003,54.09371185,8312199109.00777,815031.338137752
10,E23000010,West Yorkshire,418686,427238,-1.71817005,53.74119949,2029258660.00132,282889.605715548
11,E23000011,South Yorkshire,441052,398663,-1.38284004,53.48310852,1551563987.65481,287864.015190747
12,E23000012,Humberside,488051,443608,-0.66202998,53.88122177,3516101363.9776,789854.64978495
13,E23000013,Cleveland,445425,522495,-1.29848003,54.59561157,597230605.364188,256195.722648205
14,E23000014,West Midlands,402507,289715,-1.96448004,52.50534058,901639657.612036,256429.945450795
15,E23000015,Staffordshire,398243,334651,-2.02756,52.90930176,2716762875.6973,438122.08040004
16,E23000016,West Mercia,366411,287999,-2.49608994,52.48886871,7407812562.21954,813530.686967655
17,E23000017,Warwickshire,429584,253588,-1.56874001,52.17977142,1977522677.62001,397570.252642801
18,E23000018,Derbyshire,426752,353556,-1.60210001,53.07857895,2628793544.98219,419131.291894935
19,E23000019,Nottinghamshire,466570,359496,-1.00655997,53.12850189,2159324661.06666,328338.069414703
20,E23000020,Lincolnshire,517985,358543,-0.23882,53.11104965,5937285888.79726,726096.778172214
21,E23000021,Leicestershire,466555,310191,-1.01686001,52.68534851,2550877917.14387,342732.120544497
22,E23000022,Northamptonshire,477359,268708,-0.86668003,52.31105042,2366990161.67203,380407.831610601
23,E23000023,Cambridgeshire,536856,271834,0.006854,52.32754898,3395891918.89275,529618.158702757
24,E23000024,Norfolk,600546,312278,0.96466202,52.67110825,5381605318.05981,962969.717931607
25,E23000025,Suffolk,608216,266122,1.04914796,52.2538681,3802344784.93755,757293.461778562
26,E23000026,Bedfordshire,508276,242055,-0.42184001,52.06629944,1235426093.66653,246521.221274056
27,E23000027,Hertfordshire,518883,213642,-0.27699,51.8087883,1643064931.00528,302891.510116265
28,E23000028,Essex,569523,210837,0.45554799,51.77053833,3677230144.86972,1161271.57770169
29,E23000029,Thames Valley,462576,202253,-1.09561002,51.71551895,5743410013.64554,583810.8758358
30,E23000030,Hampshire,445931,135667,-1.34512997,51.11845016,4149369053.8487,933634.725504468
31,E23000031,Surrey,515966,153408,-0.33910999,51.26802826,1670072928.85946,273588.162799926
32,E23000032,Kent,590108,148050,0.71976799,51.20001984,3739595839.48837,765175.686966863
33,E23000033,Sussex,556566,117293,0.22679,50.93383026,3786348502.47293,689890.812818093
34,E23000034,City of London,532382,181358,-0.09351,51.51564026,2903926.47963706,9249.71985440705
35,E23000035,Devon and Cornwall,249986,81319,-4.12166977,50.61222839,10275721827.1122,2229855.74341421
36,E23000036,Avon and Somerset,356387,150272,-2.62627006,51.24993134,4784508676.56207,667478.242220908
37,E23000037,Gloucestershire,389595,213465,-2.15234995,51.81970978,2653031416.22095,533507.053264933
38,E23000038,Wiltshire,405209,158863,-1.92660999,51.32883072,3485431492.51697,387017.035140734
39,E23000039,Dorset,375742,99796,-2.34556007,50.79719925,2652676306.54299,605775.328121891
40,W15000001,North Wales,282470,346124,-3.75274992,52.99951172,6172532409.12864,1217951.7485433
41,W15000002,Gwent,331785,205411,-2.98939991,51.74322891,1553152307.06162,313428.82726686
42,W15000003,South Wales,291642,190822,-3.56609988,51.60578156,2082312268.26329,540604.868921508
43,W15000004,Dyfed-Powys,290528,263540,-3.60532999,52.2591095,10974132961.3538,1605859.5898761
