Special Advisers Hospitality Received,,
1 April - 30 June 2014,,

Name of Special Adviser - Hayden Allan ,,
Date of hospitality,Name of organisation ,Type of Hospitality Received
12-Jun-14,ITN ,Lunch 
18-Jun-14,The Guardian Media Group and Telegraph Media Group,Lunch 
19-Jun-14,The Evening Standard ,Lunch 
,,
Name of Special Adviser - Graham Hook ,,
Date of hospitality,Name of organisation ,Type of Hospitality Received 
None ,,

"*Does not normally include attendance at functions hosted by HM Government or the Royal Household; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offer",,
