Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Registration Number
Crown Prosecution Service,Crown Prosecution Service,02/06/2010,New Works,Cumbria,Jennor (Partitions and Ceilings) Ltd St Helens,72439,82768.26,
Crown Prosecution Service,Crown Prosecution Service,02/06/2010,Furniture (Capital Costs),Finance Directorate,Kinnarps Colnbrook,72444,1058974.1,
Crown Prosecution Service,Crown Prosecution Service,02/06/2010,External Training,Human Resource Directorate,Robertson Cooper Ltd Manchester,72459,66635.32,
Crown Prosecution Service,Crown Prosecution Service,02/06/2010,Postage,National Pay & Benefits Business Centre,DX Network Services Ltd,72472,18279.45,
Crown Prosecution Service,Crown Prosecution Service,02/06/2010,Postage,Nottinghamshire,DX Network Services Ltd,72472,18279.46,
Crown Prosecution Service,Crown Prosecution Service,02/06/2010,Postage,West Mercia,DX Network Services Ltd,72472,17325.5,
Crown Prosecution Service,Crown Prosecution Service,02/06/2010,Solicitors - L/A,West Mercia,DX Network Services Ltd,72472,17325.51,
Crown Prosecution Service,Crown Prosecution Service,03/06/2010,Higher Courts Full Scheme (VHCC),Thames Valley,Glynn J ,72757,25864.69,
Crown Prosecution Service,Crown Prosecution Service,03/06/2010,Crown Court (VHCC),Fraud Prosecution Division,Khamisa Mohammed ,72800,45648.75,
Crown Prosecution Service,Crown Prosecution Service,03/06/2010,"Crown Court (Counsel, GFS)",South Wales,Aubrey David ,73335,39157.72,
Crown Prosecution Service,Crown Prosecution Service,04/06/2010,Transcriptions And Translation,National FM Business Centre,Mendip Media Group Ltd Tiverton,74226,48687.41,
Crown Prosecution Service,Crown Prosecution Service,04/06/2010,"Crown Court (Counsel, GFS)",West Yorkshire,Greaney P ,74773,61239.25,
Crown Prosecution Service,Crown Prosecution Service,04/06/2010,"Crown Court (Counsel, GFS)",West Midlands,Evans Gareth ,74865,27673.24,
Crown Prosecution Service,Crown Prosecution Service,04/06/2010,"Crown Court (Counsel, GFS)",Gloucester,Blair Peter Michael ,75045,42130.15,
Crown Prosecution Service,Crown Prosecution Service,04/06/2010,Crown Court (VHCC),Fraud Prosecution Division,Wheeler Andrew ,75084,30784.52,
Crown Prosecution Service,Crown Prosecution Service,07/06/2010,Managed Service (Contract Management) - Logica Contract,Finance Directorate,Logica UK Limited London,75984,113000.15
Crown Prosecution Service,Crown Prosecution Service,07/06/2010,Postage,West Midlands,DX Network Services Ltd,75991,43399.69
Crown Prosecution Service,Crown Prosecution Service,07/06/2010,File Storage,Central Fraud Group,HM Revenue and Customs,76000,8404.39
Crown Prosecution Service,Crown Prosecution Service,07/06/2010,Other Accommodation Costs,Central Fraud Group,HM Revenue and Customs,76000,1848.47
Crown Prosecution Service,Crown Prosecution Service,07/06/2010,Transcriptions And Translation,Central Fraud Group,HM Revenue and Customs,76000,28283.69
Crown Prosecution Service,Crown Prosecution Service,08/06/2010,Crown Court (VHCC),Fraud Prosecution Division,Wood Sarah ,76527,28771.25
Crown Prosecution Service,Crown Prosecution Service,08/06/2010,"Crown Court (Counsel, GFS)",London,Altman Brian ,76528,32951.22
Crown Prosecution Service,Crown Prosecution Service,08/06/2010,"Crown Court (Counsel, GFS)",London,Wright Peter ,76529,92236.78
Crown Prosecution Service,Crown Prosecution Service,08/06/2010,Civil Counsel Fees - Confiscation Expenses,Organised Crime Division,Spencer Derek ,76542,27972.64
Crown Prosecution Service,Crown Prosecution Service,08/06/2010,Logica contract,Business Information Sys Dir,Logica UK Limited London,77076,113328.5
Crown Prosecution Service,Crown Prosecution Service,08/06/2010,Transcriptions And Translation,Finance Directorate,J L Harpham Ltd,77078,66439.2
Crown Prosecution Service,Crown Prosecution Service,08/06/2010,Transcriptions And Translation,Finance Directorate,AVR Transcription Ltd Bolton,77106,80379.68
Crown Prosecution Service,Crown Prosecution Service,09/06/2010,"Crown Court (Counsel, GFS)",Leicestershire,Aspden Gordon James ,77756,39346.87
Crown Prosecution Service,Crown Prosecution Service,09/06/2010,"Crown Court (Counsel, GFS)",West Yorkshire,Jameson Rodney M M ,77781,45541.54
Crown Prosecution Service,Crown Prosecution Service,09/06/2010,"Crown Court (Counsel, GFS)",West Mercia,Farrer Paul ,77784,28514.77
Crown Prosecution Service,Crown Prosecution Service,09/06/2010,"Crown Court (Counsel, GFS)",Leicestershire,Spencer Timothy John ,77923,77488.32
Crown Prosecution Service,Crown Prosecution Service,09/06/2010,"Crown Court (Counsel, GFS)",West Yorkshire,Smith Robert QC ,78267,122199.68
Crown Prosecution Service,Crown Prosecution Service,09/06/2010,Computer Services,Business Information Sys Dir,SunGard Public Sector Ltd Chippenham,78437,63996.39
Crown Prosecution Service,Crown Prosecution Service,09/06/2010,Fittings,Manchester,TSK Group Plc Manchester,78441,32611.69
Crown Prosecution Service,Crown Prosecution Service,09/06/2010,Facilities Management,National FM Business Centre,Carillion Building Wolverhampton,78448,67893.86
Crown Prosecution Service,Crown Prosecution Service,10/06/2010,"Crown Court (Counsel, GFS)",Durham,Dodds Shaun ,79950,29627.74
Crown Prosecution Service,Crown Prosecution Service,10/06/2010,Crown Court (High Cost Cases),Surrey,Flint Simon ,79986,96599.69
Crown Prosecution Service,Crown Prosecution Service,10/06/2010,Crown Court (VHCC),Fraud Prosecution Division,Khamisa Mohammed ,80523,70519.98
Crown Prosecution Service,Crown Prosecution Service,10/06/2010,Transcriptions And Translation,National FM Business Centre,Wordwave International Ltd,80575,44973.71
Crown Prosecution Service,Crown Prosecution Service,11/06/2010,Crown Court (VHCC),Central Fraud Group,Jones John ,80983,33910.5
Crown Prosecution Service,Crown Prosecution Service,11/06/2010,Crown Court (VHCC),London,Farmer Matthew ,81007,36060.77
