,2009-10,2010-11,2011-12
Pre-charge decisions,"477,522","466,611","367,067"
Out of Court Disposals,"19,462","16,049","10,743"
Prosecuted by CPS,"872,585","840,983","787,547"
Other proceedings,"3,302","2,501","1,937"
