Organisation,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
Rochdale,01/04/2014,LINK4LIFE (CHARITY),Arts & Leisure Services,FINANCE SERVICES,CONTRACT FEE LEISURE TRUST,"£44,925.00"
Rochdale,01/04/2014,LINK4LIFE (CHARITY),Arts & Leisure Services,FINANCE SERVICES,CONTRACT FEE LEISURE TRUST,"£302,575.00"
Rochdale,10/04/2014,LINK4LIFE (CHARITY),Arts & Leisure Services,CHILDREN’S SOCIAL CARE,FOSTERING TEAM,£705.60
Rochdale,01/04/2014,LINK4LIFE (TRADING),Arts & Leisure Services,FINANCE SERVICES,CONTRACT FEE LEISURE TRUST,"£7,300.00"
Rochdale,04/04/2014,NATIONAL CYCLING ACADEMY,Arts & Leisure Services,PROPERTY AND HIGHWAYS,17-25 YOUNG DRIVER PROJECT,"£13,125.00"
Rochdale,22/04/2014,A & S BUILDING & ROOFING,Building Construction Materials,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"£3,126.00"
Rochdale,08/04/2014,ABBEY ARCHITECTURAL IRONMONGERY,Building Construction Materials,PROPERTY AND HIGHWAYS,BUSINESS SUPPORT TEAM,£832.09
Rochdale,08/04/2014,ABC INDUSTRIAL DOORS LTD,Building Construction Materials,PROPERTY AND HIGHWAYS,ALKRINGTON LIBRARY,£590.50
Rochdale,22/04/2014,ABC INDUSTRIAL DOORS LTD,Building Construction Materials,EARLY HELP AND SCHOOLS,MEANWOOD CHILDRENS CENTRE,£545.50
Rochdale,22/04/2014,ABC INDUSTRIAL DOORS LTD,Building Construction Materials,PROPERTY AND HIGHWAYS,SMALLBRIDGE LIBRARY,£590.50
Rochdale,23/04/2014,ANGLIA SIGN CASTING COMPANY LIMITED,Building Construction Materials,ECONOMY AND ENVIRONMENT,ALL CREMETORIA,£636.66
Rochdale,23/04/2014,AQUABLAST SERVICES LIMITED,Building Construction Materials,ECONOMY AND ENVIRONMENT,DEPOT GREEN LANE GENERAL,£890.00
Rochdale,23/04/2014,BOARSHURST LOFTS & DORMERS,Building Construction Materials,LEARNING DIS & MENTAL HEALTH,CARERS RESOURCE CENTRE,"£7,728.63"
Rochdale,09/04/2014,BODEN & DAVIES LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,£786.00
Rochdale,09/04/2014,BODEN & DAVIES LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,£786.00
Rochdale,16/04/2014,BOYTON BROS AND HALLAM  RANSKILL LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,STREETS MIDDLETON GENERAL,£690.00
Rochdale,16/04/2014,BOYTON BROS AND HALLAM  RANSKILL LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,STREETS PENNINES GENERAL,"£1,380.00"
Rochdale,16/04/2014,BOYTON BROS AND HALLAM  RANSKILL LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,STREETS ROCHDALE GENERAL,£920.00
Rochdale,07/04/2014,CARTER FENCING LTD                   (S),Building Construction Materials,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,"£2,525.00"
Rochdale,24/04/2014,CLONSHALL LTD,Building Construction Materials,PROPERTY AND HIGHWAYS,STANNYCLIFFE SC REPLACE AC ROOF,"£6,222.23"
Rochdale,14/04/2014,F S MOULT & SON,Building Construction Materials,ECONOMY AND ENVIRONMENT,HOMELESS TRANSFER COSTS,"£2,400.00"
Rochdale,11/04/2014,F S MOULT & SON,Building Construction Materials,ECONOMY AND ENVIRONMENT,HOMELESS TRANSFER COSTS,"£8,400.00"
Rochdale,11/04/2014,F S MOULT & SON,Building Construction Materials,ECONOMY AND ENVIRONMENT,HOMELESS TRANSFER COSTS,"£2,225.00"
Rochdale,14/04/2014,F S MOULT & SON,Building Construction Materials,ECONOMY AND ENVIRONMENT,HOMELESS TRANSFER COSTS,"£8,850.00"
Rochdale,14/04/2014,F S MOULT & SON,Building Construction Materials,ECONOMY AND ENVIRONMENT,ROCH VALE CARAVAN SITE,"£4,940.00"
Rochdale,14/04/2014,F S MOULT & SON,Building Construction Materials,ECONOMY AND ENVIRONMENT,ROCH VALE CARAVAN SITE,"£8,600.00"
Rochdale,14/04/2014,F S MOULT & SON,Building Construction Materials,ECONOMY AND ENVIRONMENT,ROCH VALE CARAVAN SITE,"£7,311.26"
Rochdale,16/04/2014,GRAVOGRAPH LTD,Building Construction Materials,EARLY HELP AND SCHOOLS,CLC RUNNING COSTS 2011/12,"£1,589.54"
Rochdale,22/04/2014,GTM ELECTRICAL SERVICES LIMITED,Building Construction Materials,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,£765.96
Rochdale,22/04/2014,GTM ELECTRICAL SERVICES LIMITED,Building Construction Materials,PROPERTY AND HIGHWAYS,WORK IDENTIFIED BY FRA,"£2,761.37"
Rochdale,22/04/2014,GTM ELECTRICAL SERVICES LIMITED,Building Construction Materials,PROPERTY AND HIGHWAYS,WORK IDENTIFIED BY FRA,"£1,251.34"
Rochdale,22/04/2014,GTM ELECTRICAL SERVICES LIMITED,Building Construction Materials,PROPERTY AND HIGHWAYS,WORK IDENTIFIED BY FRA,£647.13
Rochdale,07/04/2014,JACKSON JACKSON & SONS LTD           (S),Building Construction Materials,EARLY HELP AND SCHOOLS,MIDDLETON PARISH - PLACE PLANNING,"£94,545.59"
Rochdale,08/04/2014,JACKSON JACKSON & SONS LTD           (S),Building Construction Materials,EARLY HELP AND SCHOOLS,ST ANDREW'S CE - PLACE PLANNING,"£42,257.90"
Rochdale,04/04/2014,S T HEATINGS SERVICES LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,BAILLIE STREET RENTAL AC,£663.64
Rochdale,07/04/2014,SIMPLY SIGNS NW LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,TCCP RUNNING COSTS,"£1,470.00"
Rochdale,04/04/2014,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,LITTLEBOROUGH,£520.36
Rochdale,23/04/2014,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,SANDBROOK PRIMARY SCHOOL,£543.54
Rochdale,01/04/2014,BRAKE BROS FOOD SERVICE LTD,Catering,PHYSICAL DIS & OLDER PEOPLE,SPRINGHILL EMI UNIT,£515.34
Rochdale,23/04/2014,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,ST EDWARDS,£619.39
Rochdale,09/04/2014,WLG (WHOLESALERS),Catering,ECONOMY AND ENVIRONMENT,TOWN HALL BAR,"£1,002.17"
Rochdale,15/04/2014,J G SHELTON & CO LIMITED             (S),Cemetery & Crematorium,ECONOMY AND ENVIRONMENT,ALL CREMETORIA,"£2,845.80"
Rochdale,15/04/2014,J G SHELTON & CO LIMITED             (S),Cemetery & Crematorium,ECONOMY AND ENVIRONMENT,ALL CREMETORIA,"£2,260.00"
Rochdale,03/04/2014,JOHNSTON BROS,Cemetery & Crematorium,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£760.00
Rochdale,03/04/2014,JOHNSTON BROS,Cemetery & Crematorium,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£950.00
Rochdale,17/04/2014,KILPATRICKS FUNERAL SERVICE LIMITED,Cemetery & Crematorium,LEARNING DIS & MENTAL HEALTH,ADULT CARE ADMIN,"£1,568.00"
Rochdale,07/04/2014,DEFENCE COMPOSITS,Clothing,ECONOMY AND ENVIRONMENT,ROGUE LANDLORDS,"£2,973.00"
Rochdale,23/04/2014,POST OFFICE COUNTERS LTD,Clothing,ECONOMY AND ENVIRONMENT,FLEET MAINTENANCE,"£6,230.00"
Rochdale,16/04/2014,VIZ REFLECTIVES,Clothing,ECONOMY AND ENVIRONMENT,DOMESTIC WASTE,£804.00
Rochdale,04/04/2014,ACIES GROUP LLP,Consultancy,EARLY HELP AND SCHOOLS,SEN SUPPORT MAINSTREAM  LEA,£679.25
Rochdale,10/04/2014,ACIES GROUP LLP,Consultancy,ECONOMY AND ENVIRONMENT,WHEATSHEAF ENTRANCE WORK,"£4,000.00"
Rochdale,09/04/2014,AECOM PROFESSIONAL SERVICES LTD,Consultancy,ECONOMY AND ENVIRONMENT,WHEATSHEAF ENTRANCE WORK,"£8,000.00"
Rochdale,15/04/2014,AECOM PROFESSIONAL SERVICES LTD,Consultancy,ECONOMY AND ENVIRONMENT,WHEATSHEAF ENTRANCE WORK,"£4,000.00"
Rochdale,16/04/2014,ANTHONY COLLINS SOLICITORS LLP,Consultancy,ECONOMY AND ENVIRONMENT,HOMELESS TRANSFER COSTS,£869.50
Rochdale,16/04/2014,ANTHONY COLLINS SOLICITORS LLP,Consultancy,ECONOMY AND ENVIRONMENT,HOMELESS TRANSFER COSTS,"£1,696.50"
Rochdale,08/04/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"£1,500.00"
Rochdale,10/04/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"£1,750.00"
Rochdale,10/04/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"£1,500.00"
Rochdale,07/04/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£832.00
Rochdale,07/04/2014,B & C BEAL CONSULTANCY LTD,Consultancy,EARLY HELP AND SCHOOLS,GOVERNORS SERVICES,£774.30
Rochdale,16/04/2014,BEVAN BRITTAN LLP,Consultancy,EARLY HELP AND SCHOOLS,BSF DEVELOPMENT (MOD0809),£618.70
Rochdale,16/04/2014,BEVAN BRITTAN LLP,Consultancy,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,£500.00
Rochdale,15/04/2014,BEVAN BRITTAN LLP,Consultancy,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,"£1,014.30"
Rochdale,25/04/2014,BEVAN BRITTAN LLP,Consultancy,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,"£2,000.00"
Rochdale,07/04/2014,CONNOR ASSOCIATES LTD,Consultancy,PHYSICAL DIS & OLDER PEOPLE,MENTAL HEALTH CAPACITY ACT GRANT,£614.75
Rochdale,16/04/2014,DTZ DEBENHAM TIE LEUNG LIMITED,Consultancy,ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,"£5,432.30"
Rochdale,04/04/2014,EC SAFEGUARDING CONSULTANCY LTD,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£750.00
Rochdale,17/04/2014,EC SAFEGUARDING CONSULTANCY LTD,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£750.00
Rochdale,17/04/2014,EC SAFEGUARDING CONSULTANCY LTD,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£750.00
Rochdale,24/04/2014,EC SAFEGUARDING CONSULTANCY LTD,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£750.00
Rochdale,24/04/2014,EC SAFEGUARDING CONSULTANCY LTD,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,"£4,767.50"
Rochdale,02/04/2014,GARDINER & THEOBALD LLP,Consultancy,ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,£750.00
Rochdale,02/04/2014,GARNER TOWN PLANNING,Consultancy,ECONOMY AND ENVIRONMENT,DEVELOPMENT MANAGEMENT - PLANNING APPS,"£2,714.75"
Rochdale,22/04/2014,GLOBAL ENERGY CONSULTANCY,Consultancy,PHYSICAL DIS & OLDER PEOPLE,ADULT CARE HEAD OF SERVICE,£790.00
Rochdale,25/04/2014,GLOBAL ENERGY CONSULTANCY,Consultancy,PROPERTY AND HIGHWAYS,DISPOSAL COSTS,"£1,040.00"
Rochdale,16/04/2014,HIGHWAY SURVEYORS LTD,Consultancy,PROPERTY AND HIGHWAYS,BWIDE VAR STREETS FW/CW SURVEYS,"£15,664.17"
Rochdale,16/04/2014,IDOX SOFTWARE LTD,Consultancy,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£20,971.34"
Rochdale,07/04/2014,JEREMY BENN ASSOCIATES LTD,Consultancy,ECONOMY AND ENVIRONMENT,SURFACE WATER MGT PLAN,"£3,500.00"
Rochdale,22/04/2014,JOANNE PLATT ASSOCIATES LTD,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,"£10,920.00"
Rochdale,07/04/2014,JULIE MARTIN ASSOCIATES,Consultancy,ECONOMY AND ENVIRONMENT,SCOUT MOOR WIND FARM,"£4,484.48"
Rochdale,16/04/2014,KEPPIE MASSIE,Consultancy,ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,"£1,721.67"
Rochdale,07/04/2014,M N PROPERTY CONSULTANTS,Consultancy,ECONOMY AND ENVIRONMENT,DEPOT GREEN LANE GENERAL,"£22,200.82"
Rochdale,07/04/2014,MACE LIMITED,Consultancy,ECONOMY AND ENVIRONMENT,HOUSING STRATEGY,"£1,600.00"
Rochdale,07/04/2014,MACE LIMITED,Consultancy,FINANCE SERVICES,SOCIAL FUND,"£4,210.00"
Rochdale,16/04/2014,NORTHERN STAGE SERVICES LTD,Consultancy,ECONOMY AND ENVIRONMENT,TOWN HALL,£745.00
Rochdale,17/04/2014,OSBORNE RICHARDSON,Consultancy,ECONOMY AND ENVIRONMENT,HEALTHY WORKPLACES,"£1,017.50"
Rochdale,22/04/2014,OSBORNE RICHARDSON,Consultancy,ECONOMY AND ENVIRONMENT,HEALTHY WORKPLACES,£965.00
Rochdale,22/04/2014,OSBORNE RICHARDSON,Consultancy,ECONOMY AND ENVIRONMENT,HEALTHY WORKPLACES,"£1,180.00"
Rochdale,03/04/2014,OXFORD COMPUTER CONSULTANTS LIMITED,Consultancy,CUSTOMERS & CORPORATE SERVICES,CAF DEMONSTRATOR,"£8,926.00"
Rochdale,03/04/2014,RISUAL LTD,Consultancy,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£4,750.00"
Rochdale,01/04/2014,S KERSHAW & SONS,Consultancy,CUSTOMERS & CORPORATE SERVICES,WARDLE LIBRARY,"£3,187.50"
Rochdale,08/04/2014,SHARPLES CONSULTANCY LTD,Consultancy,ECONOMY AND ENVIRONMENT,SKILLS OUTREACH,"£1,200.00"
Rochdale,07/04/2014,TEAM NETSOL LTD,Consultancy,FINANCE SERVICES,TECHNICAL SUPPORT,"£20,000.00"
Rochdale,25/04/2014,CRAWFORD DOMESTIC APPLIANCES LIMITED,Domestic Goods,CHILDREN’S SOCIAL CARE,YOUNG PEOPLES SUPPORT TEAM,£530.83
Rochdale,10/04/2014,ADVANCED CHILDCARE LIMITED,Education,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£11,071.34"
Rochdale,10/04/2014,ADVANCED CHILDCARE LIMITED,Education,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£8,852.67"
Rochdale,10/04/2014,ADVANCED CHILDCARE LIMITED,Education,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£13,728.66"
Rochdale,10/04/2014,ADVANCED CHILDCARE LIMITED,Education,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,321.34"
Rochdale,03/04/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,HOLLIN - PLACE PLANNING,"£7,500.00"
Rochdale,09/04/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI CONTRACT GENERAL,"£2,217.56"
Rochdale,15/04/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI CONTRACT GENERAL,"£470,393.41"
Rochdale,16/04/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI CONTRACT GENERAL,"£22,707.30"
Rochdale,02/04/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI VARIATIONS,"£6,209.13"
Rochdale,02/04/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI VARIATIONS,"£1,600.00"
Rochdale,03/04/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI VARIATIONS,"£2,091.59"
Rochdale,23/04/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI VARIATIONS,"£11,688.98"
Rochdale,14/04/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£562.44
Rochdale,14/04/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£643.66
Rochdale,25/04/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£601.17
Rochdale,03/04/2014,BIBLIOGRAPHIC DATA SERVICES LTD,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,"£3,400.00"
Rochdale,22/04/2014,CONNECTIONS 4 CHILDHOOD LTD,Education,EARLY HELP AND SCHOOLS,CHILDRENS CENTRE MANAGEMENT TEAM,£561.50
Rochdale,07/04/2014,CONNEXION 2 LIMITED,Education,ECONOMY AND ENVIRONMENT,REG LIC  GENERAL,£833.80
Rochdale,25/04/2014,HEALTH BOOKS UK LTD,Education,PUBLIC HEALTH,SUPPORTING CHANGE & COMMUNITIES,£559.00
Rochdale,23/04/2014,MYERSCOUGH COLLEGE,Education,ECONOMY AND ENVIRONMENT,EM TRAINING BUDGETS,£760.00
Rochdale,08/04/2014,NISAI LEARNING,Education,EARLY HELP AND SCHOOLS,POST 16 RDALE PUPILS IN COLLEGES/ISP,"£1,500.00"
Rochdale,24/04/2014,ROCHDALE EDUCATION & LEARNING TRUST,Education,EARLY HELP AND SCHOOLS,SUPPLY AGENCY,"£1,050.00"
Rochdale,09/04/2014,STYLE MAGAZINE,Education,CUSTOMERS & CORPORATE SERVICES,CRIME PREVENTION AND COMMUNITY SAFETY,£500.00
Rochdale,03/04/2014,TRINITY MIRROR NORTH WEST & NORTH WALES LTD,Education,FINANCE SERVICES,PR MEDIA AND MARKETING,£956.00
Rochdale,07/04/2014,TRINITY MIRROR NORTH WEST & NORTH WALES LTD,Education,FINANCE SERVICES,PR MEDIA AND MARKETING,"£3,200.00"
Rochdale,10/04/2014,TRINITY MIRROR NORTH WEST & NORTH WALES LTD,Education,FINANCE SERVICES,PR MEDIA AND MARKETING,£700.00
Rochdale,25/04/2014,ULVERSCROFT LARGE PRINT BOOKS LTD,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£538.40
Rochdale,14/04/2014,WELL INFORMED LTD,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£615.00
Rochdale,03/04/2014,APPLIED GEOLOGY,Environmental Services,ECONOMY AND ENVIRONMENT,WHEATSHEAF ENTRANCE WORK,"£3,335.00"
Rochdale,22/04/2014,CONCATENO UK LTD,Environmental Services,CUSTOMERS & CORPORATE SERVICES,DRUGS & ALCOHOL - SPECIALIST D&A SRVC,£860.60
Rochdale,24/04/2014,ENTERPRISE MANCHESTER,Environmental Services,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,£690.74
Rochdale,23/04/2014,ENTERPRISE MANCHESTER,Environmental Services,ECONOMY AND ENVIRONMENT,DOMESTIC WASTE,"£1,011.50"
Rochdale,01/04/2014,ENVIRONMENT AGENCY,Environmental Services,PROPERTY AND HIGHWAYS,FLOOD DEFENCE LEVY,"£23,492.00"
Rochdale,08/04/2014,FORENSICS LTD,Environmental Services,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£3,480.00"
Rochdale,08/04/2014,FORENSICS LTD,Environmental Services,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,685.00"
Rochdale,08/04/2014,FORENSICS LTD,Environmental Services,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£2,180.00"
Rochdale,08/04/2014,FORENSICS LTD,Environmental Services,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,520.00"
Rochdale,08/04/2014,FORENSICS LTD,Environmental Services,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£600.00
Rochdale,08/04/2014,FORENSICS LTD,Environmental Services,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£955.00
Rochdale,23/04/2014,G M WASTE DISPOSAL AUTHORITY,Environmental Services,ECONOMY AND ENVIRONMENT,WASTE DISPOSAL LEVY,"£1,242,500.00"
Rochdale,25/04/2014,KILLGERM CHEMICALS LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,PEST CONTROL,£678.33
Rochdale,22/04/2014,MANCHESTER DOGS HOME,Environmental Services,ECONOMY AND ENVIRONMENT,DOG WARDEN,"£1,269.04"
Rochdale,08/04/2014,NO GRAFFITI (MANCHESTER) LTD,Environmental Services,ECONOMY AND ENVIRONMENT,GRAFFITI TEAM,£950.00
Rochdale,24/04/2014,NO GRAFFITI (MANCHESTER) LTD,Environmental Services,ECONOMY AND ENVIRONMENT,GRAFFITI TEAM,£538.00
Rochdale,25/04/2014,NORTHWEST ASBESTOS REMOVALS LTD,Environmental Services,ECONOMY AND ENVIRONMENT,STREETS HEYWOOD GENERAL,£830.00
Rochdale,04/04/2014,RESTORE PLC,Environmental Services,EARLY HELP AND SCHOOLS,MAN & ADMIN  MISC INCOME & EXPENDITURE,£581.14
Rochdale,17/04/2014,RHODAR LIMITED,Environmental Services,PROPERTY AND HIGHWAYS,INDUSTRIAL ESTATE,£600.00
Rochdale,22/04/2014,SSI SCHAEFER LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,BLUE WASTE PAPER BINS,"£3,484.00"
Rochdale,22/04/2014,SSI SCHAEFER LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,WHEEL BINS,"£10,050.00"
Rochdale,16/04/2014,TRENCH RIGHT LTD,Environmental Services,PROPERTY AND HIGHWAYS,CORING,"£6,147.15"
Rochdale,09/04/2014,WHEELDON BROTHERS WASTE LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,STAKEHILL INDUSTRIAL ESTATE,£600.00
Rochdale,10/04/2014,ASIAN LEADER,Facilities & Management Services,FINANCE SERVICES,PR MEDIA AND MARKETING,"£1,224.00"
Rochdale,25/04/2014,ATG ACCESS LTD,Facilities & Management Services,PROPERTY AND HIGHWAYS,HEYWOOD RISING BOLLARD,"£3,377.92"
Rochdale,04/04/2014,BENCHMARK SECURITY SOLUTIONS LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,NEWHEY - PLACE PLANNING,£560.70
Rochdale,22/04/2014,BINDMONT PRINT SERVICES LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,GENERAL ELECTION,"£6,958.00"
Rochdale,02/04/2014,BOWLEE PARK COMMUNITY SCHOOL,Facilities & Management Services,PHYSICAL DIS & OLDER PEOPLE,TRAINING COMMISSIONING,£525.00
Rochdale,11/04/2014,BURY MBC,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,COMMITTEE SERVICES,"£4,800.00"
Rochdale,08/04/2014,BURY MBC,Facilities & Management Services,CHILDREN’S SOCIAL CARE,FOSTERING TEAM,"£30,500.00"
Rochdale,02/04/2014,BURY MBC,Facilities & Management Services,EARLY HELP AND SCHOOLS,HOSPITAL TUITION,"£25,087.02"
Rochdale,25/04/2014,CALEDONIAN LIFT SERVICES LTD,Facilities & Management Services,PROPERTY AND HIGHWAYS,FASHION CORNER,£588.00
Rochdale,25/04/2014,CALEDONIAN LIFT SERVICES LTD,Facilities & Management Services,PROPERTY AND HIGHWAYS,FASHION CORNER,"£2,210.00"
Rochdale,03/04/2014,CBS OUTDOOR LIMITED,Facilities & Management Services,FINANCE SERVICES,PR MEDIA AND MARKETING,£700.00
Rochdale,03/04/2014,CBS OUTDOOR LIMITED,Facilities & Management Services,FINANCE SERVICES,PR MEDIA AND MARKETING,"£3,000.00"
Rochdale,07/04/2014,HILLSIDE PRINTING SERVICES LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,TCCP RUNNING COSTS,£790.00
Rochdale,07/04/2014,HILLSIDE PRINTING SERVICES LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,TCCP RUNNING COSTS,"£1,600.00"
Rochdale,07/04/2014,HILLSIDE PRINTING SERVICES LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,TCCP RUNNING COSTS,"£2,350.00"
Rochdale,11/04/2014,HOLIDAY INN EXPRESS GLENROTHES,Facilities & Management Services,EARLY HELP AND SCHOOLS,SCHOOLS BUSINESS UNIT,"£2,990.00"
Rochdale,03/04/2014,JONES LANG LASALLE,Facilities & Management Services,ECONOMY AND ENVIRONMENT,ROCHDALE MARKET,"£25,248.20"
Rochdale,03/04/2014,OCE (UK) LIMITED,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,PRODUCTION,£807.20
Rochdale,23/04/2014,ORGANIC PHOTOGRAPHY,Facilities & Management Services,EARLY HELP AND SCHOOLS,LOOKED AFTER CHILDREN ACHIEVED OFFICER,£593.40
Rochdale,02/04/2014,PATROL,Facilities & Management Services,PROPERTY AND HIGHWAYS,DECRIMINALISATION OF CAR PARKING,"£1,871.10"
Rochdale,16/04/2014,PRESTIGE SALES AND LETTINGS LTD,Facilities & Management Services,CHILDREN’S SOCIAL CARE,ASYLUM SEEKERS,£550.00
Rochdale,24/04/2014,PROFILE SECURITY SERVICES LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"£3,803.75"
Rochdale,25/04/2014,RICOH UK LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,ADULT & CHILD CARE SOLICITORS,£675.96
Rochdale,25/04/2014,RICOH UK LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,COMMITTEE SERVICES,£573.87
Rochdale,25/04/2014,RICOH UK LTD,Facilities & Management Services,ECONOMY AND ENVIRONMENT,FACILITIES MANAGEMENT ADMIN,"£1,440.77"
Rochdale,25/04/2014,RICOH UK LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,LAND CHARGES,£687.68
Rochdale,25/04/2014,RICOH UK LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,£598.28
Rochdale,25/04/2014,RICOH UK LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,PRODUCTION,£628.14
Rochdale,25/04/2014,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,RANS  MANAGEMENT,£664.39
Rochdale,25/04/2014,RICOH UK LTD,Facilities & Management Services,CHILDREN’S SOCIAL CARE,SAFEGUARDING CHILDREN UNIT,£529.06
Rochdale,25/04/2014,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,SCHOOLS BUSINESS UNIT,£642.97
Rochdale,25/04/2014,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,SURE START SHARED COSTS,"£1,886.51"
