Total number of ballot papers counted ,790523
Number of votes cast in favour of REMAIN ,440707
Number of votes cast in favour of LEAVE ,349442
Ballot papers rejected - No official mark,18
Ballot papers rejected - Both answers voted for,148
Ballot papers rejected - Writing or mark by which voter could be identified,1
Ballot papers rejected - Unmarked or void for uncertainty,207
Total Number of Ballot papers rejected,374
