Senior official or Non-Executive Director,Job title,Dates,Destination,Purpose,Air travel,Rail/Tube travel,Taxi/Car travel,Accommodation/Meals travel,Other (including hospitality given),Total cost £
DfT,,,,,,,,,,
Alan Cook,Non-Executive Board Member,Nil return ,,,,,,,,
Lin Homer,Permanent Secretary,9-11/11/11,Sunningdale,Senior staff engagement,,£13.10,,,,£13.10
Lin Homer,Permanent Secretary,25/11/2011,Sunningdale,Official meeting,,£12.40,,,,£12.40
Lin Homer,Permanent Secretary,30/11/2011,Kent,Official visit,,£33.00,,,,£33.00
Lin Homer,Permanent Secretary,16/12/2011,Hastings,Staff briefing,,£25.70,,,,£25.70
Steve Gooding,Director General - Domestic,17/10/2011,London,Rail Delivery Group,,£4.00,,,,£4.00
Steve Gooding,Director General - Domestic,08-09/11/11,Brussels,"Speaking engagement - UKTiE's
annual transport policy forum",,£296.50,,£150.21,,£446.71
Steve Gooding,Director General - Domestic,09/11/2011,London,Official meeting,,£4.00,,,,£4.00
Steve Gooding,Director General - Domestic,14/11/2011,London,Official meeting,,£4.00,,,,£4.00
Steve Gooding,Director General - Domestic,21/11/2011,London,Rail Delivery Group Industry Forum,,£4.00,,,,£4.00
Steve Gooding,Director General - Domestic,23/11/2011,London,Official meeting,,£4.00,,,,£4.00
Steve Gooding,Director General - Domestic,02/12/2011,London,"East Coast Mail Line Board visit, 
Kings Cross",,£4.00,,,,£4.00
Steve Gooding,Director General - Domestic,19/12/2011,London,"East Coast Mail Line Oversight/
Sponsorship Committee, 
Covent Garden",,£2.60,,,,£2.60
Richard Hatfield ,Director General - International Strategy and Environment ,15/12/2011,Heathrow ,Stakeholder meeting ,,£40.80,,,,£40.80
Clare Moriarty,DG Corporate,02/11/2011,Nottingham ,"Visit to DSA (cancelled - 
non-refundable ticket)",,£16.00,,,,£16.00
Clare Moriarty,DG Corporate,02/11/2011,Birmingham,"Government Finance Profession 
Conference & Finance Leadership Group Meeting",,£43.00,,£89.00,,£132.00
Clare Moriarty,DG Corporate,03/11/2011,Nuneaton,Visit to VCA,,£13.20,,,,£13.20
Peter Strachan,Director General - Major Projects & London,Nil return ,,,,,,,,
