Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Environment Food & Rural Affairs ,Ministerial Department,"Department for Environment, Food & Rural Affairs",298,281.85,362,347.14,950,919.67,531,511.66,98,93.71,0,0,"2,239","2,154",23,23,10,10,36,36,4,4,73,73,"2,312","2,227","£6,947,705.00",£0.00,"£48,176.00","£35,474.00","£1,453,273.00","£643,786.00","£9,128,414.00","£490,017.00","£35,858.00","£525,875.00","£9,654,289.00",
Animal Health & Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food & Rural Affairs",881,801.67,510,480.69,715,670.74,192,184.06,8,8,0,0,"2,306","2,145",28,28,0,0,30,30,0,0,58,58,"2,364","2,203","£5,287,478.00","£94,178.00","£23,650.00","£93,846.00","£1,036,683.00","£449,349.00","£6,985,184.00","£224,163.00",£0.00,"£224,163.00","£7,209,347.00",
Centre for Environment Fisheries & Aquaculture Science,Executive Agency,"Department for Environment, Food & Rural Affairs",111,103.16,137,130.37,247,230.93,81,78.49,3,3,0,0,579,546,1,1,0,0,6,6,0,0,7,7,586,553,"£1,303,748.00","£55,699.00","£869,758.00","£34,803.00","£247,971.00","£106,828.00","£2,618,807.00",£0.00,£0.00,£0.00,"£2,618,807.00",
Food & Environment Research Agency,Executive Agency,"Department for Environment, Food & Rural Affairs",184,163.5,250,220.62,331,309.38,80,78.11,5,5,17,17,867,794,7,7,0,0,1,1,0,0,8,8,875,802,"£1,850,323.00","£37,136.00","£1,750.00","£16,650.00","£137,911.00","£333,079.00","£2,376,849.00","£15,678.00","£13,335.00","£29,013.00","£2,405,862.00",
Rural Payments Agency,Executive Agency,"Department for Environment, Food & Rural Affairs",962,861.09,669,615.46,467,449.33,138,137.38,15,15,0,0,"2,251","2,078",26,26,52,52,81,81,0,0,159,159,"2,410","2,237","£5,001,342.00","£44,720.00","£1,950.00","£88,838.00","£910,782.00","£391,554.00","£6,439,186.00","£965,410.00",£0.00,"£965,410.00","£7,404,596.00",
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food & Rural Affairs",41,40.15,33,31.89,42,41.52,41,40.92,3,3,0,0,160,157,12,11.1,0,0,3,1.2,0,0,15,12.3,175,170,"£459,182.00","£5,931.00",£0.00,"£6,566.00","£39,993.00","£93,799.00","£605,471.00","£54,062.00",£0.00,"£54,062.00","£659,533.00",
Agricultural Wages Board for England & Wales,Executive Non-Departmental Public Body,"Department for Environment, Food & Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,The Agricultural Wages Board does not have any staff
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food & Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,The Agricultural Wages Committee does not have any staff
Agriculture & Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food & Rural Affairs",0,0,0,0,0,0,0,0,0,0,387,372.07,387,372,12,12,0,0,30,30,0,0,42,42,429,414,"£1,062,538.00","£35,690.00",£0.00,"£6,790.00","£87,029.00","£117,828.00","£1,309,875.00","£74,188.82",£0.00,"£74,188.82","£1,384,063.82",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain.  No funding towards staffing or other running costs is received from the Government. 
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food & Rural Affairs",11,9.9,31,30.2,23,22.4,10,9.2,4,4,0,0,79,76,0,0,0,0,0,0,0,0,0,0,79,76,"£182,932.00",£417.00,£0.00,£862.00,"£33,514.00","£14,603.00","£232,328.00",£0.00,£0.00,£0.00,"£232,328.00",
