FIN.TRANSACTION DATE,FIN.TRANSACTION AMOUNT,MCH.MERCHANT NAME
05/12/2016,720.00,CONNECT INTERNET S
05/12/2016,778.80,WWW.THEKNOWLEDGEACADEM
06/12/2016,804.99,CANON EUROPA NV
08/12/2016,800.00,GOOGLE  SVCSAPPS_DIGIT
13/12/2016,658.98,PC WORLD ONLINE
16/12/2016,"1,080.00",WWW.WESTMINSTER-BRIEFI
19/12/2016,780.00,CIVIL SERVICE COLLEGE
22/12/2016,510.00,TFPL LTD
,"6,132.77",
