School Name,Amount
,
Sunny Brow ,"13,493"
Howard Street ,"1,058"
South Street ,"2,761"
TOTAL,"17,313"
,
Alice Ingham ,"72,712"
Alkrington ,"22,645"
All Saints CE ,"52,837"
Ashfield Valley ,"34,397"
Belfield ,"2,626"
Boarshaw ,"38,768"
Brimrod ,"21,054"
Bowlee Park Primary ,"145,782"
Castleton ,"25,555"
Woodland       ,"81,211"
Crossgates ,"34,967"
Dearnley CE ,"8,087"
Elmwood ,"11,995"
Harwood Park ,"53,378"
Healey ,"14,304"
Heap Bridge ,"21,748"
Heybrook ,"151,213"
Hollin ,"30,102"
Holy Family ,"16,634"
Hopwood ,"20,382"
Littleborough ,"48,078"
"Littleborough, Holy Trinity ","57,977"
Little Heaton ,"89,364"
Lowerplace ,"17,743"
Marland Hill ,"119,698"
Meanwood ,"45,322"
Middleton Parish ,"17,302"
Moorhouse ,"30,316"
Newhey ,"31,278"
Norden ,"34,319"
Our Lady & St Pauls ,"73,408"
Parkfield ,"17,892"
Sacred Heart RC ,"28,823"
St Edwards CE ,"25,171"
St Gabriels CE ,"38,941"
St Gabriels RC ,"45,859"
Milnrow Parish ,476
St Johns RC ,"6,735"
St Johns CE (Thornham) ,"17,163"
St John Fisher RC ,"30,522"
St Josephs RC ,"16,087"
St Lukes CE ,"12,002"
St Margarets CE ,"60,994"
St Marys RC (M/ton) ,"48,087"
St Marys RC (L/boro) ,"26,700"
St Marys CE (Bald) ,"49,400"
St Michaels CE (Bam) ,"2,879"
St Michaels CE (M/ton) ,"45,564"
St Patricks RC ,"6,040"
St Peters RC (M/ton) ,"46,771"
St Peters CE ,"29,518"
St Thomas CE -  Newhey  ,"7,124"
St Thomas More RC ,"40,862"
St Vincents ,"28,184"
Smithybridge  ,"8,915"
Spotland ,"65,661"
Stansfield Hall ,"25,220"
St James CE (Wardle) ,"4,390"
Whittaker Moss ,"27,141"
Broadfield ,"106,627"
Hamer ,"25,170"
Shawclough ,"22,504"
Sandbrook  ,"41,707"
TOTAL,"2,384,329"
,
Cardinal Langley ,"159,977"
St Cuthberts RC ,"151,734"
Holy Family College ,"55,163"
Siddal Moor ,"190,046"
Oulder Hill          ,"273,281"
Matthew Moss ,"133,525"
Falinge Park ,"152,052"
Middleton Tech ,"265,968"
Kingsway Park ,"210,207"
TOTAL,"1,591,954"
,
Brownhill ,"176,200"
Redwood ,"111,319"
Springside ,"26,625"
Newlands ,"43,921"
TOTAL,"358,064"
,
GRAND TOTAL,"4,351,660"
