Transaction date,Transaction Amount,Merchant Name,Comments (Additional Context)
04-Oct-2012,506.00,WWW.FPMAILING.CO.UK,Franking Machine
17-Oct-2012,506.00,WWW.FPMAILING.CO.UK,Franking Machine
04-Oct-2012,1030.00,WWW.NEOPOST.CO.UK,Franking Machine
15-Oct-2012,1030.00,WWW.NEOPOST.CO.UK,Franking Machine
11-Oct-2012,1006.00,FRANCOTYP,Franking Machine
30-Oct-2012,956.00,FRANCOTYP,Franking Machine
04-Oct-2012,506.00,FRANCOTYP,Franking Machine
18-Oct-2012,506.00,FRANCOTYP,Franking Machine
22-Oct-2012,559.98,COMET,2 x fridges
15-Oct-2012,515.00,WWW.NEOPOST.CO.UK,Franking Machine
03-Oct-2012,506.00,FRANCOTYP,Franking Machine
17-Oct-2012,1606.00,FRANCOTYP,Franking Machine
30-Oct-2012,515.00,WWW.NEOPOST.CO.UK,Franking Machine
29-Oct-2012,515.00,WWW.NEOPOST.CO.UK,Franking Machine
17-Oct-2012,506.00,FRANCOTYP,Franking Machine
15-Oct-2012,927.00,WWW.NEOPOST.CO.UK,Franking Machine
22-Oct-2012,1030.00,WWW.NEOPOST.CO.UK,Franking Machine
