UAFUA16CD,UAFUA16NM,FID
UK001L3,London,1
UK002L3,West Midlands urban area,2
UK003L2,Leeds,3
UK004L1,Glasgow,4
UK006L3,Liverpool,5
UK007L1,Edinburgh,6
UK008L3,Greater Manchester,7
UK009L1,Cardiff,8
UK010L3,Sheffield,9
UK011L2,Bristol,10
UK012L2,Belfast Urban Area,11
UK013L2,Tyneside conurbation,12
UK014L1,Leicester,13
UK016L1,Aberdeen,14
UK017L2,Cambridge,15
UK018L3,Exeter,16
UK019L3,Lincoln,17
UK023L1,Portsmouth,18
UK024L1,Worcester,19
UK025L3,Coventry,20
UK026L1,Kingston upon Hull,21
UK027L1,Stoke-on-Trent,22
UK029L1,Greater Nottingham,23
UK033L1,Guildford,24
UK050L1,Burnley,25
UK056L1,Hastings,26
UK515L1,Brighton and Hove,27
UK516L1,Plymouth,28
UK517L1,Swansea,29
UK518L1,Derby,30
UK520L2,Southampton,31
UK528L1,Northampton,32
UK539L1,Bournemouth,33
UK546L1,Colchester,34
UK550L1,Dundee,35
UK552L0,Reading,36
UK553L1,Blackpool,37
UK557L1,Blackburn with Darwen,38
UK558L1,Newport,39
UK559L2,Middlesbrough,40
UK560L1,Oxford,41
UK562L2,Preston,42
UK566L1,Norwich,43
UK568L1,Cheshire West and Chester,44
UK569L2,Ipswich,45
UK571L1,Cheltenham,46
