Minister,Date of Trip,Destination,Purpose,"Scheduled, 'No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Prime Minister, The Rt Hon David Cameron MP",9-13 April 2012,"Tokyo, Jakarta, Kuala Lumpur, Singapore, Naypyidaw and Rangoon ",Bilateral and economic visits,Chartered,24,"£672,657"
"Prime Minister, The Rt Hon David Cameron MP",18-21 May 2012,US – Camp David and Chicago,To attend the G8 and NATO summits,Scheduled,,"£8,487"
"Prime Minister, The Rt Hon David Cameron MP",23/05/2012,"Brussels, Belgium",To attend a meeting of the European Council,Eurostar,,£715
"Prime Minister, The Rt Hon David Cameron MP",6-7 June 2012,"Oslo, Norway & Berlin, Germany",Bilateral visits,No32 (The Royal) Squadron,14,£876
"Prime Minister, The Rt Hon David Cameron MP",18-20 June 2012,"Los Cabos & Mexico City, Mexico","To attend the G20 Summit, and bilateral visit",Chartered,28,"£403,333"
"Prime Minister, The Rt Hon David Cameron MP",28-29 June 2012,"Brussels, Belgium",To attend a meeting of the European Council,No32 (The Royal) Squadron,16,£462
,,,,,,
