Organisation,Merchant,MCC,Date Posted,Settlement Amount,Description
Health & Safety Executive,CIVIL SERVICE COLLEGE,8244,01/08/2013,£1,890.00,Training Course
Health & Safety Executive,GOOGLE  LAPTOPDRIVEST,7399,01/08/2013,£900.00,Computer Software
Health & Safety Executive,GOOGLE  LAPTOPDRIVEST,7399,01/08/2013,£900.00,Computer Software
Health & Safety Executive,GOOGLE  LAPTOPDRIVEST,7399,01/08/2013,£900.00,Computer Software
Health & Safety Executive,WWW.NEOPOST.CO.UK,5111,01/08/2013,£927.00,Postal Charges
Health & Safety Executive,WWW.TCSGROUP.CO.UK,8099,01/08/2013,£679.44,Scientific Consumables
Health & Safety Executive,CAPITA BUS SVS-MOTO,9399,02/08/2013,£1,125.80,Training Course
Health & Safety Executive,CAPITA BUS SVS-MOTO,9399,02/08/2013,£1,239.60,Training Course
Health & Safety Executive,CAPITA BUS SVS-MOTO,9399,02/08/2013,£3,858.00,Training Course
Health & Safety Executive,CAPITA BUS SVS-MOTO,9399,02/08/2013,£1,547.40,Training Course
Health & Safety Executive,CAPITA BUS SVS-MOTO,9399,02/08/2013,£5,906.40,Training Course
Health & Safety Executive,ROYAL MAIL GROUP,9402,02/08/2013,£930.00,Worcester Postal Charges
Health & Safety Executive,ROLLS ROYCE,5085,02/08/2013,£5,500.00,Training Course
Health & Safety Executive,EMPLOYERS FORUM,8398,05/08/2013,£4,340.00,Training Course
Health & Safety Executive,WWW.ERA.CO.UK,8299,05/08/2013,£1,008.00,Training Course
Health & Safety Executive,WWW.MATERIALS.ORG.UK.,8398,05/08/2013,£4,760.00,Training Course
Health & Safety Executive,IIA - UK & IRELAND,8999,06/08/2013,£2,310.00,Training Course
Health & Safety Executive,FOTOSENSE LTD,5946,06/08/2013,£1,097.04,Scientific Equipment
Health & Safety Executive,SOCIETY FOR GENERAL MI,5942,08/08/2013,£698.00,Training Course
Health & Safety Executive,PETANS LTD,8398,08/08/2013,£504.00,Training Course
Health & Safety Executive,TISA CONGRESOS-CONGRES,5964,08/08/2013,£584.48,Training Course
Health & Safety Executive,TISA CONGRESOS-CONGRES,5964,08/08/2013,£584.48,Training Course
Health & Safety Executive,ICHEME,8398,09/08/2013,£900.00,Training Course
Health & Safety Executive,E A TECHNOLOGY,7399,13/08/2013,£1,068.00,Training Course
Health & Safety Executive,CAPITA BUS SVS-MOTO,9399,14/08/2013,£818.76,Training Course
Health & Safety Executive,CAPITA BUS SVS-MOTO,9399,14/08/2013,£3,613.18,Training Course
Health & Safety Executive,CAPITA BUS SVS-MOTO,9399,14/08/2013,£4,215.38,Training Course
Health & Safety Executive,BRITISH OCCUPATIONAL H,8398,15/08/2013,£540.00,Training Course
Health & Safety Executive,MSC INDUSTRIAL SUPPLY,5251,19/08/2013,£506.18,Scientific Equipment
Health & Safety Executive,NUCLEAR INSTITUTE,8699,20/08/2013,£714.00,Training Course
Health & Safety Executive,NUCLEAR INSTITUTE,8699,20/08/2013,£833.00,Training Course
Health & Safety Executive,TISA CONGRESOS-CONGRES,5964,20/08/2013,£684.85,Training Course
Health & Safety Executive,WWW.SOTON.AC.UK,8220,20/08/2013,£777.00,Training Course
Health & Safety Executive,E A TECHNOLOGY,7399,22/08/2013,£693.00,Training Course
Health & Safety Executive,E A TECHNOLOGY,7399,22/08/2013,£1,246.00,Training Course
Health & Safety Executive,RILEY INDUSTRIES LTD,5085,23/08/2013,£3,180.00,Scientific Equipment
Health & Safety Executive,GOLDEN SOFTWARE,5734,23/08/2013,£1,361.66,Computer Software
Health & Safety Executive,BLACKPOOL & FYLDE COLL,8220,27/08/2013,£535.00,Training Course
Health & Safety Executive,CRESCO INDUSTRIAL,5099,27/08/2013,£889.57,Scientific Consumables
Health & Safety Executive,AMERICAN NUCLEAR SOCIE,8299,28/08/2013,£727.50,Training Course
Health & Safety Executive,E A TECHNOLOGY,7399,30/08/2013,£1,326.00,Training Course
Health & Safety Executive,AMERICAN NUCLEAR SOCIE,8299,30/08/2013,£730.37,Training Course
