Ward,Number of Pupils on Roll
Brighouse,803
Calder,994
Elland,"1,174"
Greetland And Stainland,938
Hipperholme And Lightcliffe,903
Illingworth And Mixenden,"1,302"
Luddendenfoot,804
Northowram And Shelf,825
Ovenden,"1,490"
Park,"2,409"
Rastrick,884
Ryburn,"1,030"
Skircoat,"1,073"
Sowerby Bridge,891
Todmorden,"1,215"
Town,"1,130"
Warley,"1,551"
Extra District,"1,133"
Total,"20,549"
