Defendant Gender,2008 - 09 Volume,2008 - 09 Percentage,2009 - 10 Volume,2009 - 10 Percentage,2010 - 11 Volume,2010 - 11 Percentage
Women,243,24.20%,425,21.32%,668,23.67%
Men,760,75.70%,1568,78.68%,2154,76.33%
Unknown,1,0.10%,0,0.00%,0,0.00%
Total,1004,100.00%,1993,100.00%,2822,100.00%
