"Body","Body Name","Posting Date","Transaction number","Amount","Supplier name","Supplier ID","Service Area","Expense Type","Expense Code","Type"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",20/03/2012,30005649,"1,340.30 ","Southern Electric",14322,"Bakewell Swimming Pool","Electricity",2201,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",27/03/2012,30005698,"2,100.30 ","Southern Electric",14322,"Matlock Town Hall","Electricity",2201,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",27/03/2012,30005699,"2,290.13 ","Southern Electric",14322,"Wirksworth Sports Centre","Electricity",2201,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",27/03/2012,30005700,"5,628.42 ","Southern Electric",14322,"Arc Leisure Matlock","Electricity",2201,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",27/03/2012,30005701,"591.48 ","Southern Electric",14322,"Depot Holding Account","Electricity",2201,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",27/03/2012,20079680,"1,650.00 ","System Cell Ltd",12315,"Housing & Council Tax Benefits","Printing and Printing Materials",4303,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",07/03/2012,30005642,"4,383.30 ","T C Harrison 1960 Limited",11583,"Car Leasing","Lease of Cars",3310,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",27/03/2012,20079691,"2,098.00 ","Take One Media Ltd",12001,"Tourism - General","Tourism Promotions",4838,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",01/03/2012,20079118,"2,218.75 ","Tor Studio Limited",15195,"Customer Services","Software Maintenance & Support",4512,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",12/03/2012,20079250,"2,902.90 ","Veolia ES (UK) Ltd",13817,"Household Refuse","Contract Payments",5610,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",12/03/2012,20079259,"5,167.71 ","Veolia ES (UK) Ltd",13817,"Kerbside Collection - Cans","Contract Payments",5610,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",12/03/2012,20079259,"2,322.95 ","Veolia ES (UK) Ltd",13817,"Composting","Contract Payments",5610,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",12/03/2012,20079259,"167,731.23 ","Veolia ES (UK) Ltd",13817,"Household Refuse","Contract Payments",5610,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",12/03/2012,20079259,"809.78 ","Veolia ES (UK) Ltd",13817,"Clinical Refuse","Contract Payments",5610,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",12/03/2012,20079259,"9,048.43 ","Veolia ES (UK) Ltd",13817,"Wheeled Bins (Trade)","Contract Payments",5610,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",12/03/2012,20079259,"10,011.00 ","Veolia ES (UK) Ltd",13817,"Kerbside Collection - Glass","Contract Payments",5610,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",12/03/2012,20079259,"10,049.43 ","Veolia ES (UK) Ltd",13817,"Kerbside Collection - Paper","Contract Payments",5610,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",12/03/2012,20079259,"2,460.70 ","Veolia ES (UK) Ltd",13817,"Refuse Collection - General","Contract Payments",5610,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",12/03/2012,20079248,"7,059.24 ","Vital Earth GB Ltd",13358,"Composting","Composting Gate Fees",4459,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",12/03/2012,20079249,"-1,215.75 ","Vital Earth GB Ltd",13358,"Composting","Composting Gate Fees",4459,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",22/03/2012,20079592,"816.00 ","Winster Parish Council",57077,"PC Reimbursements - Playing Fields","PC Reimbursable Expenditure",5203,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",22/03/2012,20079592,"1,421.00 ","Winster Parish Council",57077,"PC Reimbursements - Cemeteries","PC Reimbursable Expenditure",5203,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",14/03/2012,20079305,"5,716.00 ","Wirksworth Swimming Pool",15271,"Wirksworth Sports Centre","Revenue Grants",4704,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",28/03/2012,20079692,"23,500.00 ","Wirksworth Swimming Pool",15271,"Wirksworth Sports Centre","Revenue Grants",4704,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",26/03/2012,20079628,"2,000.00 ","Wirksworth Town Council",11740,"Planning Policy","Revenue Grants",4704,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",07/03/2012,20079193,"2,079.98 ","Wybone Ltd",11762,"Litter Bins","Purchase of Litter Bins",4007,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",01/03/2012,20079088,"3,193.00 ","Xylem Water Solutions UK Ltd",13034,"Agricultural Business Centre Bakewell","General Repairs",2101,"Revenue"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",19/03/2012,20079461,"789.00 ","Yewstop Limited",14233,"Aiming High","Miscellaneous Capital Expend","C007","Capital"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",19/03/2012,20079462,"923.30 ","Yewstop Limited",14233,"Aiming High","Miscellaneous Capital Expend","C007","Capital"
"http://statistics.data.gov.uk/id/local-authority/17UF ","Derbyshire Dales District Council",19/03/2012,20079507,"760.95 ","Yewstop Limited",14233,"Aiming High","Miscellaneous Capital Expend","C007","Capital"
