UK household and eating out expenditure on food and drink Average pence per person per week (a)	Code	Description				Units	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001-02	2002-03	2003-04	2004-05	2005-06	2006	2007	2008	2009	2010	2011	2012	2013
		PURCHASES FOR CONSUMPTION OUTSIDE THE HOME																																												
	eo90001	Food and drink				p																												1076	1099	1100	1133	1141	1154	1137	1120	1133	1166	1193	1209	1231
	eo90002	Food and non-alcoholic drinks				p																												705	726	739	779	779	800	796	816	826	854	879	895	929
	eo90003	Alcoholic drinks				p																												371	373	360	354	362	354	341	304	308	312	314	314	302
		PURCHASES FOR HOUSEHOLD SUPPLIES																																												
	cat108	Food and drink				p																			1688	1735	1729	1844	1938	1964	1992	1990	2083	2152	2191	2267	2305	2356	2428	2495	2562	2675	2757	2799	2929	2986
	cat105	Food and non-alcoholic drinks				p																			1537	1577	1576	1664	1751	1770	1781	1782	1844	1908	1942	2002	2039	2091	2155	2214	2300	2386	2450	2492	2598	2662
	380389	Alcoholic drinks				p																			151	158	152	180	187	193	211	208	239	244	249	265	266	265	273	281	262	289	307	308	330	324
	cat106	Food and drink, excluding soft drinks, alcoholic drinks and confectionery				p	331	403	469	547	602	690	776	823	870	919	952	991	1069	1114	1173	1257	1331	1394	1433	1468	1469	1547	1625	1641	1653	1655	1696	1755	1792	1838	1873	1936	1995	2051	2133	2209	2265	2299	2400	2458
		DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES																																												
	501			School milk		p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
	601			Welfare milk		p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0					
	402				UHT milk	p	0	0	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	2	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0
	403				Sterilised	p	1	2	2	2	3	3	3	4	4	4	4	6	5	4	4	4	3	3	3	2	2	2	2	2	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0
	404				Pasteurised/ homogenised	p	22	29	39	46	52	57	64	69	73	73	70	67	64	64	61	61	59	55	50	46	42	40	35	33	32	29	30	29	28	30	24	24	26	24	27	28	23	22	17	17
	1502				Fully skimmed milk	p	0	0	0	0	0	0	0	0	1	1	3	4	7	7	8	9	10	11	11	12	11	11	7	8	8	8	7	7	8	8	8	9	9	10	10	11	11	11	10	10
	1503				Semi-skimmed milk	p	0	0	0	0	0	0	1	1	1	2	4	6	10	12	16	21	27	32	42	45	46	48	49	51	49	48	48	46	47	48	52	56	54	58	66	69	66	64	66	63
