Department,Entity,Transaction Date,Expense Type,Expense Area,PES Category,Supplier,Transaction No.,Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/03/2013,FARES - RAIL,BOARD,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000199186,145.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/03/2013,MILEAGE PAYMENTS,BOARD,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000199182,162.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/03/2013,10 HRS + SUBSISTENCE-CLOSED,CHIEF EXECUTIVE,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000199176,18.83
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/03/2013,10 HRS + SUBSISTENCE-CLOSED,CHIEF EXECUTIVE,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000199187,7.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/03/2013,12 HOUR ALLOWANCE-CLOSED,CHIEF EXECUTIVE,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000199171,11.29
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2013,24 HOUR SUBSISTENCE ALLOWANCE,CHIEF EXECUTIVE,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000199047,16.78
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2013,24 HOUR SUBSISTENCE ALLOWANCE,CHIEF EXECUTIVE,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000199054,6.65
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/03/2013,24 HOUR SUBSISTENCE ALLOWANCE,CHIEF EXECUTIVE,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000199171,13.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/03/2013,24 HOUR SUBSISTENCE ALLOWANCE,CHIEF EXECUTIVE,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000199176,74.62
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/03/2013,5 HRS + SUBSISTENCE-CLOSED,CHIEF EXECUTIVE,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000199171,4.08
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/03/2013,FARES - PUBLIC TRANSPORT,CHIEF EXECUTIVE,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000199176,13.70
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/03/2013,FARES - PUBLIC TRANSPORT,CHIEF EXECUTIVE,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000199187,5.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2013,FARES - RAIL,CHIEF EXECUTIVE,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000198601,1056.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2013,FARES - RAIL,CHIEF EXECUTIVE,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000198601,153.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2013,FARES - RAIL,CHIEF EXECUTIVE,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000198601,119.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2013,FARES - RAIL,CHIEF EXECUTIVE,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000198601,153.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2013,FARES - RAIL,CHIEF EXECUTIVE,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000198601,17.33
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2013,FUEL (VEHICLE),CHIEF EXECUTIVE,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000199054,25.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/03/2013,INCIDENTALS,CHIEF EXECUTIVE,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000199171,41.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/03/2013,INCIDENTALS,CHIEF EXECUTIVE,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000199176,20.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/03/2013,INCIDENTALS,CHIEF EXECUTIVE,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000199184,5.83
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/03/2013,INCIDENTALS,CHIEF EXECUTIVE,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000199187,9.58
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/03/2013,MILEAGE PAYMENTS,CHIEF EXECUTIVE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000199171,183.96
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/03/2013,MILEAGE PAYMENTS,CHIEF EXECUTIVE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000199176,140.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/03/2013,MILEAGE PAYMENTS,CHIEF EXECUTIVE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000199184,57.72
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/03/2013,MILEAGE PAYMENTS,CHIEF EXECUTIVE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000199187,12.36
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2013,STAFF EVENTS,CHIEF EXECUTIVE,MARKETING & MEDIA-PROMOTION,COMPANY BARCLAYCARD,0000199029,25.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2013,STAFF EVENTS,CHIEF EXECUTIVE,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000199054,132.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/03/2013,STAFF EVENTS,CHIEF EXECUTIVE,TRAVEL&EVENTS-EVENT ORGNSTN,RANSOMWOOD ESTATES LTD,0000199124,200.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/03/2013,STAFF EVENTS,CHIEF EXECUTIVE,FACILITIES - FOOD,RANSOMWOOD ESTATES LTD,0000199124,919.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/03/2013,STAFF EVENTS,CHIEF EXECUTIVE,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000199171,229.78
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/03/2013,STAFF EVENTS,CHIEF EXECUTIVE,MARKETING & MEDIA-PROMOTION,193777-STFF GFT >œ50,33002566,104.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/03/2013,STAFF EVENTS,CHIEF EXECUTIVE,MARKETING & MEDIA-PROMOTION,191143-STFF GIFT >œ50,33002566,251.76
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2013,FARES - RAIL,CORPORATE AFFAIRS,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000198601,367.62
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2013,INCIDENTALS,CORPORATE AFFAIRS,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000199037,28.27
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2013,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,SHARPE PRITCHARD,0000198455,432.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2013,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,GORKANA GROUP LTD,0000198456,965.26
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2013,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,GORKANA GROUP LTD,0000198457,186.36
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2013,10 HRS + SUBSISTENCE-CLOSED,ENVIRONMENT,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000199049,8.82
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2013,10 HRS + SUBSISTENCE-CLOSED,ENVIRONMENT,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000199060,4.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2013,24 HOUR SUBSISTENCE ALLOWANCE,ENVIRONMENT,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000199047,16.79
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2013,24 HOUR SUBSISTENCE ALLOWANCE,ENVIRONMENT,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000199048,22.41
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2013,24 HOUR SUBSISTENCE ALLOWANCE,ENVIRONMENT,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000199053,13.46
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2013,24 HOUR SUBSISTENCE ALLOWANCE,ENVIRONMENT,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000199060,15.64
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2013,5 HRS + SUBSISTENCE-CLOSED,ENVIRONMENT,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000199022,3.99
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2013,CAR HIRE,ENVIRONMENT,TRAVEL&EVENTS-VEHICLE HIRE,ENTERPRISE RENT A CAR,0000198359,57.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/03/2013,CHILDCARE VOUCHERS,ENVIRONMENT,PERSONNEL RLTD-STAFF CHILDCARE,COMPUTERSHARE VOUCHER SER,0000198573,120.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/02/2013,CONSULTANTS TECHNICAL,ENVIRONMENT,PROF SER CNSLTNCY-TCHNL CNSLTY,MOTT MACDONALD LTD,0000198350,1858.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/02/2013,CONSULTANTS TECHNICAL,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,SUSTAINABLE RESOURCE SOLS,0000198364,2425.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/03/2013,CONSULTANTS TECHNICAL,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000198395,94.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/03/2013,CONSULTANTS TECHNICAL,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000198396,67.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/03/2013,CONSULTANTS TECHNICAL,ENVIRONMENT,PROF SER CNSLTNCY-TCHNL CNSLTY,JMC ENGINEERING (UK) LTD,0000198397,108.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/03/2013,CONSULTANTS TECHNICAL,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000198745,1950.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/03/2013,CONSULTANTS TECHNICAL,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,ENTECH USB LIMITED,0000199125,484.92
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/03/2013,CONSULTANTS-INVESTIGATIONS,ENVIRONMENT,PROF SER CNSLTNCY-TCHNL CNSLTY,JMC ENGINEERING (UK) LTD,0000198391,540.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/03/2013,CONSULTANTS-INVESTIGATIONS,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,FUGRO NPA LIMITED,0000198986,25200.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2013,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,MOTT MACDONALD LTD,0000198383,3039.11
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2013,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,MOTT MACDONALD LTD,0000198390,362.78
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/03/2013,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000198393,520.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/03/2013,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000198411,165.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/02/2013,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000198418,2122.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/02/2013,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000198420,848.75
