Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiGBP,AccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
Heather Hancock LVO,Chairman ,2017-01-03,2017-01-03,,Annual Membership,,,,,277,277,The Famers Club
Heather Hancock LVO,Chairman ,2017-01-04,2017-01-05,Oxford,Stakeholder Event,,,202.4,114.9,,317.3,
Heather Hancock LVO,Chairman ,2017-01-09,2017-01-11,Leeds / Northallerton / Cardiff,Stakeholder Visits / Official Meetings,,288.4,106.2,104.8,,499.4,
Heather Hancock LVO,Chairman ,2017-01-11,2017-01-11,,Annual Subscription,,,,,330,330,Agricultural Forum
Heather Hancock LVO,Chairman ,2017-01-16,2017-01-18,London / Belfast,Official Meetings / Stakeholder Meeting,151.53,109.6,104.1,259.54,,624.77,
Heather Hancock LVO,Chairman ,2017-01-20,2017-01-20,London,Oyster Card Top-up,,20,,,,20,
Heather Hancock LVO,Chairman ,2017-01-23,2017-01-25,London / Newbury,Official Meetings / FSA Board Retreat,,308.8,58.76,242.89,43.65,654.1,
Heather Hancock LVO,Chairman ,2017-01-30,2017-02-01,London,Official Meetings,,250,34.26,239.69,32.63,556.58,
Heather Hancock LVO,Chairman ,2017-02-03,2017-02-03,London,Oyster Card Top-up,,20,,,,20,
Heather Hancock LVO,Chairman ,2017-03-06,2017-03-10,London,Official Meetings,,250,38.76,90.75,25.88,405.39,
Heather Hancock LVO,Chairman ,2017-03-13,2017-03-16,London,FSA Board Meeting / Official Meetings,,251.5,25.76,327.38,88,692.64,
Heather Hancock LVO,Chairman ,2017-03-17,2017-03-17,London,Oyster Card Top-up,,20,,,,20,
Heather Hancock LVO,Chairman ,2017-03-20,2017-03-22,London,Official Meetings,,250,45.76,281,,576.76,
Heather Hancock LVO,Chairman ,2017-03-23,2017-03-23,,Annual Subscription,,,,,288,288,The Grocer
Tim Bennett,Deputy Chair ,2017-01-10,2017-01-11,London,Official Meetings ,,4.8,30.3,127.5,,162.6,
Tim Bennett,Deputy Chair ,2017-01-16,2017-01-18,London,Official Meetings / Stakeholder Meeting,,168.5,51.3,33,,252.8,
Tim Bennett,Deputy Chair ,2017-01-31,2017-01-31,Cirencester,Speak at Stakeholder Event,,,122.8,8.88,,131.68,
Tim Bennett,Deputy Chair ,2017-02-01,2017-02-02,London,Official Meetings ,,36,33.3,25,,94.3,
Tim Bennett,Deputy Chair ,2017-02-15,2017-02-16,London,Official Meetings ,,87.2,30.3,9.9,,127.4,
Tim Bennett,Deputy Chair ,2017-02-20,2017-02-22,Birmingham,Attendance at Conference,,44.2,33.3,,,77.5,
Tim Bennett,Deputy Chair ,2017-03-02,2017-03-03,London,Stakeholder Event / Official Meetings ,,73.45,49.3,169,,291.75,
Tim Bennett,Deputy Chair ,2017-03-06,2017-03-07,London,Official Meetings,,71.05,24.15,170.5,,265.7,
Tim Bennett,Deputy Chair ,2017-03-13,2017-03-16,London,FSA Board Meeting / Official Meetings,,155.3,58.3,416.8,,630.4,
Tim Bennett,Deputy Chair ,2017-03-29,2017-03-29,Cardiff,Official Meetings,,,30.3,,,30.3,
David Brooks,Board Member ,2017-01-23,2017-01-24,Newbury,FSA Board Retreat,,,40.5,85,,125.5,
David Brooks,Board Member ,2017-03-02,2017-03-02,London,Official Meeting,,,,,6.54,6.54,
David Brooks,Board Member ,2017-03-14,2017-03-15,London,FSA Board Meeting,,25.4,,126.95,,152.35,
Ram Gidoomal,Board Member,2017-01-23,2017-01-24,Newbury,FSA Board Retreat,,74.4,,85,,159.4,
Ram Gidoomal,Board Member,2017-03-14,2017-03-15,London,FSA Board Meeting,,,,126.95,,126.95,
Rosie Glazebrook,Board Member,2017-01-17,2017-01-17,London,Official Meeting,,5.3,,,,5.3,
Rosie Glazebrook,Board Member,2017-01-23,2017-01-24,Newbury,FSA Board Retreat,,64.1,19,85,,168.1,
Rosie Glazebrook,Board Member,2017-01-30,2017-02-01,London,Official Meeting,,15.9,,,,15.9,
Rosie Glazebrook,Board Member,2017-03-14,2017-03-15,London,FSA Board Meeting ,,7.7,30,,,37.7,
Stewart Houston,Board Member,2017-01-23,2017-01-24,Newbury,FSA Board Retreat,,,216.45,85,,301.45,
Stewart Houston,Board Member,2017-01-25,2017-01-25,Malton,Official Meeting ,,,35.1,,,35.1,
Stewart Houston,Board Member,2017-03-14,2017-03-15,London,FSA Board Meeting ,,31.5,45.95,155,,232.45,
Dr Ruth Hussey,Board Member and Chair of Welsh Food Advisory Committee,2017-01-10,2017-01-11,Cardiff,Official Meeting,,60.8,2,75.6,,138.4,
Dr Ruth Hussey,Board Member and Chair of Welsh Food Advisory Committee,2017-01-18,2017-01-19,Cardiff,Official Meeting,,68.44,18,68.6,,155.04,
Dr Ruth Hussey,Board Member and Chair of Welsh Food Advisory Committee,2017-01-23,2017-01-24,Newbury,FSA Board Retreat,,156.26,24,85,,265.26,
Dr Ruth Hussey,Board Member and Chair of Welsh Food Advisory Committee,2017-03-09,2017-03-09,Cardiff,Advisory Committee Meeting ,,6.7,,,,6.7,
Dr Ruth Hussey,Board Member and Chair of Welsh Food Advisory Committee,2017-03-14,2017-03-15,London,FSA Board Meeting,,215.63,33,126.95,,375.58,
Colm McKenna,Board Member and Chair of Northern Ireland Food Advisory Committee,2017-01-19,2017-01-19,Belfast,Official Meeting,,,11.7,,,11.7,
Colm McKenna,Board Member and Chair of Northern Ireland Food Advisory Committee,2017-01-23,2017-01-24,Newbury,FSA Board Retreat,129.96,,45.45,85,,260.41,
Colm McKenna,Board Member and Chair of Northern Ireland Food Advisory Committee,2017-02-07,2017-02-07,Belfast,Official Meeting,,,11.7,,,11.7,
Colm McKenna,Board Member and Chair of Northern Ireland Food Advisory Committee,2017-02-28,2017-02-28,Belfast,Official Meeting,,,11.7,,,11.7,
Colm McKenna,Board Member and Chair of Northern Ireland Food Advisory Committee,2017-03-01,2017-03-01,Belfast,Official Meeting,,,13.5,,,13.5,
Colm McKenna,Board Member and Chair of Northern Ireland Food Advisory Committee,2017-03-08,2017-03-08,Belfast,Advisory Committee Meeting,,,37.8,,,37.8,
Colm McKenna,Board Member and Chair of Northern Ireland Food Advisory Committee,2017-03-14,2017-03-15,London,FSA Board Meeting ,54.45,36.4,30.99,126.95,,248.79,
Heather Peck,Board Member,2017-01-23,2017-01-24,Newbury,FSA Board Retreat,,,183.6,85,,268.6,
