Entity,GL Date,Merchant name,Amount,Description
CEFAS,19/04/2016,EMIRATES AIRLINES (ABBR. EMIRATES),805.85,Return flights for one person from London to Seychelles to deliver science to support sustainable growth of blue economies in commonwealth small island developing states. Cost recovered from Foreign Commonwealth Office project. 
CEFAS,19/04/2016,TREASURE COVES PTY LTD,612.65,Accommodation for one person for five nights in Seychelles to deliver science to support sustainable growth of blue economies in commonwealth small island developing states. Cost recovered from Foreign Commonwealth Office project. 
CEFAS,19/04/2016,BRITISH A,886.14,"Return flight for one person from Kuwait to London part of overseas living allowance, cost fully recovered from commercial contract "
CEFAS,19/04/2016,BRITISH A,2882.27,"Return flight for four people from Kuwait to London part of overseas living allowance, cost fully recovered from commercial contract "
CEFAS,20/04/2016,EMIRATES AIRLINES (ABBR. EMIRATES),805.85,Return flight for one person from London to Seychelles to deliver science to support sustainable growth of blue economies in commonwealth small island developing states. Cost recovered from Foreign Commonwealth Office project. 
CEFAS,20/04/2016,BRITISH A,971.67,Single flight for seven people from London to Berlin to host a European Union Reference Laboratory workshop
CEFAS,20/04/2016,FISHER HOTEL & RESTAUR,1280,Accommodation for eight people for two nights to attend Cefas Student day event 
CEFAS,24/04/2016,IN  EXOPRISE SYSTEMS I,575.31,Office 365 monitoring software for Cefas Lowestoft and Weymouth users
CEFAS,25/04/2016,BDP AS,685.43,"Registration fee for one person for participation to the International Seaweed Symposium, in Copenhagen."
CEFAS,25/04/2016,POLYBAGS LTD,1257.36,8000 Sample bags purchased for customer sample collection. 
KEW,19/04/2016,KEY TRAVEL,586.86,The cost was for a return flight to New York for an international meeting for the World Flora Online at which we represent Kew.
NE,04/04/2016,ARCO LTD,584.48,"Batteries, gloves, eyewash, brow guards and visors for use for WIIS (Wildlife Incident Investigation Scheme) - amount to be reclaimed from Health and Safety Executive"
NE,04/04/2016,NEWSQUEST MEDIA,1168.8,"Notice inserted into local newspaper notifying the public of an opportunity to comment on applications and expressions of interest received by Natural England in relation to licences to control badger populations in specified counties in the South West, in line with Defra's guidance to Natural England - 18th February-16th March 2016"
NE,04/04/2016,WORLD OF TRAVEL,834.44,Staff training and subsistence for 20 people for three days for Countryside Stewardship Lessons Learnt workshop - 8th -10th December 2015
NE,06/04/2016,AMPHIBIAN & REPTILE CONSERVATION,1209.8,"Staff training only for 12 people for two days for Amphibian training, plus travel and subsistence costs for external licensed trainer - 17th-18th May 2016"
NE,06/04/2016,APPLE ONLINE STORE GBP,960,24 Video Graphics Array adapters for Field Unit tablets
NE,06/04/2016,BROOK STREET (BUREAU),83735.7,Agency staff costs
NE,06/04/2016,BROOK STREET (BUREAU),79976.89,Agency staff costs
NE,06/04/2016,BROOK STREET (BUREAU),82523.35,Agency staff costs
NE,06/04/2016,BROOK STREET (BUREAU),84092.69,Agency staff costs
NE,06/04/2016,EUROUSC,2456.06,Theory and practical drone flying training course for two people for three days
NE,06/04/2016,EXCLUSIVE MECHANICAL SYSTEMS LTD,537.75,Four extractigator tools to replace old equipment for Wyre Forest National Nature Reserves 
NE,06/04/2016,FARMERS FAYRE,516,Natural England sponsored a one day Great Farm Challenge event attended by 55 people - 7th March 2016
