Impact,Per Full time equivalent (FTE):,2016/17,2015/16,2014/15,2014/13,2012/13,2011/12,Average per FTE in Goverment Departments
Greenhouse Gas Emissions,tonnes for CO2e per FTE,2.6,3,3.1,2.8,3.4,3.5,2.3
Waste arising,KG per FTE,161,208,196,167,204,205,158
Office water consumption ,cubic meters (m3)per FTE,7.5,9.9,8.6,8.3,9.5,9.7,7.9
