Department,Grants Description,Amount (£m),Grant Category,No. of Recipients,Recipient type,Sector type (from COFOG level 0 code)
BIS,Advanced Manufacturing Supply Chain Initiative,9,General Grant,,Private Sector,Economic affairs
BIS,AHRC - Capital Grants & Equipment to HEIs,5,General Grant,,,
BIS,AHRC - Fellowships,5,Intermediated Grant,,,
BIS,AHRC - Research Grants,54,Intermediated Grant,,,
BIS,AHRC - Training Awards/Postgraduate,38,Intermediated Grant,,,
BIS,BBSRC - Capital Grants & Equipment to HEIs,139,General Grant,,,
BIS,BBSRC - Fellowships,7,Intermediated Grant,,,
BIS,BBSRC - Other Programme Costs,4,Intermediated Grant,,,
BIS,BBSRC - Research Grants,315,Intermediated Grant,,,
BIS,BBSRC - Training Awards/Postgraduate,44,Intermediated Grant,,,
BIS,ELP- Employer Leadership Projects,3,General Grant,5,,
BIS,EPSRC - Capital Grants & Equipment to HEIs,135,General Grant,,,
BIS,EPSRC - Fellowships,48,Intermediated Grant,,,
BIS,EPSRC - Other Programme Costs,31,Intermediated Grant,,,
BIS,EPSRC - Research Grants,548,Intermediated Grant,,,
BIS,EPSRC - Training Awards/Postgraduate,178,Intermediated Grant,,,
BIS,ESRC - Capital Grants & Equipment to HEIs,45,General Grant,,,
BIS,ESRC - Fellowships,5,Intermediated Grant,,,
BIS,ESRC - Other Programme Costs,2,Intermediated Grant,,,
BIS,ESRC - Research Grants,113,Intermediated Grant,,,
BIS,ESRC - Training Awards/Postgraduate,47,Intermediated Grant,,,
BIS,GIF - Growth And Innovation Fund ,13,General Grant,38,,
BIS,Grants & Subscriptions for Space research ,305,Ad Hoc,,,Education 
BIS,HEFCE - Capital for Further Education Colleges (FECs),8,Formula Grant,210,,
BIS,HEFCE - Catalyst Fund,23,General Grant,3,,
BIS,HEFCE - Catalyst Fund (Research),2,General Grant,31,,
BIS,HEFCE - Catalyst Fund Capital (Research),8,General Grant,14,,
BIS,HEFCE - Catalyst Fund Capital (Teaching),11,General Grant,14,,
BIS,HEFCE - High Performance Computing Capital,4,General Grant,1,,
BIS,HEFCE - Higher Education Academy (HEA),10,General Grant,1,,Education 
BIS,HEFCE - Higher Education Innovation Fund HEIF 2011-15,49,Formula Grant,101,,Education 
BIS,HEFCE - Higher Education Innovation Fund HEIF 2011-15 (BIS),113,Formula Grant,99,,Education 
BIS,HEFCE - Inherited Staff Liabilities payments,29,Intermediated Grant,95,,
BIS,HEFCE - Jisc,34,General Grant,1,,
BIS,HEFCE - Jisc Capital (Teaching),11,General Grant,1,,
BIS,"HEFCE - Museums, Galleries and Collections",10,General Grant,18,non-profit ,Education 
BIS,HEFCE - National Networks for Collaborative Outreach,10,Formula Grant,191,,
BIS,HEFCE-  National Scholarship Programme (NSP),49,Formula Grant,299,,
BIS,HEFCE - Postgraduate Support Scheme (PSS),17,Formula Grant,20,,
BIS,HEFCE - Provision of Information,2,General Grant,21,,
BIS,HEFCE - Quality Assurance,5,General Grant,2,,
BIS,HEFCE - Research 13-14,558,Formula Grant,122,non-profit ,Education 
BIS,HEFCE - Research 14-15,997,Formula Grant,122,non-profit ,Education 
BIS,HEFCE - Research Capital Investment Fund RCIF Round 2,104,Formula Grant,113,non-profit ,Education 
BIS,HEFCE - Research Excellence Framework (REF),6,General Grant,1202,non-profit ,Education 
BIS,HEFCE - Revolving Green Fund,5,General Grant,56,non-profit ,Education 
BIS,HEFCE - Strategic Development Fund (SDF) Recurrent,5,General Grant,31,non-profit ,Education 
BIS,HEFCE - Teaching 13-14,693,Formula Grant,330,non-profit ,Education 
BIS,HEFCE - Teaching 14-15,"1,111",Formula Grant,337,non-profit ,Education 
BIS,HEFCE - Teaching Capital Investment Fund TCIF Round 2,144,Formula Grant,131,,Education 
BIS,HEFCE- Jisc Capital (Research),8,General Grant,1,,Education 
BIS,HEFCE- UK Research Partnership Investment Fund (UKRPIF),153,General Grant,16,,Education 
BIS,Innovation -  TECHNOLOGY INNOVATION CENTRES,73,General Grant,,,
BIS,Innovation  Advanced Propulsion Centre,16,General Grant,,,
BIS,Innovation  Advanced Training Centre,12,General Grant,,,
