Reference Number,Date of Decision,Details,Decision,Officer Making Decision,Delegated,Reason for Decision,Alternative Options Considered,Other Background Documents
SNN/2010/0004,19/01/2010,Renaming of Four Beeches North Scale to Fourbeech North Scale,Approved,Development Services Manager,Yes,Towns Improvement Clauses Act 1847 Section 64,None,None
SNN/2010/0003,15/01/2010,"Renaming of 94, 96 Queen Street Dalton-in-Furness to Yarl View and 1 Ainslie Street and addition of new property Bridge View Ainslie Street Dalton-in-Furness",Approved,Development Services Manager,Yes,Towns Improvement Clauses Act 1847 Section 64,None,None
SNN/2010/0002,14/01/2010,Marsh Sands Marsh Street Askam-in-Furnes,Approved,Development Services Manager,Yes,Towns Improvement Clauses Act 1847 Section 64,None,None
SNN/2010/0001,12/01/2010,Newland Terrace Greengate Street Barrow-in-Furness,Approved,Development Services Manager,Yes,Towns Improvement Clauses Act 1847 Section 64,None,None
