FIN.TRANSACTION DATE,MCH.MERCHANT NAME,FIN.TRANSACTION AMOUNT
01/04/2016,WWW.THEKNOWLEDGEACADEM,907.8
01/04/2016,WWW.THEKNOWLEDGEACADEM,999
06/04/2016,PENGUIN RANDOM HOUSE,997.5
11/04/2016,SELBY ENG & LIFTING SA,748.86
15/04/2016,RSS (SERVICES) LTD,675
15/04/2016,RSS (SERVICES) LTD,675
18/04/2016,R.I.C.S. -(DRS),708
19/04/2016,HARROGATE & DIS NH,550
19/04/2016,WWW.CIRCDATA.COM,912
20/04/2016,CARERS UK,597.6
20/04/2016,REVOLUTION EVENTS LTD,895
,,"8,665.76"
