Year 2016/2017,Organisation,Percentage paid within 30 days,Group year average paid within 30 days,Total interest paid,Group year average interest paid
April 2016 - March 2017,DfTc,98.98%,99.20%,Nil,Nil
April 2016 - March 2017,DVLA,99.95%,99.20%,Nil,Nil
April 2016 - March 2017,DVSA,100.00%,99.20%,Nil,Nil
April 2016 - March 2017,MCA,97.80%,99.20%,Nil,Nil
April 2016 - March 2017,VCA,98.80%,99.20%,Nil,Nil
