Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Adult Social Care,EASYJET00 000ESHT5XM,Travelling Expenses,Human Resources Travel & Subsistence ,07.04.2017,16.08.2017,GPC07170000001,46.15
Stockport MBC,Services to People,Adult Social Care,FlybeE0NC E0NC23,Travelling Expenses,Human Resources Travel & Subsistence ,07.04.2017,16.08.2017,GPC07170000002,29.99
Stockport MBC,Services to People,Adult Social Care,IBIS DEN HAAG CENTRE,Expenses and Allowances,Human Resources Travel & Subsistence ,07.04.2017,16.08.2017,GPC07170000003,202.27
Stockport MBC,Services to People,Adult Social Care,easyJetES ESJN9NX,Travelling Expenses,Human Resources Travel & Subsistence ,07.10.2017,16.08.2017,GPC07170000004,20.20
Stockport MBC,Services to People,Adult Social Care,easyJetES ESJN9NX,Travelling Expenses,Human Resources Travel & Subsistence ,07.10.2017,16.08.2017,GPC07170000005,51.99
Stockport MBC,Services to People,Adult Social Care,TAP       2003596850,Travelling Expenses,Human Resources Travel & Subsistence ,07.10.2017,16.08.2017,GPC07170000006,194.65
Stockport MBC,Services to People,Adult Social Care,BAIXA & CHIADO HOTEL S,Expenses and Allowances,Human Resources Travel & Subsistence ,07.10.2017,16.08.2017,GPC07170000007,228.93
Stockport MBC,Services to People,Adult Social Care,HADFIELD STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,07.11.2017,16.08.2017,GPC07170000008,7.80
Stockport MBC,Services to People,Adult Social Care,RYANAIR22 22400000DV3WVA,Travelling Expenses,Human Resources Travel & Subsistence ,07.10.2017,16.08.2017,GPC07170000009,50.62
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 4JVF8DEUU2,Publicity and Promotion,Facilities & Management Services  ,30.06.2017,16.08.2017,GPC07170000010,4.70
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK WHVF8DEUU2,Publicity and Promotion,Facilities & Management Services  ,30.06.2017,16.08.2017,GPC07170000011,176.74
Stockport MBC,Corporate and Support Services,Central Support Costs,TYPEFORM SL,Publicity and Promotion,Facilities & Management Services  ,28.06.2017,16.08.2017,GPC07170000012,458.33
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK PSCNPD6UU2,Publicity and Promotion,Facilities & Management Services  ,21.07.2017,16.08.2017,GPC07170000013,332.32
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK QSCNPD6UU2,Publicity and Promotion,Facilities & Management Services  ,21.07.2017,16.08.2017,GPC07170000014,67.68
Stockport MBC,Corporate and Support Services,Central Support Costs,ADOBE  CREATIVE CLOUD,Publicity and Promotion,Facilities & Management Services  ,26.07.2017,16.08.2017,GPC07170000015,708.00
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK LP75ADWTU2,Publicity and Promotion,Facilities & Management Services  ,31.07.2017,16.08.2017,GPC07170000016,17.97
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,07.03.2017,16.08.2017,GPC07170000017,38.98
Stockport MBC,Services to People,Childrens & Educational Services,Q PARK FIRST STREET A,Travelling Expenses,Human Resources Travel & Subsistence ,07.06.2017,16.08.2017,GPC07170000018,4.50
Stockport MBC,Services to People,Childrens & Educational Services,Q PARK FIRST STREET A,Travelling Expenses,Human Resources Travel & Subsistence ,27.07.2017,16.08.2017,GPC07170000019,6.50
Stockport MBC,Services to People,Childrens & Educational Services,SURVEYMONKEY,Fees and Charges,Financial Services  ,07.04.2017,16.08.2017,GPC07170000020,-300.00
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44010600,Care Payments,Social Community Care Supplies & Services  ,24.07.2017,16.08.2017,GPC07170000021,500.00
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44010600,Care Payments,Social Community Care Supplies & Services  ,24.07.2017,16.08.2017,GPC07170000022,265.91
Stockport MBC,Services to People,Childrens & Educational Services,HM PASSPORT,Care Payments,Social Community Care Supplies & Services  ,27.07.2017,16.08.2017,GPC07170000023,90.00
Stockport MBC,Services to People,Childrens & Educational Services,HM PASSPORT,Care Payments,Social Community Care Supplies & Services  ,28.07.2017,16.08.2017,GPC07170000024,90.00
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT M B C,Care Payments,Social Community Care Supplies & Services  ,31.07.2017,16.08.2017,GPC07170000025,10.00
Stockport MBC,Services to People,Childrens & Educational Services,WWW.MANCHESTER.GOV.UK,Care Payments,Social Community Care Supplies & Services  ,31.07.2017,16.08.2017,GPC07170000026,11.00
Stockport MBC,Services to People,Childrens & Educational Services,WWW.STOCKPORT.GOV.UK,Care Payments,Social Community Care Supplies & Services  ,08.01.2017,16.08.2017,GPC07170000027,10.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,JLR STOCKPORT,Leasing /Transport Hire,Vehicle Management Leasing ,24.07.2017,16.08.2017,GPC07170000028,208.73
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,ASDA SUPERSTORE,Expenses and Allowances,Human Resources Travel & Subsistence ,30.06.2017,16.08.2017,GPC07170000029,8.19
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,SAINSBURYS LOC 6125,Expenses and Allowances,Human Resources Travel & Subsistence ,07.04.2017,16.08.2017,GPC07170000030,7.90
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,CROWNE PLAZA BIRMINGHA,Staff Training,Human Resources  ,07.04.2017,16.08.2017,GPC07170000031,366.94
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,CROWNE PLAZA BIRMINGHA,Staff Training,Human Resources  ,07.04.2017,16.08.2017,GPC07170000032,366.94
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,CO-OP GROUP 108689,Expenses and Allowances,Human Resources Travel & Subsistence ,13.07.2017,16.08.2017,GPC07170000033,3.95
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,E/TUNNEL INTERNET,Expenses and Allowances,Catering  ,17.07.2017,16.08.2017,GPC07170000034,165.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,HOLIDAY INN EXPRESS,Expenses and Allowances,Catering  ,17.07.2017,16.08.2017,GPC07170000035,258.11
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,LUL TICKET MACHINE,Travelling Expenses,Human Resources Travel & Subsistence ,26.07.2017,16.08.2017,GPC07170000036,10.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,LUL TICKET MACHINE,Travelling Expenses,Human Resources Travel & Subsistence ,26.07.2017,16.08.2017,GPC07170000037,10.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,M&S SIMPLY FOOD-SSP,Expenses and Allowances,Human Resources Travel & Subsistence ,08.01.2017,16.08.2017,GPC07170000038,7.20
Stockport MBC,Services to People,Childrens & Educational Services,MAPLIN STOCKPORT SK1,Furniture and Equipment,Environmental Services Technical Equipment ,07.07.2017,16.08.2017,GPC07170000039,19.98
Stockport MBC,Services to People,Childrens & Educational Services,MAPLIN STOCKPORT SK1,Furniture and Equipment,Environmental Services Technical Equipment ,07.07.2017,16.08.2017,GPC07170000040,14.98
Stockport MBC,Services to People,Childrens & Educational Services,GLADIATOR PC,Furniture and Equipment,Environmental Services Technical Equipment ,18.07.2017,16.08.2017,GPC07170000041,22.70
Stockport MBC,Services to People,Childrens & Educational Services,UNIVERSITY OF MANCHEST,Travelling Expenses,Human Resources Travel & Subsistence ,18.07.2017,16.08.2017,GPC07170000042,8.00
Stockport MBC,Services to People,Childrens & Educational Services,HICKMAN MUSIC EDITIONS,Furniture and Equipment,Furniture & Soft Furnishings  ,19.07.2017,16.08.2017,GPC07170000043,39.52
Stockport MBC,Services to People,Childrens & Educational Services,NCP LIMITED,Travelling Expenses,Human Resources Travel & Subsistence ,07.07.2017,16.08.2017,GPC07170000044,22.00
Stockport MBC,Services to People,Childrens & Educational Services,NATIONAL CAR PARKS,Travelling Expenses,Human Resources Travel & Subsistence ,14.07.2017,16.08.2017,GPC07170000045,8.00
Stockport MBC,Services to People,Childrens & Educational Services,PICADILLY PLACE MAN LT,Travelling Expenses,Human Resources Travel & Subsistence ,18.07.2017,16.08.2017,GPC07170000046,7.00
Stockport MBC,Services to People,Childrens & Educational Services,NCP LIMITED,Travelling Expenses,Human Resources Travel & Subsistence ,28.07.2017,16.08.2017,GPC07170000047,10.00
Stockport MBC,Services to People,Childrens & Educational Services,Virgin Trains,Travelling Expenses,Human Resources Travel & Subsistence ,07.07.2017,16.08.2017,GPC07170000048,188.10
Stockport MBC,Services to People,Childrens & Educational Services,Virgintrains.co.uk,Travelling Expenses,Human Resources Travel & Subsistence ,14.07.2017,16.08.2017,GPC07170000049,-49.50
Stockport MBC,Services to Place,Central Support Costs,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,07.04.2017,16.08.2017,GPC07170000050,5.00
Stockport MBC,Services to Place,Central Support Costs,HOLIDAY INNS,Office Expenses,Catering  ,07.11.2017,16.08.2017,GPC07170000051,4.00
Stockport MBC,Services to Place,Central Support Costs,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,13.07.2017,16.08.2017,GPC07170000052,5.90
Stockport MBC,Services to Place,Central Support Costs,CAFELITO,Office Expenses,Catering  ,18.07.2017,16.08.2017,GPC07170000053,3.95
Stockport MBC,Services to Place,Central Support Costs,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,26.07.2017,16.08.2017,GPC07170000054,5.90
Stockport MBC,Services to Place,Central Support Costs,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,28.07.2017,16.08.2017,GPC07170000055,5.90
Stockport MBC,Services to People,Childrens & Educational Services,ALDI,Catering Supplies,Catering Food & Beverages ,07.03.2017,16.08.2017,GPC07170000056,47.45
Stockport MBC,Services to People,Childrens & Educational Services,NOTCUTTS LTD,Furniture and Equipment,Environmental Services Technical Equipment ,07.03.2017,16.08.2017,GPC07170000057,14.48
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,07.10.2017,16.08.2017,GPC07170000058,37.06
Stockport MBC,Services to People,Childrens & Educational Services,B & Q 1279,Furniture and Equipment,Environmental Services Technical Equipment ,07.11.2017,16.08.2017,GPC07170000059,7.74
Stockport MBC,Services to People,Childrens & Educational Services,Amazon UK Marketplace,Furniture and Equipment,Environmental Services Technical Equipment ,07.12.2017,16.08.2017,GPC07170000060,41.70
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORE 2440,Catering Supplies,Catering Food & Beverages ,07.12.2017,16.08.2017,GPC07170000061,35.50
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Office Expenses,Mail Services   ,07.12.2017,16.08.2017,GPC07170000062,53.76
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,07.12.2017,16.08.2017,GPC07170000063,13.25
Stockport MBC,Services to People,Childrens & Educational Services,HSQE LTD,Staff Training,Human Resources  ,13.07.2017,16.08.2017,GPC07170000064,30.00
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,13.07.2017,16.08.2017,GPC07170000065,54.56
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,13.07.2017,16.08.2017,GPC07170000066,11.81
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,17.07.2017,16.08.2017,GPC07170000067,18.30
Stockport MBC,Services to People,Childrens & Educational Services,Cineworld MAN AT,Fees and Charges,Education  ,19.07.2017,16.08.2017,GPC07170000068,41.00
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,21.07.2017,16.08.2017,GPC07170000069,14.06
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,21.07.2017,16.08.2017,GPC07170000070,9.86
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.GOV.UK,Legal Fees,Legal Services  ,07.07.2017,16.08.2017,GPC07170000071,10.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,TICKETS08712200260,Staff Training,Human Resources  ,07.10.2017,16.08.2017,GPC07170000072,99.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,Amazon EU,Office Expenses,Stationery    ,15.07.2017,16.08.2017,GPC07170000073,38.00
Stockport MBC,Corporate and Support Services,Central Support Costs,Amazon UK Marketplace,Office Expenses,Stationery    ,31.07.2017,16.08.2017,GPC07170000074,18.93
Stockport MBC,Services to People,Childrens & Educational Services,Amazon UK Marketplace,Furniture and Equipment,Furniture & Soft Furnishings  ,07.12.2017,16.08.2017,GPC07170000075,51.98
Stockport MBC,Services to People,Childrens & Educational Services,Amazon UK Marketplace,Furniture and Equipment,Furniture & Soft Furnishings  ,19.07.2017,16.08.2017,GPC07170000076,20.99
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Furniture and Equipment,Environmental Services Technical Equipment ,30.06.2017,16.08.2017,GPC07170000077,3.98
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Furniture and Equipment,Environmental Services Technical Equipment ,30.06.2017,16.08.2017,GPC07170000078,2.00
Stockport MBC,Services to People,Childrens & Educational Services,WAITROSE DIRECT,Furniture and Equipment,Environmental Services Technical Equipment ,07.03.2017,16.08.2017,GPC07170000079,27.95
Stockport MBC,Services to People,Childrens & Educational Services,WWW.ICO.GOV.UK,Office Expenses,Mail Services   ,07.04.2017,16.08.2017,GPC07170000080,35.00
