Northern Ireland cmr-4.01,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Figure 4.1,,,,,,,,,,,,,,,,,,
"Internet take-up, Northern Ireland: 2008-2013",,,,,,,,,,,,,,,,,,
Households (%),,,,,,,,,,,,,,,,,,
Source: Ofcom technology tracker,,,,,,,,,,,,,,,,,,
"Base: All adults aged 16+ (n = 629 Northern Ireland 2008, 652 Northern Ireland 2009, 761 Northern Ireland 2010, 511 Northern Ireland 2011, 508 Northern Ireland 2012, 507 Northern Ireland 2013) ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Q1 08,Q1 09,Q1 10,Q1 11,Q1 12,Q1 13,,,,,,,,,,,,
Internet,61,68,73,76,72,78,,,,,,,,,,,,
Total broadband,52,64,70,75,69,74,,,,,,,,,,,,
Fixed broadband,,62,62,67,66,71,,,,,,,,,,,,
Mobile data user,,23,29,33,38,47,,,,,,,,,,,,
Internet on mobile,,18,19,29,35,45,,,,,,,,,,,,
Mobile broadband,,8,14,13,7,5,,,,,,,,,,,,
Internet via phone/ smartphone only,,,,,2,4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Northern Ireland cmr-4.02,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Figure 4.2,,,,,,,,,,,,,,,,,,
Take-up of tablet computers in Northern Ireland,,,,,,,,,,,,,,,,,,
Households (%) / percentage point change in take-up of tablet computers from Q1 2012,,,,,,,,,,,,,,,,,,
"QE1. Does your household have a  PC, laptop, netbook or tablet computer?",,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Quarter 1 2013",,,,,,,,,,,,,,,,,,
"Base: All adults aged 16+ (n = 3750 UK, 507 Northern Ireland, 2250 England, 501 Scotland, 492 Wales 254 Northern Ireland urban, 253 Northern Ireland rural, 487 Scotland 2011, 500 Scotland 2012, 501 Scotland 2013)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Nation,,,,Urbanity,,Northern Ireland,,,,,,,,,,
,UK,N Ireland,England,Scotland,Wales,"NI
Urban","NI
Rural",2011,2012,2013,,,,,,,,
Tablet PC,24,29,24,24,21,34,19,2,9,29,,,,,,,,
Increase since Q1 2012,13,20,13,13,13,23,13,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Northern Ireland cmr-4.03,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Figure 4.3,,,,,,,,,,,,,,,,,,
Most important device for accessing the internet in Northern Ireland ,,,,,,,,,,,,,,,,,,
Individuals (%) ,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2013",,,,,,,,,,,,,,,,,,
"Base: Internet users aged 16+ (n = 2918 UK,, 376 Northern Ireland, 185 NI urban, 191 NI rural, 152 16-34, 134 35-54, 90 55+, 205 ABC1, 171 C2DE, 99 under £17.5K, 124 £17.5K+). Question: Which is the most important device you use to connect to the internet, at home or elsewhere? “Other” responses include: “Netbook”, “Games console”, “Other device”, “None” and “don’t know”. ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Column1,Column2,Laptop,Desktop,Smartphone,Tablet,Other,,,,,,,,,,,,
,UK,46,28,15,8,4,,,,,,,,,,,,
,Northern Ireland,45,21,19,12,4,,,,,,,,,,,,
Urbanity,"NI
Urban",44,18,20,15,3,,,,,,,,,,,,
,"NI
Rural",47,26,17,6,4,,,,,,,,,,,,
Age Group,16-34,40,12,30,13,5,,,,,,,,,,,,
,35-54,48,27,14,9,2,,,,,,,,,,,,
,55+,49,30,1,14,5,,,,,,,,,,,,
Social Group,ABC1,46,22,17,13,3,,,,,,,,,,,,
,C2DE,44,20,22,10,4,,,,,,,,,,,,
Household Income,"Under 
£17.5K",42,24,23,5,7,,,,,,,,,,,,
,£17.5K+,44,19,16,20,1,,,,,,,,,,,,
Northern Ireland cmr-4.04,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Figure 4.4,,,,,,,,,,,,,,,,,,
Claimed time spent on the internet in a typical week ,,,,,,,,,,,,,,,,,,
Hours per week ,,,,,,,,,,,,,,,,,,
"IN6A-C – How many hours in a typical week would you say you use the internet at home/ at your workplace or place of education/ anywhere else? (Unprompted responses, single coded)",,,,,,,,,,,,,,,,,,
"Base: All adults aged 16+ who use the internet at home or elsewhere (1381 UK, 857 England, 183 Scotland, 177 Wales, 164 Northern Ireland). Significance testing shows any difference between any nation and the UK.",,,,,,,,,,,,,,,,,,
"Source: Ofcom research, fieldwork carried out by Saville Rossiter-Base in September to November 2012 ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Wales,Scotland,England,N Ireland,UK,,,,,,,,,,,,,
At home,9.6,11.7,10.9,8.5,10.9,,,,,,,,,,,,,
At workplace/ place of education,2.9,4.1,4.2,2.1,4.1,,,,,,,,,,,,,
Anywhere else,1.1,2.5,1.8,1.1,1.8,,,,,,,,,,,,,
Total,13.6,18.3,16.9,11.7,16.8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Northern Ireland cmr-4.05,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Figure 4.5,,,,,,,,,,,,,,,,,,
Activities conducted online by internet users.,,,,,,,,,,,,,,,,,,
Individuals (%) ,,,,,,,,,,,,,,,,,,
"QE5. Which, if any, of these do you use the internet for?",,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Quarter 1 2013",,,,,,,,,,,,,,,,,,
Base: Adults aged 16+ who use the internet at home or elsewhere (n= 376 Northern Ireland 2013),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Realtime gambling/auctions,Streamed audio services,Listening to radio,Instant messaging,Using local council/ Government websites,Finding/ downloading info for college,Find health information,Uploading/ adding content to internet,Downloading music/films/video clips,Playing games,Watching video clips/ webcasts,TV/ Video viewing,Banking,Using social networking sites,Purchasing goods/services,Sending and receiving email,General surfing/browsing,Any
Used in the past week,4,4,11,18,12,15,12,20,21,24,22,33,42,45,38,60,69,93
Use less often,1,3,6,4,10,8,14,7,9,7,13,14,9,8,22,12,9,2
Total,5,7,17,22,22,23,26,27,30,31,35,47,51,53,60,72,78,95
