Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Education,Ministerial Department,Department for Education,100,94.28,550,528.76,1106,1067.45,764,732.08,114,108.51,,,2634,2531.08,47,38.17,3,2.6,105,104.6,,,155,145.37,2789,2676.45,9234961.4,,18820,64374.81,1897927.55,1002423.68,12218507.44,2009824.95,829900.13,2839725.08,15058232.52,"Please note we are unable to split the contingent labour by interims or specialist contractors with regards to the departments preferred frameworks. Consultants/Consultancy cannot be measured in HC or FTE.  In previous monthly workforce MI returns, only Hays agency staff were recorded.  From April 2012 onwards, agency staff from both Reed and Hays will be recorded and from May 2014 Brook Street information will be recorded."
Education Funding Agency ,Executive Agency,Department for Education,26,24.77,146,141.38,326,312.7,409,400.36,29,28.89,,,936,908.1,24,24,0,0,224,216,0,0,248,240,1184,1148.1,2795294.96,,0,611.52,718230.36,374419.09,3888555.93,393428.64,,393428.64,4281984.57,
National College for Teaching and Leadership,Executive Agency,Department for Education,18,18,85,81.42,138,127.63,61,58.36,7,7,,,309,292.41,9,8.6,,,,,,,9,8.6,318,301.01,759632.31,,,1280.29,167839.72,81101.95,1009854.27,-912.06,0,-912.06,1008942.21,
Standards and Testing Agency,Executive Agency,Department for Education,0,0,21,20.97,70,68.05,25,24.51,3,3,,,119,116.53,,,,,13,2.18,,,13,2.18,132,118.71,389228.47,,,51.74,83219.46,41433.28,513932.95,0,849,849,514781.95,
The Office of the Children's Commissioner,Executive Non-Departmental Public Body,Department for Education,,,1,1,16,15,6,5.8,3,2.8,,,26,24.6,,,,,1,1,,,1,1,27,25.6,95578.85,785.17,0,0,17572.3,10834.78,124771.1,5920.12,,5920.12,130691.22,
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Department for Education,5,4.87,13,12.6,110,104.97,48,44.2,12,10.833,,,188,177.473,1,1,6,4.416,,,,,7,5.416,195,182.889,599460.77,12916.81,0,1653.92,129813.64,66419.21,810264.35,64872.1,0,64872.1,875136.45,
