MINISTERIAL INFORMATION 1 JULY - 30 SEPT 2013,,,,,

MINISTERS GIFTS RECEIVED OVER £140,,,,,

Minister,Date Gift Received ,From ,Gift ,Value ,Outcome 
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",04-Sep-13,King of Bahrain,Watch ,Over the Limit ,Disposed by DSA  
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",04-Sep-13,King of Bahrain,Jewellery ,Over the Limit ,Disposed by DSA 
"Minister for International Security Strategy, Dr Andrew Murrison MP",17-Sep-13,Hd of Intelligence Services Morocco ,Rug ,Over the Limit ,Held by Department 
Lord Astor of Hever DL - Under-Secretary of State and the Lords spokesman on Defence,05-Sep-13,King of Bahrain,Jewellery ,Over the Limit ,Disposed by DSA 
Lord Astor of Hever DL - Under-Secretary of State and the Lords spokesman on Defence,05-Sep-13,King of Bahrain,Watch ,Over the Limit ,Disposed by DSA 
