Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
DCLG,The Planning Inspectorate,31/01/2011,Specialist Contractors,NSI Fees,CLIFFORD W & R C SHRIMPLIN,4048.11.01,672
DCLG,The Planning Inspectorate,31/01/2011,Specialist Contractors,NSI Fees,THE STEP CONSULTANCY LTD,1229,840
DCLG,The Planning Inspectorate,31/01/2011,Staff Training & Development,Procurement,NATIONAL SCHOOL OF GOVERNMENT,F445013,1200
DCLG,The Planning Inspectorate,31/01/2011,Specialist Contractors,NSI Fees,ROGER DEAN,RGD/P/JAN2/11,1232
DCLG,The Planning Inspectorate,31/01/2011,Specialist Contractors,NSI Fees,H J L PLANNING,PI/032/JANUARY,1610
DCLG,The Planning Inspectorate,31/01/2011,Specialist Contractors,NSI Fees,JDA DEVELOPMENT & PLANNING SERVICE,513,1680
DCLG,The Planning Inspectorate,31/01/2011,Specialist Contractors,NSI Fees,DAVID KAISERMAN,1135-1142,2604
DCLG,The Planning Inspectorate,31/01/2011,Specialist Contractors,NSI Fees,STUART HALL,PINS 01/11,2660
DCLG,The Planning Inspectorate,01/02/2011,Learning & Development Materials,ROW New Work,RIGHTS OF WAY LAW REVIEW,S6858,750
DCLG,The Planning Inspectorate,01/02/2011,Specialist Contractors,NSI Fees,S P PLANNING,PINS1101,840
DCLG,The Planning Inspectorate,01/02/2011,Specialist Contractors,NSI Fees,CARBROOK ASSOCIATES,11/11/PINS,980
DCLG,The Planning Inspectorate,01/02/2011,Specialist Contractors,NSI Fees,JACQUES PARTNERSHIP,1778,1344
DCLG,The Planning Inspectorate,01/02/2011,Specialist Contractors,NSI Fees,MEGAN THOMAS,122,1344
DCLG,The Planning Inspectorate,01/02/2011,Specialist Contractors,NSI Fees,ENERGIA CONSULTANTS LTD,ECL/PM/PINS/103,1652
DCLG,The Planning Inspectorate,01/02/2011,Learning & Development Materials,Rights Of Way,RIGHTS OF WAY LAW REVIEW,S6858,2506
DCLG,The Planning Inspectorate,01/02/2011,Telecoms,Estates,HIGHWAYS AGENCY,47393,3021.5
DCLG,The Planning Inspectorate,02/02/2011,Hotels,Management & Development Training,NOVOTEL BIRMINGHAM CENTRE,2503,2000
DCLG,The Planning Inspectorate,02/02/2011,Systems Delivery,Information Services,SWITCH COMMUNICATIONS LIMITED,72683,7546.68
DCLG,The Planning Inspectorate,02/02/2011,Staff Health & Safety,Human Resources,FITNESS2LIVE,F00033,8400
DCLG,The Planning Inspectorate,03/02/2011,Specialist Contractors,NSI Fees,MANSELL JAGGER,36,840
DCLG,The Planning Inspectorate,03/02/2011,Electricity,Estates,EDF ENERGY,11962247,882.39
DCLG,The Planning Inspectorate,03/02/2011,Specialist Contractors,NSI Fees,JOHN L B GREENWOOD,PINS 11-1,1120
DCLG,The Planning Inspectorate,03/02/2011,Specialist Contractors,NSI Fees,CARBROOK ASSOCIATES,2/11/PINS,1624
DCLG,The Planning Inspectorate,03/02/2011,Specialist Contractors,Tree Preservation Orders,ALAN J ENGLEY & ASSOCIATES,494,1626.24
DCLG,The Planning Inspectorate,03/02/2011,Specialist Contractors,Tree Preservation Orders,SYMBIOSIS,4035,1774.08
DCLG,The Planning Inspectorate,03/02/2011,Specialist Contractors,NSI Fees,GARY DEANE ASSOCIATES,20211,1948.8
DCLG,The Planning Inspectorate,03/02/2011,Systems Delivery,Human Resources,LOGICA IT SERVICES UK LTD,HRS117979,4908.89
DCLG,The Planning Inspectorate,03/02/2011,Electricity,Estates,EDF ENERGY,11962247,8411.64
DCLG,The Planning Inspectorate,04/02/2011,Advertising,Rights Of Way,PENNA BARKERS,406535,615.47
DCLG,The Planning Inspectorate,04/02/2011,Specialist Contractors,NSI Fees,CHRIS THOMAS PLANNING,43,961.08
DCLG,The Planning Inspectorate,04/02/2011,Specialist Contractors,NSI Fees,RICHARD MOON,201102.Insp,1400
DCLG,The Planning Inspectorate,04/02/2011,Post & Courier,Estates,ROYAL MAIL - Peterborough,9032639487,1483.01
DCLG,The Planning Inspectorate,04/02/2011,Specialist Contractors,NSI Fees,DESIGN 2,PDW/JD/03.100/177,1512
DCLG,The Planning Inspectorate,04/02/2011,Specialist Contractors,NSI Fees,D ROGER DYER,633,2184
DCLG,The Planning Inspectorate,04/02/2011,Specialist Contractors,NSI Fees,MARTIN CHAMPION,242,4300.8
DCLG,The Planning Inspectorate,07/02/2011,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,A-22896781,519.92
DCLG,The Planning Inspectorate,07/02/2011,Office Machines,Information Services,RICOH UK LTD,86208333,581.89
DCLG,The Planning Inspectorate,07/02/2011,Office Machines,Information Services,RICOH UK LTD,86208331,629.46
DCLG,The Planning Inspectorate,07/02/2011,Specialist Contractors,NSI Fees,MIKE CROFT,PINS057,840
DCLG,The Planning Inspectorate,07/02/2011,Specialist Contractors,NSI Fees,CAMBRIDGE HOUSING & ENVIRONMENTAL CONSULTANTS,11-Mar,1008
DCLG,The Planning Inspectorate,07/02/2011,Specialist Contractors,NSI Fees,JULIE GERMAN,201166,1120
DCLG,The Planning Inspectorate,07/02/2011,Office Machines,Information Services,RICOH UK LTD,86208328,1241.64
DCLG,The Planning Inspectorate,07/02/2011,Specialist Contractors,NSI Fees,JOHN G MILLARD,PINS/1102,1260
DCLG,The Planning Inspectorate,07/02/2011,Office Machines,Information Services,RICOH UK LTD,86208329,1464.62
DCLG,The Planning Inspectorate,07/02/2011,Specialist Contractors,NSI Fees,CAMBRIDGE HOUSING & ENVIRONMENTAL CONSULTANTS,11-Feb,1512
DCLG,The Planning Inspectorate,07/02/2011,Office Machines,Information Services,RICOH UK LTD,86208334,2043.65
DCLG,The Planning Inspectorate,07/02/2011,Specialist Contractors,NSI Fees,CLARK PLANNING CONSULTANT LTD,11/005,2240
DCLG,The Planning Inspectorate,07/02/2011,Specialist Contractors,NSI Fees,LESLIE G COOP,PINS 29,2464
DCLG,The Planning Inspectorate,07/02/2011,Specialist Contractors,NSI Fees,DAVID HAINSWORTH,45,3057.6
DCLG,The Planning Inspectorate,07/02/2011,Specialist Contractors,NSI Fees,G POWYS JONES,2011(2),3124.8
DCLG,The Planning Inspectorate,07/02/2011,Records Storage,Admin Support,IRON MOUNTAIN,X028810-X028818,5372.65
DCLG,The Planning Inspectorate,08/02/2011,Managed / Outsourced Services,Information Services,SYNETRIX LTD,INV22200,1290.97
DCLG,The Planning Inspectorate,08/02/2011,Specialist Contractors,Tree Preservation Orders,A C S CONSULTING,1637,1995.84
DCLG,The Planning Inspectorate,08/02/2011,Specialist Contractors,NSI Fees,PETER HORRIDGE,10401,3192
DCLG,The Planning Inspectorate,08/02/2011,Vehicle Hire,Admin Support,Arval UK Ltd,1015648534,12950.48
DCLG,The Planning Inspectorate,08/02/2011,Building Management,Estates,TAYLOR WOODROW CONSTRUCTION,11011257,53516.44
DCLG,The Planning Inspectorate,09/02/2011,Specialist Contractors,NSI Fees,JULIE GERMAN,201167,560
DCLG,The Planning Inspectorate,09/02/2011,Systems Delivery,Information Services,FABASOFT LTD,4103000138,677.78
DCLG,The Planning Inspectorate,09/02/2011,Staff Medical Care,Human Resources,HEALTH MANAGEMENT LTD,69814,861.69
DCLG,The Planning Inspectorate,09/02/2011,Specialist Contractors,NSI Fees,GRESTY LAND AGENCY LTD,156,980
DCLG,The Planning Inspectorate,09/02/2011,Staff Medical Care,Human Resources,HEALTH MANAGEMENT LTD,69812,1250
