Site,TotalCostsGBP,OccupiedArea(m2),OfficeFTEStaff,Workstations,CostPerFTEGBP,m2PerFTE,CostPerm2GBP,SqMPerWorkstation
Aviation House,6015081,5818,401,428,15000,14.5,1034,13.6
St Magnus House,207185,1041,72,83,2878,14.5,199,12.5
Southgate House,204624,762,28,44,7308,27.2,269,17.3
Clarendon Quay,219113,553,38,42,5766,14.6,396,13.2
Foss House,518415,1273,178,210,2912,7.2,407,6.1
