Pre Charge Decisions,2010 - 11 Volume,2010 - 11 Percentage,2011 - 12 Volume,2011 - 12 Percentage,2012 - 13 Volume,2012 - 13 Percentage,2013 - 14 Volume,2013 - 14 Percentage
Charged,125,76.69%,90,79.65%,102,77.86%,103,60.23%
No Prosecution,31,19.02%,11,9.73%,23,17.56%,56,32.75%
Out of Court Disposal,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Administratively Finalised,2,1.23%,5,4.42%,2,1.53%,8,4.68%
Other,5,3.07%,7,6.19%,4,3.05%,4,2.34%
Total,163,100.00%,113,100.00%,131,100.00%,171,100.00%
