Primary Liable party name,Full Property Address,Outstanding Debt,Billing Period
838383 Barrow Ltd (In Dissolution),"177,, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",-144.38,2012
Abbots Vale Users Association,"Abbots Vale Community Ctr, Abbots Vale, Barrow In Furness, Cumbria, LA13 9PA",-51.63,2010
Agilisys Ltd,"3rd Flr West Craven House,, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",-1770.84,2017
"Agrilek Ltd,","Agrilek Ltd,, Duke Street, Barrow In Furness, Cumbria, LA14 5UL",-1112.89,2017
Allied Carpets Props Ltd (In Liquidation),"Poundstretcher, Walney Road, Barrow In Furness, Cumbria, LA14  5UG",-800.84,2013
Avis Rent A Car Ltd,"Avis Budget Group, Ashburner Way, Barrow-In-Furness, Cumbria, LA14 5UG",-3565.48,2016
Bae Systems Marine Ltd,"3rd Flr East Craven House., Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",-2073.45,2017
Bamburgh Homes Llp,"161, Flass Lane, Barrow In Furness, Cumbria, LA13 0GW",-1826.45,2017
Barrhead Travel Services Limited,"Emlyn Hughes House, Office Gnd Flr, Abbey Road, Barrow In Furness, Cumbria, LA14 5QY",-418,2017
Barrow 6th Form Coll,"Barrow 6th Form College, Rating Lane, Barrow In Furness, Cumbria, LA13 9LE",-928.84,2017
Barrow Borough Council,"1-2 & Pt 3, Lawson Street, Barrow In Furness, Cumbria, LA14 2LP",-379.56,2017
Barrow Borough Council,"13/15/17 The Mall., Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",-584.69,2017
Barrow Borough Council,"20,, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",-333.78,2017
Barrow Borough Council,"56, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",-446.03,2017
Barrow Borough Council,"Bbc Land Frm Weatherguard & Fbm, Salthouse Road, Barrow In Furness, Cumbria, LA14 2AL",-6.5,2017
Barrow Borough Council,"Car Park, Emlyn Street, Barrow In Furness, Cumbria, LA14 1QS",-21.55,2017
Barrow Borough Council,"Compound 2, Mark Firmin, Salthouse Road, Barrow In Furness, Cumbria, LA14 2UP",-264.57,2017
Barrow Borough Council,"Market Street And Courtyard Car Park, Market Street, Barrow In Furness, Cumbria, LA14 2LR",-309.78,2017
Barrow Borough Council,"Stall 28, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",-706.82,2017
Barrow Borough Council,"Stall 74, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",-915.03,2017
Barrow Borough Council,"Stall 92, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",-733.95,2017
Barrow Borough Council,"Stall 98, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",-761.57,2017
Barrow Borough Council,"Stalls 106 & 108, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",-2232.53,2017
Barrow Borough Council,"Stalls 115 & 116, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",-2053.7,2017
Barrow Borough Council,"Stalls 49 & 50, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",-573.62,2016
