Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",13-15  November 2010,"Venice, Italy",OECD Public Governance Committee,,,£174
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",30 November - 1 December 2010,"Brussels, Belgium",To hold discussions with senior EU officials on EU Transparency,Eurostar,,£264
"Minister without Portfolio, The Rt Hon Baroness Warsi ",15 - 17 December 2010,Kuwait City,To improve relations,Scheduled,,"£3,704"
