DfENumber,SchoolName,Year,Places,PlaceAllocated,PlaceRefused,PlaceWithdrawn,WithdrawnFromProcess,1stPref,2ndPref,3rdPref,4thPref,5thPref,Unplaced,SLE,Catchment Sibling,Sibling,Distance,OutsideSpecifiedArea,InsideSpecifiedArea,Religion,Feeder,Other,Total
8163229,Archbishop Of Yorks CE Junior,2018,60,61,0,2,0,61,2,0,0,0,0,3,42,4,1,0,0,0,13,0,63
8162002,Carr Junior School,2018,90,81,0,0,1,82,0,0,0,0,0,2,56,5,0,0,0,0,19,0,82
