Grade,Men Headcount,Men Percentage,Women Headcount,Women Percentage,Not known Headcount,Not known Percentage,Grand Total
A1/A2,7,29.2%,17,70.8%,0,0.0%,24
B1/B2/B3,8,32.0%,17,68.0%,0,0.0%,25
SCP/CA/D/E,9,39.1%,13,56.5%,1,4.3%,23
ALL CPS,24,33.3%,47,65.3%,1,1.4%,72
