"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD24","AA (L)","18787","19785","Administrative Assistant","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD24","AA (N)","15529","16368","Administrative Assistant","0.86","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD24","AO (L)","21235","23045","Administrative Officer","2.08","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD24","AO (N)","18398","19907","Administrative Officer","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD24","EO (N)","22698","25903","Executive Officer","2.68","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD24","G6 (N)","53236","63802","Grade 6","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD24","G7 (L)","48326","58007","Grade 7","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD24","G7 (N)","43654","52333","Grade 7","5.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD24","HEO (L)","30147","34930","Higher Executive Officer","3.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD24","HEO (N)","27013","31233","Higher Executive Officer","4.81","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD24","HEO (N)","27013","31233","Not in Post","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD24","SEO (L)","35946","42968","Senior Executive Officer","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD24","SEO (N)","33321","39799","Senior Executive Officer","2.49","Policy"
