Organisation Name,Organisation Code,Organisational Unit,Service Category Label,Procurement category,Supplier Name,Supplier Other ID,Payment Date,Transaction Number,Amount (£),Purpose
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Parks and Open Spaces,GM External Contractors,EDEN TREESCAPES,EDE080,06/10/2017,160132,720,TREE SERVICES
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Parks and Open Spaces,Ground Maintenance SOR & Dayworks,QUATTRO PRODUCTS LTD,QUA002,06/10/2017,160586,500,REPAIRS TO PLAY AREAS
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Cemetries,Grants and contributions,COUNTRYSIDE CONSULTANTS,COU025,06/10/2017,160030,847.5,RESTORATION OF RAILINGS APPLEBY CHURCHYARD
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Financial Services,Equipment – maintenance,TWOFOLD LIMITED,TWO002,06/10/2017,160274,989.7,CONTRACT RENEWAL 17/18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Housing Delivery,Professional fees,WSP UK LTD,WSP001,06/10/2017,160297,1695,EDEN HEAT MAPPING SCHEME
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Register of Electors,Postages,ROYAL MAIL NW,ROY001,06/10/2017,160305,1009.53,RESPONSE PLUS SERVICE
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Economic Development and Promotion,Professional fees,SPATIAL DATA LIMITED,SPA003,06/10/2017,160306,590,SURVEY/DRAWING OLD LONDON ROAD
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Economic Development and Promotion,Professional fees,WALTON GOODLAND LTD,WAL008,06/10/2017,160321,1255.9,RATE FOR SURVEYOR
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Revenue/Benefits Manager,Revenue & Benefits,Software – maintenance,NORTHGATE PUBLIC SERVICES (UK) LTD,NOR042,06/10/2017,160390,1880,PARIS TRANSACTION CHGS/3D SECURE SERVICE
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Revenue/Benefits Manager,Revenue & Benefits,Postages,ROYAL MAIL NW,ROY001,06/10/2017,160395,1319.83,POSTAGE 09/8/17-05/09/17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Revenue/Benefits Manager,Collection of Local Taxation,Software – maintenance,CIVICA UK LTD,CIV002,06/10/2017,160403,6861.05,NDR SPRING UPDATE 2017
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Register of Electors,Printing and stationary,PRINT IMAGE NETWORK LTD,PRI011,06/10/2017,160420,900.89,EDEN CANVASS ITR MAILING 2017
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Register of Electors,Printing and stationary,PRINT IMAGE NETWORK LTD,PRI011,06/10/2017,160421,895.17,EDEN 2017 CANVASS HEFS
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Revenue/Benefits Manager,Benefits,Supplies general,SOUTH LAKELAND DISTRICT COUNCIL,SOU006,06/10/2017,160438,7168.2,SHARED APPEALS OFFICER 1/10/17-31/3/18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Revenue/Benefits Manager,Benefits,Supplies general,SOUTH LAKELAND DISTRICT COUNCIL,SOU006,06/10/2017,160439,999.6,SHARED APPEALS OFFICER RECHARGE AUG 17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Public Conveniences,Window cleaning,AMEY PLC,TFE001,06/10/2017,160545,15160.08,BC_06
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,SHA033,06/10/2017,160567,5000,PLFRG EDC16445
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,WIL082,06/10/2017,160568,10000,PLFRG EDC16297/16298
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,BAT008,06/10/2017,160569,4719.48,PLFRG EDC16455
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Arts and Leisure,Grants and contributions,HUNSONBY SWIMMING POOL,HUN003,06/10/2017,160574,625,RURAL POOL GRANT
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Arts and Leisure,Grants and contributions,GREYSTOKE SWIMMING POOL,GRE020,06/10/2017,160575,1059,RURAL POOL GRANT
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Arts and Leisure,Grants and contributions,LAZONBY SWIMMING POOL ASSOCIATION,LAZ003,06/10/2017,160576,1007,RURAL POOL GRANT
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Arts and Leisure,Grants and contributions,SHAP SWIMMING POOL,SHA011,06/10/2017,160577,1483,RURAL POOL GRANT
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Arts and Leisure,Grants and contributions,ASKHAM SWIMMING POOL,ASK009,06/10/2017,160578,1007,RURAL POOL GRANT
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,GIL013,06/10/2017,160581,2662.1,PLFRGRANT EDC16483
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,HAM009,06/10/2017,160582,5000,PLFRGRANT EDC16366
