Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount 
CLG,Standards Board for England,02/08/2010,IT Software Support,IST,BEARING POINT LTD,56513," 14,476.00 "
CLG,Standards Board for England,02/08/2010,Travel - Train,CEO,LONSDALE TRAVEL LTD/CAPITA BUS,56485, 474.10 
CLG,Standards Board for England,02/08/2010,Accommodation,COM,LONSDALE TRAVEL LTD/CAPITA BUS,56485, 254.01 
CLG,Standards Board for England,02/08/2010,Travel - Train,RSK,LONSDALE TRAVEL LTD/CAPITA BUS,56485, 79.95 
CLG,Standards Board for England,02/08/2010,Travel - Train,KNO,LONSDALE TRAVEL LTD/CAPITA BUS,56485, 56.75 
CLG,Standards Board for England,02/08/2010,Accommodation,PST,LONSDALE TRAVEL LTD/CAPITA BUS,56485, 74.99 
CLG,Standards Board for England,02/08/2010,Travel - Train,REP,LONSDALE TRAVEL LTD/CAPITA BUS,56485, 413.70 
CLG,Standards Board for England,02/08/2010,Travel - Train,REP,LONSDALE TRAVEL LTD/CAPITA BUS,56485, 182.20 
CLG,Standards Board for England,02/08/2010,Travel - Train,GUI,LONSDALE TRAVEL LTD/CAPITA BUS,56485, 41.90 
CLG,Standards Board for England,02/08/2010,Travel - Train,BRD,LONSDALE TRAVEL LTD/CAPITA BUS,56485, 185.40 
CLG,Standards Board for England,02/08/2010,Audit Fees,FIN,NATIONAL AUDIT OFFICE,56560," 35,250.00 "
CLG,Standards Board for England,02/08/2010,Professional Fees,IST,PRO BRAND,56460," 1,175.00 "
CLG,Standards Board for England,03/08/2010,IT Hardware Repairs & Maintenance,IST,NODE 4 LIMITED,56451," 1,629.73 "
CLG,Standards Board for England,03/08/2010,Internet Charges,IST,NODE 4 LIMITED,56452, 816.63 
CLG,Standards Board for England,04/08/2010,Placement Fee,HRC,PENNA BARKER,56461," 2,350.00 "
CLG,Standards Board for England,05/08/2010,IT Hardware Repairs & Maintenance,IST,INSIGHT DIRECT (UK) LTD,56509, 929.41 
CLG,Standards Board for England,06/08/2010,Photocopier,FAC,OCE (UK) LTD,56459, 779.50 
CLG,Standards Board for England,07/08/2010,Rates,FAC,MANCHESTER CITY COUNCIL -RATES,56537," 5,135.00 "
CLG,Standards Board for England,11/08/2010,Press office services,COM,DURRANTS PRESS CUTTINGS LTD,56547," 2,113.80 "
CLG,Standards Board for England,11/08/2010,Press office services,COM,DURRANTS PRESS CUTTINGS LTD,56548," 2,386.42 "
CLG,Standards Board for England,12/08/2010,Legal Fees,REP,ARDEN CHAMBERS,56555," 1,397.82 "
CLG,Standards Board for England,13/08/2010,Professional Fees,HRC,HALLIWELLS,56557," 1,175.00 "
CLG,Standards Board for England,13/08/2010,Electricity,FAC,JD WILLIAMS,56567," 1,886.90 "
CLG,Standards Board for England,16/08/2010,IT Software Support,IST,BEARING POINT LTD,56565," 12,666.50 "
CLG,Standards Board for England,16/08/2010,Annual Assembly,COM,BENEDICT BUSINESS RESOURCES,56638," 2,217.91 "
CLG,Standards Board for England,17/08/2010,Services Charges,FAC,CLEANING NORTHWEST,56576," 1,391.76 "
CLG,Standards Board for England,17/08/2010,Professional Fees,FIN,GREATER MANCHESTER PENSIONFUND,56571, 648.51 
CLG,Standards Board for England,17/08/2010,Annual Review,COM,THE STATIONERY OFFICE LTD,56569," 1,278.78 "
CLG,Standards Board for England,18/08/2010,Repairs & Maintenance,FAC,OASIS INTERIOR LANDSCAPING,56614, 567.92 
CLG,Standards Board for England,18/08/2010,Mobile Telephone,CEO,VODAFONE CORPORATE LTD,56611, 23.29 
CLG,Standards Board for England,18/08/2010,Mobile Telephone,COM,VODAFONE CORPORATE LTD,56611, 2.14 
CLG,Standards Board for England,18/08/2010,Mobile Telephone,FIN,VODAFONE CORPORATE LTD,56611, 49.85 
CLG,Standards Board for England,18/08/2010,Mobile Telephone,GUI,VODAFONE CORPORATE LTD,56611, 23.29 
CLG,Standards Board for England,18/08/2010,Mobile Telephone,HRC,VODAFONE CORPORATE LTD,56611, 23.29 
CLG,Standards Board for England,18/08/2010,Mobile Telephone,IST,VODAFONE CORPORATE LTD,56611, 241.84 
CLG,Standards Board for England,18/08/2010,Mobile Telephone,KNO,VODAFONE CORPORATE LTD,56611, 69.84 
CLG,Standards Board for England,18/08/2010,Mobile Telephone,PER,VODAFONE CORPORATE LTD,56611, 48.07 
CLG,Standards Board for England,18/08/2010,Mobile Telephone,PST,VODAFONE CORPORATE LTD,56611, 23.39 
CLG,Standards Board for England,18/08/2010,Mobile Telephone,REG,VODAFONE CORPORATE LTD,56611, 48.07 
CLG,Standards Board for England,18/08/2010,Mobile Telephone,REP,VODAFONE CORPORATE LTD,56611, 213.74 
CLG,Standards Board for England,18/08/2010,Mobile Telephone,RSK,VODAFONE CORPORATE LTD,56611, 48.07 
CLG,Standards Board for England,18/08/2010,Mobile Telephone,FAC,VODAFONE CORPORATE LTD,56611, 2.24 
CLG,Standards Board for England,18/08/2010,Mobile Telephone,STR,VODAFONE CORPORATE LTD,56611, 23.39 
CLG,Standards Board for England,25/08/2010,Annual Assembly,COM,THE NEC GROUP,56689," 76,612.04 "
CLG,Standards Board for England,26/08/2010,Postage - Franking machine top up,FAC,PITNEY BOWES FINANCE PLC,56713, 513.00 
CLG,Standards Board for England,28/08/2010,Postage,FAC,PITNEY BOWES LTD,56660," 1,222.01 "
