AssetNumber,Company,CostCentre,MajorCategory,MinorCategory,LifeInMonths,Cost,ACCDEPN,NBV,YTDDEPN,DateInService,MonthAdded,AssetCCC,BU,AssetKey,Flag1,Flag2,Flag3,AssetTag,SerialNumber,ContactTel,RefC,CheckedBy,CheckedDate,NBVCostCentre,AdditionalInformation
3170,1,10085950,IT INTANGIBLE,SOFTWAREINHOUSE,48,14748.75,14748.75,0.00,0.00,2009-10-26,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
23411,1,10085820,P&M OWNED,MACHINERY,84,5889.60,4907.99,981.61,701.19,2011-03-31,2016-05,10085820,FSA NI,MIGRATED,,,,,,,,,,,
23975,1,10085950,SOFTWARE LICENCES,INTANGIBLES,84,17280.00,12754.23,4525.77,2057.10,2011-11-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
25259,1,10085951,IT INTANGIBLE,OTHER,84,97105.50,54332.88,42772.62,10404.18,2013-02-01,2016-05,10085350,FSA WEST PROG,MIGRATED,,,,,,,,,,,
25399,1,10085721,IT OWNED,HARDWARE LONG,60,37513.18,26259.21,11253.97,6252.20,2013-07-01,2016-05,10085721,FSA WALES,MIGRATED,,,,,,,,,,,
25500,1,10085950,SOFTWARE LICENCES,INTANGIBLES,24,14000.00,14000.00,0.00,0.00,2013-10-31,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
25741,1,10085950,P&M OWNED,MACHINERY,49,69971.00,51376.22,18594.78,14303.60,2014-01-31,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
27953,1,10085950,IT OWNED,HARDWARE LONG,24,44982.94,37485.79,7497.15,18742.90,2015-05-31,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
27994,1,10085951,IT OWNED,HARDWARE LONG,33,17386.56,10537.31,6849.25,4741.74,2015-05-31,2016-05,10085350,FSA WEST PROG,MIGRATED,,,,,,,,,,,
28093,1,10085950,IT INTANGIBLE,OTHER,60,51540.00,13744.00,37796.00,8590.00,2015-09-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
28173,1,10085950,IT OWNED,HARDWARE LONG,40,54630.36,32095.28,22535.08,15023.30,2014-12-31,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
FA000584,1,10085820,FURN & FITTS OWNED,SPECIALISED,84,23805.00,23805.00,0.00,0.00,2009-03-30,2016-05,10085820,FSA NI,MIGRATED,,,,,,,,,,,
3118,1,10085950,SOFTWARE LICENCES,INTANGIBLES,60,91520.75,91520.75,0.00,0.00,2008-03-10,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
3124,1,10085950,SOFTWARE LICENCES,INTANGIBLES,88,41488.08,41488.08,0.00,0.00,2008-03-31,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
23554,1,10085950,IT OWNED,HARDWARE LONG,60,23292.52,23292.52,0.00,0.00,2011-03-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
23594,1,10085951,IT INTANGIBLE,OTHER,30,41750.00,41750.00,0.00,0.00,2011-09-01,2016-05,10085350,FSA WEST PROG,MIGRATED,,,,,,,,,,,
23714,1,10085950,FURN & FITTS OWNED,SPECIALISED,78,108187.58,89306.79,18880.79,14523.61,2011-08-16,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
24795,1,10085950,SOFTWARE LICENCES,INTANGIBLES,60,60213.60,58206.48,2007.12,10035.60,2012-03-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
24935,1,10085950,SOFTWARE LICENCES,INTANGIBLES,84,35640.00,22911.44,12728.56,4242.90,2012-07-15,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
25419,1,10085721,IT OWNED,HARDWARE LONG,60,15205.57,10390.50,4815.07,2534.30,2013-08-01,2016-05,10085721,FSA WALES,MIGRATED,,,,,,,,,,,
25762,1,10085950,IT OWNED,HARDWARE LONG,57,824954.69,593967.34,230987.35,153991.50,2013-07-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
26187,1,10085950,IT INTANGIBLE,OTHER,88,204722.90,79097.55,125625.35,23264.00,2014-03-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
26191,1,10085950,IT OWNED,HARDWARE LONG,48,404538.23,387682.47,16855.76,84278.80,2013-03-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
26415,1,10085721,IT OWNED,HARDWARE LONG,60,43060.01,21530.03,21529.98,7176.70,2014-07-01,2016-05,10085721,FSA WALES,MIGRATED,,,,,,,,,,,
26456,1,10085721,FURN & FITTS OWNED,SPECIALISED,100,39996.00,13598.64,26397.36,3999.60,2014-03-01,2016-05,10085721,FSA WALES,MIGRATED,,,,,,,,,,,
26733,1,10085950,FURN & FITTS OWNED,SPECIALISED,40,908584.58,590579.95,318004.63,227146.19,2014-11-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
27894,1,10085951,IT OWNED,HARDWARE LONG,24,5526.60,3914.72,1611.88,2072.52,2015-08-31,2016-05,10085350,FSA WEST PROG,MIGRATED,,,,,,,,,,,
28113,1,10085950,IT INTANGIBLE,OTHER,27,11987.89,5993.89,5994.00,4994.90,2015-10-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
28193,1,10085721,IT INTANGIBLE,OTHER,120,22800.00,1900.00,20900.00,1900.00,2016-03-01,2016-05,10085721,FSA WALES,MIGRATED,,,,,,,,,,,
28213,1,10085721,IT OWNED,HARDWARE LONG,48,27375.22,5703.20,21672.02,5703.20,2016-03-01,2016-05,10085721,FSA WALES,MIGRATED,,,,,,,,,,,
28513,1,10085950,FURN & FITTS OWNED,SPECIALISED,23,8250.00,3587.00,4663.00,3587.00,2016-03-30,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
FA000418,1,10085950,SOFTWARE LICENCES,INTANGIBLES,96,23904.20,23904.20,0.00,0.00,2007-03-19,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
FA000448,1,10085950,SOFTWARE LICENCES,INTANGIBLES,96,5869.13,5869.13,0.00,0.00,2007-09-18,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
FA000490,1,10085950,SOFTWARE LICENCES,INTANGIBLES,96,15623.13,15623.13,0.00,0.00,2008-02-27,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
3129,1,10085950,SOFTWARE LICENCES,INTANGIBLES,88,32951.70,32951.70,0.00,0.00,2008-04-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
3182,1,10085951,IT INTANGIBLE,SOFTWAREINHOUSE,48,14100.00,14100.00,0.00,0.00,2010-03-26,2016-05,10085350,FSA WEST PROG,MIGRATED,,,,,,,,,,,
22991,1,10085820,P&M OWNED,MACHINERY,84,10072.10,9592.46,479.64,1199.01,2010-05-01,2016-05,10085820,FSA NI,MIGRATED,,,,,,,,,,,
22992,1,10085820,FURN & FITTS OWNED,SPECIALISED,84,11646.60,10953.35,693.25,1386.50,2010-06-01,2016-05,10085820,FSA NI,MIGRATED,,,,,,,,,,,
23555,1,10085950,IT OWNED,HARDWARE LONG,60,9021.60,9021.60,0.00,0.00,2011-03-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
25260,1,10085951,SOFTWARE LICENCES,INTANGIBLES,84,67274.40,44875.87,22398.53,5448.33,2013-02-01,2016-05,10085350,FSA WEST PROG,MIGRATED,,,,,,,,,,,
25261,1,10085950,SOFTWARE LICENCES,INTANGIBLES,84,30000.00,16428.53,13571.47,3571.40,2013-03-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
25721,1,10085950,IT INTANGIBLE,OTHER,60,10800.00,6660.00,4140.00,1800.00,2013-12-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
25761,1,10085951,IT OWNED,HARDWARE LONG,56,13978.01,11439.86,2538.15,2587.13,2013-02-01,2016-05,10085350,FSA WEST PROG,MIGRATED,,,,,,,,,,,
26414,1,10085721,FURN & FITTS OWNED,SPECIALISED,84,22282.75,8488.65,13794.10,2652.70,2014-05-01,2016-05,10085721,FSA WALES,MIGRATED,,,,,,,,,,,
27733,1,10085951,IT OWNED,HARDWARE LONG,27,7669.20,4899.77,2769.43,3302.02,2015-06-01,2016-05,10085350,FSA WEST PROG,MIGRATED,,,,,,,,,,,
27734,1,10085950,IT OWNED,HARDWARE LONG,60,8733.48,2765.62,5967.86,1455.60,2015-06-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
27736,1,10085950,IT OWNED,HARDWARE LONG,60,17152.38,6289.17,10863.21,2858.70,2015-03-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
27754,1,10085950,IT OWNED,HARDWARE LONG,60,20102.20,6365.76,13736.44,3350.40,2015-06-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
27995,1,10085951,IT OWNED,HARDWARE LONG,41,51320.16,33796.18,17523.98,11265.39,2014-10-31,2016-05,10085350,FSA WEST PROG,MIGRATED,,,,,,,,,,,
28013,1,10085951,IT OWNED,HARDWARE LONG,24,38079.62,31733.00,6346.62,14279.85,2015-05-31,2016-05,10085350,FSA WEST PROG,MIGRATED,,,,,,,,,,,
28153,1,10085721,FURN & FITTS OWNED,SPECIALISED,94,6765.60,1079.57,5686.03,719.70,2015-10-01,2016-05,10085721,FSA WALES,MIGRATED,,,,,,,,,,,
28533,1,10085950,SOFTWARE LICENCES,INTANGIBLES,27,15000.00,7222.26,7777.74,5555.60,2015-12-31,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
28534,1,10085950,IT OWNED,HARDWARE LONG,25,7762.92,3105.20,4657.72,3105.20,2016-03-31,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
3283803,1,10085820,FURN & FITTS OWNED,SPECIALISED,84,6759.35,563.29,6196.06,563.29,2016-07-31,2016-09,10085820,0,MAN ADDS,,,,,,,,,,,
3165,1,10085950,SOFTWARE LICENCES,INTANGIBLES,72,32213.22,32213.22,0.00,0.00,2009-04-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
23558,1,10085950,IT INTANGIBLE,SOFTWAREINHOUSE,75,10560.00,8892.59,1667.41,1852.60,2011-07-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
23875,1,10085950,IT INTANGIBLE,OTHER,27,36000.00,36000.00,0.00,0.00,2011-12-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
24455,1,10085950,SOFTWARE LICENCES,INTANGIBLES,84,18374.40,12687.04,5687.36,2187.40,2012-03-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
25258,1,10085950,P&M OWNED,MACHINERY,84,6169.20,3378.33,2790.87,734.40,2013-03-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
25279,1,10085950,P&M OWNED,MACHINERY,60,19354.50,14838.50,4516.00,3225.80,2013-03-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
25339,1,10085820,IT OWNED,HARDWARE LONG,60,31655.61,21103.66,10551.95,5275.90,2013-09-01,2016-05,10085820,FSA NI,MIGRATED,,,,,,,,,,,
25499,1,10085950,SOFTWARE LICENCES,INTANGIBLES,53,8887.14,6539.56,2347.58,1676.80,2013-10-31,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
25763,1,10085951,IT OWNED,HARDWARE LONG,57,113676.30,81846.96,31829.34,19324.99,2013-07-01,2016-05,10085350,FSA WEST PROG,MIGRATED,,,,,,,,,,,
26184,1,10085950,IT OWNED,HARDWARE SHORT,48,104174.33,99833.74,4340.59,21703.00,2013-03-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
27753,1,10085951,IT OWNED,HARDWARE LONG,24,13381.68,13381.68,0.00,0.00,2014-09-01,2016-05,10085350,FSA WEST PROG,MIGRATED,,,,,,,,,,,
27993,1,10085951,IT OWNED,HARDWARE LONG,39,4070.72,2609.45,1461.27,939.42,2014-12-31,2016-05,10085350,FSA WEST PROG,MIGRATED,,,,,,,,,,,
28073,1,10085951,IT INTANGIBLE,OTHER,54,211984.24,66735.73,145248.51,35330.67,2015-08-01,2016-05,10085350,FSA WEST PROG,MIGRATED,,,,,,,,,,,
28133,1,10085721,IT OWNED,HARDWARE LONG,60,11465.31,3057.43,8407.88,1910.90,2015-09-01,2016-05,10085721,FSA WALES,MIGRATED,,,,,,,,,,,
FA000440,1,10085950,SOFTWARE LICENCES,INTANGIBLES,96,5887.25,5887.25,0.00,0.00,2007-07-13,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
FA000587,1,10085950,SOFTWARE LICENCES,INTANGIBLES,84,28690.20,28690.20,0.00,0.00,2009-03-30,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
FA000608,1,10085820,FURN & FITTS OWNED,SPECIALISED,84,6816.61,6816.61,0.00,0.00,2009-09-25,2016-05,10085820,FSA NI,MIGRATED,,,,,,,,,,,
24435,1,10085950,SOFTWARE LICENCES,INTANGIBLES,84,22107.60,15264.78,6842.82,2631.90,2012-03-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
24975,1,10085820,FURN & FITTS OWNED,SPECIALISED,84,7778.88,5371.11,2407.77,926.01,2012-03-01,2016-05,10085820,FSA NI,MIGRATED,,,,,,,,,,,
25701,1,10085950,IT INTANGIBLE,OTHER,36,7607.52,7607.52,0.00,0.00,2013-12-31,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
26185,1,10085950,IT INTANGIBLE,OTHER,37,37560.00,30048.10,7511.90,11268.10,2014-03-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
26188,1,10085950,FURN & FITTS OWNED,SPECIALISED,54,889756.81,663474.02,226282.79,161630.50,2013-09-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
26192,1,10085951,IT OWNED,HARDWARE LONG,48,202356.33,193924.84,8431.49,37941.84,2013-03-01,2016-05,10085350,FSA WEST PROG,MIGRATED,,,,,,,,,,,
26413,1,10085721,FURN & FITTS OWNED,SPECIALISED,99,18375.00,5939.43,12435.57,1856.10,2014-05-01,2016-05,10085721,FSA WALES,MIGRATED,,,,,,,,,,,
26453,1,10085950,IT OWNED,HARDWARE LONG,39,165052.08,119445.59,45606.49,50673.90,2014-07-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
26454,1,10085950,IT OWNED,HARDWARE LONG,42,274867.85,174655.64,100212.21,71580.20,2014-09-30,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
27895,1,10085950,IT OWNED,HARDWARE LONG,30,6000.00,4133.30,1866.70,2333.30,2015-03-31,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
27934,1,10085950,IT OWNED,HARDWARE LONG,44,66025.29,45017.18,21008.11,15005.70,2014-07-31,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
27935,1,10085950,IT OWNED,HARDWARE LONG,35,15000.00,9428.55,5571.45,4285.70,2015-03-31,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
27936,1,10085950,IT OWNED,HARDWARE LONG,33,3248.76,1968.97,1279.79,984.50,2015-05-31,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
FA000446,1,10085820,P&M OWNED,MACHINERY,84,7520.00,7520.00,0.00,0.00,2007-08-21,2016-05,10085820,FSA NI,MIGRATED,,,,,,,,,,,
FA000503,1,10085950,P&M OWNED,MACHINERY,118,12901.50,12628.67,272.83,209.80,2008-04-30,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
3316527,1,10085950,IT INTANGIBLE,OTHER,29,61605.56,21243.30,40362.26,21243.30,2016-04-01,2016-12,10085950,0,MAN ADDS,,,,,,,,,,,
3113,1,10085950,SOFTWARE LICENCES,INTANGIBLES,87,30873.13,30873.13,0.00,0.00,2008-02-06,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
