De ref,school name,address 1,town,postcode,school type,management type,constituency,council,rural     
3032273,"St Mary's Primary School, Draperstown",24 MAGHERAFELT ROAD,MAGHERAFELT,BT457AF,Primary,Catholic Maintained,MID ULSTER,MID ULSTER,Rural
3032274,"St John's Primary School, Swatragh",30 MONEYSHARVIN ROAD,MAGHERA,BT465PY,Primary,Catholic Maintained,MID ULSTER,MID ULSTER,Rural
3032275,Greenlough Primary School (St Mary's),220 MAYOGALL ROAD,BALLYMENA,BT448NN,Primary,Catholic Maintained,MID ULSTER,MID ULSTER,Rural
3032281,"St Mary's Primary School, Bellaghy",25 MULLAGHBOY ROAD,MAGHERAFELT,BT458HX,Primary,Catholic Maintained,MID ULSTER,MID ULSTER,Rural
3032285,St Patrick's & St Joseph's Primary School,5 CHURCHTOWN ROAD,COLERAINE,BT515BA,Primary,Catholic Maintained,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Rural
3032297,"St Malachy's Primary School, Coleraine",BERESFORD AVENUE,COLERAINE,BT521HJ,Primary,Catholic Maintained,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Urban
3033303,"St Oliver Plunkett Primary School, Antrim",MAIN STREET,ANTRIM,BT413NJ,Primary,Catholic Maintained,SOUTH ANTRIM,ANTRIM AND NEWTOWNABBEY,Rural
3033304,Tir-na-Nog Primary School,64-66 DOAGH ROAD,BALLYCLARE,BT399BG,Primary,Catholic Maintained,SOUTH ANTRIM,ANTRIM AND NEWTOWNABBEY,Urban
3033313,"St Bernard's Primary School, Newtownabbey",112A ELMFIELD ROAD,NEWTOWNABBEY,BT366DW,Primary,Catholic Maintained,BELFAST NORTH,ANTRIM AND NEWTOWNABBEY,Urban
3033317,"St John's Primary School, Carnlough",49 BAY ROAD,BALLYMENA,BT440HJ,Primary,Catholic Maintained,EAST ANTRIM,MID AND EAST ANTRIM,Rural
3033320,"St Patrick's Primary School, Rasharkin",8 GORTAHAR ROAD,BALLYMENA,BT448SB,Primary,Catholic Maintained,NORTH ANTRIM,CAUSEWAY COAST AND GLENS,Rural
3033326,"St Brigid's Primary School, Ballymoney",CASTLE STREET,BALLYMONEY,BT536JX,Primary,Catholic Maintained,NORTH ANTRIM,CAUSEWAY COAST AND GLENS,Urban
3033709,"St John's Primary School, Coleraine",HAZELBANK ROAD,COLERAINE,BT513DX,Primary,Catholic Maintained,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Urban
3036026,"St Joseph's Primary School, Crumlin",15 GLENAVY ROAD,CRUMLIN,BT294LA,Primary,Catholic Maintained,SOUTH ANTRIM,ANTRIM AND NEWTOWNABBEY,Urban
3036039,"St Mary's Primary School, Glenview",47 GLEN ROAD,MAGHERA,BT465AP,Primary,Catholic Maintained,MID ULSTER,MID ULSTER,Rural
3036046,St Mary's-on-The-Hill Primary School,142 CARNMONEY ROAD,NEWTOWNABBEY,BT366JU,Primary,Catholic Maintained,BELFAST NORTH,ANTRIM AND NEWTOWNABBEY,Urban
3036050,"St Joseph's Primary School, Antrim",54 GREYSTONE ROAD,ANTRIM,BT411JZ,Primary,Catholic Maintained,SOUTH ANTRIM,ANTRIM AND NEWTOWNABBEY,Urban
3036100,"St James' Primary School and Nursery Unit, Newtownabbey",17 KING'S WALK,NEWTOWNABBEY,BT370AS,Primary,Catholic Maintained,EAST ANTRIM,ANTRIM AND NEWTOWNABBEY,Urban
3036103,"St Brigid's Primary School, Knockloughrim",52 MAYOGALL ROAD,MAGHERAFELT,BT458PG,Primary,Catholic Maintained,MID ULSTER,MID ULSTER,Rural
3036131,"St Patrick's Primary School, Glenariffe",244 GARRON ROAD,BALLYMENA,BT440RB,Primary,Catholic Maintained,EAST ANTRIM,CAUSEWAY COAST AND GLENS,Rural
3036139,"St Macnissi's Primary School, Newtownabbey",12A CHRISTINE ROAD,NEWTOWNABBEY,BT366UE,Primary,Catholic Maintained,SOUTH ANTRIM,ANTRIM AND NEWTOWNABBEY,Urban
3036147,"St Columba's Primary School, Kilrea",3 AGIVEY ROAD,COLERAINE,BT515UT,Primary,Catholic Maintained,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Rural
3036154,"St Patrick's Primary School, Loughgiel",73 SHELTON ROAD,BALLYMENA,BT449JR,Primary,Catholic Maintained,NORTH ANTRIM,CAUSEWAY COAST AND GLENS,Rural
3036243,"St Joseph's Primary School, Dunloy",40 BRIDGE ROAD,BALLYMENA,BT449EF,Primary,Catholic Maintained,NORTH ANTRIM,CAUSEWAY COAST AND GLENS,Rural
3036268,St Ciaran's Primary School,132 LAYDE ROAD,BALLYMENA,BT440NJ,Primary,Catholic Maintained,EAST ANTRIM,CAUSEWAY COAST AND GLENS,Rural
3036292,"St Patrick's Primary School, Glen",161 GLEN ROAD,MAGHERA,BT465JN,Primary,Catholic Maintained,MID ULSTER,MID ULSTER,Rural
3036559,St Patrick's & St Brigid's Primary School,19 MOYLE ROAD,BALLYCASTLE,BT546AN,Primary,Catholic Maintained,NORTH ANTRIM,CAUSEWAY COAST AND GLENS,Urban
3036562,"Holy Family Primary School, Magherafelt",1A CASTLEDAWSON ROAD,MAGHERAFELT,BT456AX,Primary,Catholic Maintained,MID ULSTER,MID ULSTER,Urban
3036563,"St Nicholas' Primary School, Carrickfergus",MINORCA PLACE,CARRICKFERGUS,BT388AU,Primary,Catholic Maintained,EAST ANTRIM,MID AND EAST ANTRIM,Urban
3036575,"St Macnissi's Primary School, Larne",23 AGNEW ST,LARNE,BT401RF,Primary,Catholic Maintained,EAST ANTRIM,MID AND EAST ANTRIM,Urban
3036666,"St Colmcille's Primary School, Ballymena",CULLYBACKEY ROAD,BALLYMENA,BT435DG,Primary,Catholic Maintained,NORTH ANTRIM,MID AND EAST ANTRIM,Urban
3036679,"St Brigid's Primary School, Ballymena",BROUGHSHANE ROAD,BALLYMENA,BT437DZ,Primary,Catholic Maintained,NORTH ANTRIM,MID AND EAST ANTRIM,Urban
3036683,"St Paul's Primary School, Ahoghill",32 BALLYNAFIE ROAD,BALLYMENA,BT421LF,Primary,Catholic Maintained,NORTH ANTRIM,MID AND EAST ANTRIM,Rural
3036704,Mary Queen of Peace Primary School,2 LISNAMANNY ROAD,BALLYMENA,BT436QH,Primary,Catholic Maintained,NORTH ANTRIM,MID AND EAST ANTRIM,Rural
3042162,Desertmartin Primary School,20 DROMORE ROAD,MAGHERAFELT,BT455JZ,Primary,Other Maintained,MID ULSTER,MID ULSTER,Rural
3046653,Gaelscoil an Chaistil,5 KILNS ROAD (BOTHAR AN HAITHE),BALLYCASTLE,BT546QQ,Primary,Other Maintained,NORTH ANTRIM,CAUSEWAY COAST AND GLENS,Urban
3046678,Gaelscoil na Sp?ir?n?,82 Sixtowns Road,MAGHERAFELT,BT457BB,Primary,Other Maintained,MID ULSTER,MID ULSTER,Rural
3046684,Gaelscoil Ghleann Darach,15 GLENAVY ROAD,CRUMLIN,BT294LA,Primary,Other Maintained,SOUTH ANTRIM,ANTRIM AND NEWTOWNABBEY,Urban
3046685,Gaelscoil Eanna,C/O ST ENDA'S GAA CLUB,NEWTOWNABBEY,BT367AU,Primary,Other Maintained,BELFAST NORTH,ANTRIM AND NEWTOWNABBEY,Rural
3046691,Gaelscoil an tSeancha?,40 MEETING STREET,MAGHERAFELT,BT456BW,Primary,Other Maintained,MID ULSTER,MID ULSTER,Urban
3050519,Carnlough Controlled Integrated Primary School,9 HARBOUR ROAD,BALLYMENA,BT440EU,Primary,Controlled Integrated,EAST ANTRIM,MID AND EAST ANTRIM,Rural
3050791,Glengormley Integrated Primary School,166 CHURCH ROAD,NEWTOWNABBEY,BT366HJ,Primary,Controlled Integrated,BELFAST NORTH,ANTRIM AND NEWTOWNABBEY,Urban
3050859,Crumlin Controlled Intergrated Primary School,27 MILL ROAD,CRUMLIN,BT294XL,Primary,Controlled Integrated,SOUTH ANTRIM,ANTRIM AND NEWTOWNABBEY,Urban
3050866,Ballymoney Controlled Integrated Primary School,23 NORTH ROAD,BALLYMONEY,BT536BW,Primary,Controlled Integrated,NORTH ANTRIM,CAUSEWAY COAST AND GLENS,Urban
3052071,Carhill Integrated Primary School,78 CARHILL ROAD,COLERAINE,BT515PQ,Primary,Controlled Integrated,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Rural
3053333,Ballycastle Integrated Primary School,43 QUAY ROAD,BALLYCASTLE,BT546BJ,Primary,Controlled Integrated,NORTH ANTRIM,CAUSEWAY COAST AND GLENS,Urban
3056231,Six Mile Integrated Primary School,RATHENRAW ESTATE,ANTRIM,BT412TA,Primary,Controlled Integrated,SOUTH ANTRIM,ANTRIM AND NEWTOWNABBEY,Urban
3056248,Round Tower Integrated Primary School,DURNISH ROAD,ANTRIM,BT412TH,Primary,Controlled Integrated,SOUTH ANTRIM,ANTRIM AND NEWTOWNABBEY,Urban
3056708,Mallusk Controlled Integrated Primary School,84 MALLUSK ROAD,NEWTOWNABBEY,BT364QE,Primary,Controlled Integrated,SOUTH ANTRIM,ANTRIM AND NEWTOWNABBEY,Urban
3066544,Millstrand Integrated Primary School,33 DHU VARREN,PORTRUSH,BT568EW,Primary,GMI,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Urban
3066551,Braidside Integrated Primary School,87 FRYS ROAD,BALLYMENA,BT437EN,Primary,GMI,NORTH ANTRIM,MID AND EAST ANTRIM,Urban
3066561,Corran Integrated Primary School,BLACK CAVE ROAD,LARNE,BT401TP,Primary,GMI,EAST ANTRIM,MID AND EAST ANTRIM,Urban
3066568,Acorn Integrated Primary School,110 VICTORIA ROAD,CARRICKFERGUS,BT387JL,Primary,GMI,EAST ANTRIM,MID AND EAST ANTRIM,Urban
3066613,Spires Integrated Primary School,84 MONEYMORE ROAD,MAGHERAFELT,BT456HH,Primary,GMI,MID ULSTER,MID ULSTER,Urban
3066652,Maine Integrated Primary School,93 PORTGLENONE ROAD,RANDALSTOWN,BT413EH,Primary,GMI,SOUTH ANTRIM,ANTRIM AND NEWTOWNABBEY,Urban
4010512,McKinney Primary School Dundrod,3 LEATHEMSTOWN ROAD,CRUMLIN,BT294HX,Primary,Controlled,SOUTH ANTRIM,LISBURN AND CASTLEREAGH,Rural
4010720,Ballycarrickmaddy Primary School,1A KILLULTAGH ROAD,LISBURN,BT282NX,Primary,Controlled,SOUTH ANTRIM,LISBURN AND CASTLEREAGH,Rural
4010743,Largymore Primary School,HILLHALL ROAD,LISBURN,BT275BT,Primary,Controlled,LAGAN VALLEY,LISBURN AND CASTLEREAGH,Urban
