"Helen Ghosh, Permanent Secretary, Home Office",,
01 July – 30 September 2011,,
Month of Meeting,Name of External Organisation,Purpose of Meeting 
July,ACPO,Regular Bilateral
August,Association of Police Authorities,Regular Bilateral
August,Her Majesty’s Inspectorate of Constabulary,Regular Bilateral
September ,Metropolitan Police Service,Regular Bilateral
September ,Fujitsu,Home Office IT systems
