GIFTS GIVEN,,,

"David Jones MP, PUSS Wales",,October - December 2011,


DATE GIFT RECEIVED,FROM,GIFT,VALUE
Nil Return,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
