Department family,Entity,Date,Supplier,Amount,Expense Description
DEPARTMENT FOR EDUCATION,Department for Education,01/08/2017,WWW.KPMG.CO.UK,727.2,Institute of Occupational Safety and Health (IOSH) -  Managing Safely course - DFE member of staff
DEPARTMENT FOR EDUCATION,Department for Education,01/08/2017,WORLD OF TRAVEL,603.6,Stakeholder Reference Panel Meeting venue hire
DEPARTMENT FOR EDUCATION,Department for Education,01/08/2017,WWWMANGOSOLUTIONSCO,502.5,Attendance at EARL conference 2 day pass 12th - 13th September   for DFE member of staff
DEPARTMENT FOR EDUCATION,Department for Education,02/08/2017,WWW.MICROLINKPC.CO,547.2,coaching/training sessions re Dyslexia for DFE member of staff
DEPARTMENT FOR EDUCATION,Department for Education,04/08/2017,WWW.CLEVERBRIDGE.NET,633.93,Sandboxie (Supplier) - 9 Commercial Use Lifetime Licenses
DEPARTMENT FOR EDUCATION,Department for Education,07/08/2017,BRUNTWOOD MANAGEMENT S,654,To pay supplier for using external venue for NPQ Reform Provider Information Event 
DEPARTMENT FOR EDUCATION,Department for Education,08/08/2017,WWW.POSTURITE.CO.UK,919.14,occupational health recommended a reasonable adjustment for a specialist desk and chair for a member of staff
DEPARTMENT FOR EDUCATION,Department for Education,08/08/2017,SIMPLY ERGONOMIC L,855,occupational health recommended a reasonable adjustment for a specialist desk and chair for a member of staff
DEPARTMENT FOR EDUCATION,Department for Education,11/08/2017,SANS INSTITUTE EUR,586.73,Balance of 625 Euros for the on-demand element of the course - Nov 2017 
DEPARTMENT FOR EDUCATION,Department for Education,15/08/2017,WWW.KPMG.CO.UK,1928.4,Training course (Crossing Thresholds 21/11/2017 onwards) for DFE member of staff
DEPARTMENT FOR EDUCATION,Department for Education,15/08/2017,WORLD OF TRAVEL,984.26,This transaction was to pay for the use of the St Matthew's Church and Conference Centre to host a training day for staff. 
DEPARTMENT FOR EDUCATION,Department for Education,16/08/2017,WWW.THETELECOMSHOP.CO.,871.2,65 phones split over 2 orders to Telecom Shop delivery - Sanctuary Building
DEPARTMENT FOR EDUCATION,Department for Education,16/08/2017,WWW.THETELECOMSHOP.CO.,861.6,65 phones split over 2 orders to Telecom Shop delivery - Sanctuary Building
DEPARTMENT FOR EDUCATION,Department for Education,16/08/2017,PRIVACY LAWS AND B,528,Renewal of Pivacy and Information Rights Society annual subscription to Privacy Laws & Business
DEPARTMENT FOR EDUCATION,Department for Education,17/08/2017,HUNTS OFFICE FURNITURE,1597.33,Deposit for a Board Room Table
DEPARTMENT FOR EDUCATION,Department for Education,17/08/2017,HUNTS OFFICE FURNITURE,1597.33,Deposit for a Board Room Table
DEPARTMENT FOR EDUCATION,Department for Education,17/08/2017,HUNTS OFFICE FURNITURE,1597.33,Deposit for a Board Room Table
DEPARTMENT FOR EDUCATION,Department for Education,17/08/2017,WWW.POSTURITE.CO.UK,677.8,This was for a chair and height adjustable desk (reasonable adjustment items that the workplace assessor recommended)
DEPARTMENT FOR EDUCATION,Department for Education,22/08/2017,INCOME OFFICE (2),600,Payment for Masters in Official Statistics at Southampton University for one DfE official. 
DEPARTMENT FOR EDUCATION,Department for Education,22/08/2017,Amazon UK Marketplace,538.05,5 x Jabra Evolve Bluetooth Heahphones for VC equipment  40 AAA batteries for charing stations 
DEPARTMENT FOR EDUCATION,Department for Education,24/08/2017,HEALTH & SAFETY LAB,714,"Pre application advice - Hillside Sports Ground, London Road, Grays, Essex"
DEPARTMENT FOR EDUCATION,Department for Education,25/08/2017,THURROCK COUNCIL,1224,"Pre application submission, South Ockendon site"
DEPARTMENT FOR EDUCATION,Department for Education,25/08/2017,KALL KWIK (FLEET ST),1104,2 x Banners for the Office
DEPARTMENT FOR EDUCATION,Department for Education,29/08/2017,WORLD OF TRAVEL,740.86,Multi Academy Trusts networking events at 3 external venues on different days
DEPARTMENT FOR EDUCATION,Department for Education,30/08/2017,IKEA ONLINE,1088,Meeting Room Chairs
DEPARTMENT FOR EDUCATION,National College for Teaching and Leadership Agency,31/08/2017,None,0,No spend over £500 for the National College for Teaching and Leadership in August 2017.
DEPARTMENT FOR EDUCATION,Standards and Testing Agency,31/08/2017,None,0,No spend over £500 for the Standards and Testing Agency in August 2017.
DEPARTMENT FOR EDUCATION,Education and Skills Funding Agency,31/08/2017,None,0,No spend over £500 for the Education and Skills Funding Agency in August 2017.
