Department,Moratorium,Project Name, Value ,Approval month,Basis for Exception,
DWP Dept.for Work & Pensions,Consultancy, GFD," £1,000,000 ",09/06/11,Prolong contract beyond 9 months,
DWP Dept.for Work & Pensions,Consultancy,CMEC," £4,900,000 ",06/09/11,Prolong contract beyond 9 months,
DWP Dept.for Work & Pensions,Consultancy,EG,"£45,000",,Prolong contract beyond 9 months,
DWP Dept.for Work & Pensions,Consultancy,CIT,"£1,075,000",,Prolong contract beyond 9 months,
