DfE code,School Name,Type,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,I11,I12,I13,I15,I16,I17,I18,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,CI01,CI03, CI04,DeMinimis,CE01,CE02,CE03,CE04,OB01,OB02,OB03,B01,B02,B03,B05,B06
3001,Christ Church Pellon C of E VC Primary School,Primary,928100,0,4070.83,0,129835,171.8,17833.86,15741.68,12250.17,13430.85,73.72,175.47,583,0,0,0,32911.83,438405.3,3692.88,208886.47,29547.19,50660.15,43976.11,17981.93,1423.65,18532.17,8285.09,2265.92,15025.37,1948.05,2805.82,3148.25,15562.95,9983.25,5072.07,41367.53,19180.47,0,4347.11,5660.16,0,22430.13,17769.33,13310,38015.09,560,56187.02,0,0,6126,0,56187.02,1,0,83645.9,0,0,112068.83,0,5332.88,171217.58,0,-16000,0,0
3010,Norland CE J and I school,Primary,409367.11,0,2512.08,0,10744,131.5,3059,530.82,7081.04,11473.13,0,3017,10144.96,0,0,0,26341.85,222961.74,17448.58,47809.07,17279,28370,5870.49,10607.91,48.17,3003.24,4470.39,1691.18,23321.74,660.28,1003.95,1846.21,6666.18,6720,2179.29,33049.98,7974.02,0,4145.77,3518.89,0,20108.57,2085,4762,4965.9,0,0,0,0,4956,0,0,1,0,0,0,0,33707.42,0,-4804.15,35542.36,0,151.85,0,0
3011,St Marys CE (VC) J and I School,Primary,435726.88,0,0,0,6600,0,2044,2451.71,6807.85,0,415.79,0,9634.73,0,0,0,27222.99,234415.64,1028.21,36608.94,2343.69,22900.46,0,14809.1,137.33,1480.67,2811.67,2639.77,31115.15,496.44,12416.67,1442.8,8392.01,6720,885.86,32434.52,7217.38,0,3090.65,3564.58,38924.5,17398.96,8660.93,2389.22,7744.64,0,0,0,0,5013,0,0,1,0,7242.74,0,0,28411.32,0,2230.12,17245.48,0,0.38,0,0
3013,Triangle C of E Primary School,Primary,686347.98,0,2327,0,45590,1178,10310.5,8553.51,16084.55,11166.4,813,8832.51,27347.3,0,0,0,37665.89,382848.57,28867.55,126116.45,18887.6,42130.63,13034.82,3039.04,1590.29,22156.3,9421.63,995.77,7755.36,2069.92,1345.15,2029.71,10294.45,14787.83,9157.3,53668.97,6137.13,0,8410.97,7495.9,0,31886.81,12516,15252.07,8341.54,0,176251.27,0,0,5980,0,176251.27,1,0,180227.8,0,3325.18,194064.34,0,14975.96,33791.94,0,13654.25,0,0
3014,Luddenden CE school,Primary,819931.22,0,17838,0,81340,147,19698.12,20497.45,15772.83,546,5743.99,4000,2597,0,0,0,29080.26,415140.49,56509.32,154121.66,19345.25,47167.31,10196.68,14449.95,556,42094.45,6629.28,3723.78,12756.65,1251.19,23027.06,3145.13,13096.94,21568.75,3795.52,45163.85,40895.53,0,2673.87,5740.74,0,39877.97,341,7378.9,8893.28,0,0,0,0,5952,0,0,1,0,0,0,0,49664.14,0,21382.78,67315.46,0,27334.78,0,0
3303,St Augustines CE (VA) J and I School,Primary,990286.66,0,5103,0,91080,168.7,1721.25,5826.27,9847.7,10897.8,6699.57,3044.4,37.2,0,0,0,36298.26,489291.03,15356.98,221219.87,24901.49,44460.97,13016.05,16324.72,60.26,8238.12,9449.87,6005.31,6438.61,15498.26,3155.55,5851.55,14309.06,1947.35,10579.89,59093.07,30206.79,0,11384.74,8652.73,5750.19,38159.92,21428.8,37310.04,33469.7,0,0,0,0,0,5712,0,1,0,5712,0,0,72919.49,0,8317.97,82369.38,0,8317.97,0,0
3305,"St Josephs Catholic Primary School, Halifax",Primary,726767.22,0,1857.76,0,62340,1118,500,31346.83,11312.07,11017.5,26.01,5015,6247.03,0,0,0,42886.84,366429.63,84.35,147910.56,35424.03,41127.41,36506.47,32343.87,21333.53,6249.02,8884.44,3395.43,4849.09,200.52,660.84,1897.56,14966.18,2070.6,6222.9,33132.16,6047.34,0,8241.49,5756.85,0,20522.34,39337.76,22920.62,16316.02,0,11741.87,0,0,0,0,11741.87,1,0,11741.87,0,0,49563.74,0,10855.79,55425.12,0,10855.79,0,0
3308,St.Marys Catholic Primary School,Primary,1089796.44,0,10207,0,84880,147,12492.69,3938.3,26465.98,7413.17,1330.51,8525.5,3511.9,0,0,0,48068.08,611153.07,10145.34,241626.58,50124.95,39893.05,48470.33,25001.5,7456.05,6721.95,13795.05,4738.83,17321.59,15108.8,2031.37,4619.57,13361.15,2588.25,5549.99,73922.22,26405.96,0,5623.26,8968.24,0,35970.45,9781,3366.83,15044.98,0,1969.13,0,0,0,0,1969.13,1,0,1969.13,0,0,75044.2,0,9682.77,71061.28,0,9682.77,0,0
3314,St Andrews CE (Aided) Junior School,Junior,838324,0,5922.25,0,101199.99,1000,6290,8522.25,42711.25,0,12689.91,496.5,9197.25,0,0,0,9129,410078,2470.87,181779.52,32201.78,57673.72,34183.16,27812.86,2234.54,9017.34,11553.98,3033.01,15413.24,2935.44,2701.02,2525.65,15544.08,2958,9450.3,56751.36,22034.77,0,5117.94,7058.07,0,23990.96,4353.01,11886.4,7435.92,0,0,0,0,7114.5,0,0,1,0,0,0,0,91930.62,0,32463.19,165218.08,0,0,39577.69,0
3315,St Andrews CE Infant School,Infant,736992.68,0,4178,0,61079.99,1264.8,10831.55,33528.65,369.18,9690.71,836.42,0,6000,0,0,0,71644.2,396464.31,2083.98,113570.99,24444.33,40789.88,29966.78,19772.21,1117.34,8083.1,8173.84,1788.86,34461.53,914.72,541.57,3589.1,10746.01,1725.5,4257.94,25802.73,34082.83,0,2811.92,5455.69,68236.79,19887.41,0,5000,10887.98,0,14231.23,0,0,16320.55,0,14231.23,1,0,30523.67,0,0,30875.51,0,0.01,78403.12,0,28.12,0,0
