DfE code,School Name,Type,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,I11,I12,I13,I15,I16,I17,I18,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,CI01,CI03, CI04,DeMinimis,CE01,CE02,CE03,CE04,OB01,OB02,OB03,B01,B02,B03,B05,B06
1101,Calderdale PRU,PRU,733333.33,0,482974.32,0,31460,0,18361.88,174478.73,2896.28,0,249.07,0,0,0,0,0,2708,663767.67,0,381029.81,49512.38,74106.74,0,0,1647.54,4907.3,0,200,13429.65,1020.6,994.47,1438.76,14817.54,12818,20218.83,88109.84,7550.96,4999.27,6306.02,6319.44,800.43,13656.57,110114.9,2300.65,15411.91,0,0,0,0,5553,0,0,1,8050,0,0,0,131091.92,0,5316,82074.25,0,0,2819,0
2001,Rawson Junior and Infant school,Primary,1441820.48,0,25514.88,0,195810,255.5,4561.5,31650.14,21719.2,16763,4000.31,16880.14,0,0,0,0,57807.14,732411.26,13385.96,336780.71,24354.99,84022.32,22060.89,37375.9,8279.5,13481.55,15272.06,5301.56,29517.27,2689.41,29120.11,4423.87,21462.38,19596.75,9147.83,84783.78,31590.92,0,6230.38,10614.92,0,88962.86,96438.98,583.6,19751.96,0,0,0,0,7985,0,0,1,0,0,0,0,29820.16,0,8663.65,98960.73,0,16648.65,0,0
2003,Ferney Lee Primary School,Primary,1015139.74,0,23369.25,0,121340.09,153.2,4175,19807.89,8642.35,6088.08,0,0,430.47,0,0,0,31969.15,510428.98,1355.52,274797.95,54270.93,59147.4,15137.31,18819.27,2440.76,11593.49,6335.52,5086.56,24557.88,4212.47,3665.33,6456.19,23672.4,11757.18,6361.02,44407.26,15786.03,0,7375.76,14208.29,1340.42,42502.19,3473,65431.18,25486.15,0,0,0,430.47,6327,0,0,1,0,0,0,0,117549.28,430.47,12699.69,88558.06,0,19026.69,0,0
2006,Copley primary school,Primary,808386.25,0,17650.25,0,33845,6000,48215.01,891.26,24212.02,33996.13,3044.89,0,15011.22,0,0,0,47682.57,461544.37,14818.66,161244.66,35728.74,53036.87,18721.91,20890.79,1293.73,5762.04,10826.05,3872.43,12741.25,1499.88,2481.76,2361.62,11675,10106.5,1212.74,58377.11,31469.29,0,7211.46,7772.7,0,51179.01,28993.64,5860,9264.59,0,0,0,0,6599,0,0,1,0,0,0,0,133667.43,0,11938.96,142655.23,0,18537.96,0,0
2007,Dean Field Community Primary School,Primary,1055396.14,0,9077.37,0,180267,2755,0,21616.69,63159.79,15466.94,2357.14,0,0,0,0,19989.89,28910.83,445918.12,2506.59,311203.55,53423.16,67238.3,73921.07,24656.99,3149.39,16068.1,10902.37,5328.56,63066.58,5089,2252.42,4194.49,26919.76,21815.25,27021.75,71814.1,23689.5,0,6346.2,10660.91,0,51190.55,49890.97,13741.24,20803.68,0,0,20872.79,0,6390,0,0,1,0,6550,0,0,44268.1,0,1475.39,10462.4,0,1315.39,0,-882.9
2009,Savile Park Primary School,Primary,1537435.81,0,34282.25,0,91480,193.5,2245.51,43856.22,19224.73,693.27,5149.63,3480.6,3975.76,0,0,0,48858.58,534277.04,47493.94,393391.69,0,57093.67,5047.99,27670.88,3305.71,7695.78,10371.8,7223.97,267719.39,4114.57,56095.95,5809.9,33834.17,29610,2409,68565.14,55132.5,0,26973.25,19458.3,0,61699.31,8750,30455.84,11318.46,0,0,0,0,30351,0,0,1,0,0,0,14929,118554.49,0,11559.79,133912.1,0,26981.79,0,0
2010,Lee Mount Primary School,Primary,1576803.51,0,29351.16,0,201360,9080.53,1000,24351.24,17820.92,31702.18,10062.82,7725.5,1394.14,0,50646.11,0,46705.78,864533.89,30900.73,437420.59,21887.41,60389.57,26074.35,42139.49,1663.04,7039,17440.81,4645.51,18324.8,663.84,28486.81,7196.48,24256.44,15406.25,10284.92,81719.65,8844.42,0,18478.56,11330.27,0,79101.66,21147.89,23255.16,8492.93,0,0,55323.19,1492.1,7926,0,0,1,0,5352.89,0,0,70023.9,-13484.26,12023.92,156257.21,0,14597.03,0,-19653.44
2015,Northowram primary school,Primary,1521281.12,0,17573.65,0,57491.98,3490.6,16838.2,10279.66,57572.97,30574.47,-2.41,20503.8,7875.15,0,0,0,78786,790417.07,13316.18,315728.81,50793.02,74215.91,59392.91,58076.91,5409.51,10365.35,19590.73,1461.82,26971.94,17169.22,1998.32,2496.46,19625.71,30319.5,10035.15,78439.01,15074.89,0,16988.52,13649.2,7498.08,59177.3,31585.62,22657.35,25399.11,0,0,0,0,9144,0,0,1,0,0,0,0,65186.53,0,-43711.57,109598.12,0,-34567.57,0,0
2017,Parkinson Lane Community Primary School,Primary,2208877.37,0,17111.69,0,199740,72826.79,11000,59828.83,72931.41,6935.18,27414.31,31188.65,1846.64,0,0,0,74924.63,1143283.08,30137.15,417966.89,111037.6,107464.19,81121.71,37172.24,711.6,31831.61,23158.94,1794.46,81853.14,0,9401.06,8284.83,50503.12,-15929.25,14207.93,163498.28,69758.95,0,28066.01,17327.05,70750.62,67448.71,0,12522,32136.46,0,95135.17,0,0,9605,0,95135.17,1,0,104230.17,510,0,362818.77,0,0,262800,194000.72,0,0,0
2021,Salterhebble Junior and Infant School,Primary,792593.86,0,7319.25,0,59400,1378,2550.05,1090,18724.06,8000,1061.87,310.8,3012.12,0,0,0,41703.02,412148.6,14292.81,127595.84,31114.74,52659.91,14225.54,18020.09,87.38,15643.72,8403.96,3379.72,9513.13,4448.08,1980.6,1411.98,16566.63,20089.75,5780.52,44843.83,14549.8,0,3876.65,7063.85,0,44992,39321.2,16390.09,15677.98,0,0,0,0,6329,0,0,1,0,3050,1224.65,3196,73051.26,0,26478.75,66115.89,0,25337.1,0,0
2028,Warley Road Primary School,Primary,2761443.6,0,27707.08,0,254490,0,10739.1,45392.42,44576.42,24583.29,5821.8,8516.67,85694.33,0,0,0,94321.64,1342335.85,9475.87,478505.25,98315.22,103061.65,69724.27,54284.53,9353.47,18465.66,31978.36,6188.83,170201.34,0,2538.59,4928.38,39158.31,28590.41,9722.95,150636.83,27176.52,0,7942.21,17582.74,8186.84,100607.69,24077.99,42928.6,34552.86,0,667634.32,0,78412.66,10278,0,667634.32,1,114435.53,553198.79,0,0,547552.75,78412.66,52273.09,352683.56,0,62551.09,0,0
2030,Warley Town School,Primary,494537.6,0,1402,0,23500,140.8,2802.5,18965.68,10844.3,0,870.48,579,242,0,0,0,31603.13,270659.79,4808.48,86501.26,13981.24,34180.68,9291.06,22269.28,378.79,4031,5815.91,3511.73,5410.55,1243.72,1222.2,1313.65,7547.36,6480,5331.04,16976.93,14718.49,0,2299.3,3784.45,0,22354.62,0,7235.73,12714.8,0,0,0,0,5226,0,0,1,0,0,0,0,62922.03,0,10646.88,84512.21,0,15872.88,0,0
2033,Ling Bob Primary School,Primary,1600589.68,0,34820.82,0,226340,224.5,18022.8,19777.63,28369.16,39472.96,9807.18,0,11930.67,0,0,0,42795.96,758814.71,24892.36,526822.07,47983.42,56417.5,53766.98,40620.29,3146.28,12716.65,17674.94,8197.28,29799.01,30364.53,1424.07,5033.86,15009.92,16346.82,16115.47,113285.08,59936.14,0,5860.48,10863.3,0,31766.07,50690.7,18284,11661.44,0,0,0,0,7890,0,0,1,0,0,0,0,144540.15,10428.26,6906.29,209198.14,0,14796.29,0,10428.26
2040,Bailiffe Bridge J and I School,Primary,716714.94,0,5414.5,0,36350.01,1264,3350,460,19367,12553,880,0,0,0,0,0,43986.09,381487.35,11868.12,108983.67,20920.3,39895.32,10440.58,19873,1436.81,5294,8172.5,1670.88,24359.43,1129.44,1565.19,2081.04,7846.87,9120.5,1699.56,33076.32,14946.78,0,3145.12,6180.14,0,42556.88,63923.65,3486.18,13271.12,0,0,0,0,6239,0,0,1,0,0,0,0,71722.03,0,33615.16,73630.82,0,39854.16,0,0
2042,Carr Green Primary School,Primary,1211052.88,0,16109.66,0,80370,224.5,14879.91,9368.37,36969.32,0,0,29130.49,8362,0,100,0,61032.41,652366.91,5283.92,257901.71,58284.13,57878.73,47983.52,26579.72,1732.33,9139.6,8056.29,4836.28,11043.14,1767.48,2265,5784.81,26698.98,23171,7859.73,79987.98,35349.65,0,15426.93,11794,0,31077.02,5473.07,7363.66,7612.27,0,0,0,45.78,7893,0,0,1,0,37053,0,0,87889.37,999.5,1729.08,152671.05,0,-27430.92,0,1053.72
2046,Withinfields Community Primary School,Primary,1218203.06,0,17127.88,0,111120,289,12701,36921.99,23898.49,5545.13,456.65,11848.89,0,0,0,20161.07,59197.8,705305.22,18629.93,261177.38,16409.16,60234.97,43473.15,28676.91,1432.24,13851.75,16038.88,5109.14,52333.35,3668.76,3018.44,5554.22,21280.63,31552,13298.6,64754.64,11075.54,0,13977.83,9922.19,0,29973.62,16091.87,0,16846.76,0,0,12422.73,0,7345,0,0,1,0,0,0,0,75651.3,10103.79,1275.01,109274.01,0,8620.01,0,17842.13
2048,Bowling Green Primary School,Primary,591722.28,0,15639.34,0,35640,156.3,12205,4948.17,14634.7,10734,284.4,0,13955.53,0,0,0,32185.39,376005.55,25326.25,83915.56,15371.91,38170.85,9102.83,16326.86,1829.01,8276.65,7729.39,1672.21,14237.71,398.92,2258.31,1783.38,8831.13,4399.98,4257.17,40207.63,15922.19,0,2403.82,4755.23,0,36603.46,7687.83,19926.73,6609.06,0,0,0,0,5744,0,0,1,0,13897,0,0,47208.29,0,19485.53,25303.78,0,11332.53,0,0
2050,Holywell Green Primary School,Primary,829162.97,0,3253,0,71420.01,156.3,4475.47,75798.77,30033.92,2816,95,8996.65,1137.62,0,0,0,38503.34,479810.2,28562.64,113766.19,21373.73,42026.93,129.98,73124.74,502,8446.04,6494.42,976.09,25411.45,23623.46,14551.67,3387.84,18055.49,14050.5,11305.83,44028.24,10143.49,0,3782.49,8171.84,0,71678.9,5370.96,12841.02,7901.21,0,0,0,0,6413,0,0,1,0,0,0,0,82215.21,0,12355.22,98546.91,0,18768.22,0,0
2054,Central Street infant and nursery school,Infant,424532.37,0,4356,0,25080,137.7,5140,16078.33,1846.56,11315.69,5068.89,0,315.16,0,0,0,34206.66,180470.9,820.2,105535.27,21415.4,28387.78,25456.77,12525.84,1210.39,4628.26,5016.95,2135.39,13592.93,90,1602.93,1492.63,5895.79,10846,5203.93,14288.31,10817.06,0,2137.68,4272.25,0,16251.46,0,4057,7940.98,0,0,0,0,5062,0,0,1,0,12499.99,0,0,40881.42,18219,19675.71,82866.68,0,12237.72,0,18219
2055,Cragg Vale J and I School,Primary,288398.34,0,0,0,3960,100.5,1750,40.51,5466.3,0,0,5325,1975.78,0,0,0,19576.34,164343.08,1726.31,27642.24,7579.02,20147.81,4697.5,5985.78,902.02,1518.5,3521.33,580.21,970.83,306.23,1612.76,1760.02,5397.7,0,3344.57,21539.85,914.26,0,1450.99,3204.2,0,11838.63,14808.7,2090.34,13403.27,0,0,0,0,4731,0,0,1,0,5643.38,0,0,17136.93,0,2196.49,22443.55,0,1284.11,0,0
2057,Stubbings infant school,Infant,375102.71,0,4178,0,15360,150.1,2168.5,12960.27,3347.78,17650,207.56,0,931.7,0,150,52472.27,37802.69,181469.87,13365.15,59706.15,16143.93,18481.42,6647.92,10684.41,726.5,2799,4568.39,1768.74,11902.43,389.71,1872.18,1868.04,10292.4,-753.4,828.72,9407.32,11563.09,0,2571.28,3948.77,0,24797.36,0,7620,9279.27,0,0,33625.12,10312.99,4848,0,0,1,0,3985,0,0,46446.89,21392.7,12134.7,104357.55,0,12997.7,0,30076.86
2058,"Heptonstall J, I and N school",Primary,433573.96,0,16317.62,0,17580,131.5,1759.6,2665.63,6016,546,3780.27,4121.48,12359.77,0,0,0,26535.12,241829.16,0,112079.41,15258.51,28728.62,5576.39,11075.17,37.6,4122.15,4816.71,1610.11,2954.64,1350,932.05,1661.45,9186.56,16515.5,5085.33,15773.99,3566.73,0,1960.77,4820.67,0,22323.4,426,7330.54,7489.48,0,0,0,0,5177,0,0,1,0,0,3248.51,0,37753.51,0,7644.25,36629.52,0,9572.74,0,0
2059,Colden J and I School,Primary,467897.9,0,0,0,16260,116,2050,2406.57,12961.8,882,2733.02,11830.25,10000,0,0,0,26541.57,256691.93,22020.62,48158,18828.29,26363.78,7080.74,5928.75,5150,6505.9,5465.2,561.59,16316.97,1220.51,778.62,1628.62,6766.46,2455.47,7938.19,23624.31,15815.83,0,2844.77,3916.46,0,23854.21,0,8116.73,9792.82,1980,41870.77,0,0,5328,0,41870.77,1,0,142370.77,0,0,65338.89,0,32546.63,47342.46,0,4874.63,-67500,0
2060,Shelf J and I School,Primary,1067204.41,0,8083,0,76634.65,1218.3,1083.33,44,26403.63,9141.33,2265.94,7806.86,3824.17,0,0,0,56794.48,570710.4,24617.7,144970.66,13522.74,48835.2,0,29575.57,535.74,18537.17,12718.4,1626.76,18825.22,1843.44,19503.64,4800,18370.16,11955.25,34104.91,60111.71,28242.36,0,5033.8,8937.57,0,71582.43,77466.52,7718.2,8847.92,0,0,0,0,7431,0,0,1,0,6200,0,0,65617.22,0,5585,83127.85,0,6816,0,0
2061,Ripponden J and I School,Primary,795329.35,0,5024,0,23020,662.5,3147.48,6515.88,26070.1,5824,2692.53,0,13595.09,0,0,0,47828.81,423559.79,15488.64,124961.58,26503.85,32955.64,32852.21,12878.46,277.43,9101.33,9221.16,1836.62,103157.72,1894.92,1400.24,4821.61,15053.31,14050.5,4830.67,43497.66,16519.8,0,2937.1,6536.73,0,25254.33,768.5,1050,6952.52,0,0,0,0,6453,0,0,1,0,19562,0,0,53692.09,0,16436.45,45039.51,0,3327.45,0,0
2065,Midgley school,Primary,424469.53,0,6498.92,0,6600,1131.5,9355,16589.76,9758.57,0,949.5,8570.58,0,0,0,0,27716.32,249053.97,984.51,76434.94,14361.33,28658.23,4958.2,22743.45,147.06,2400.32,4842.66,1350.33,16662.24,1379.2,773.3,1200,11638.25,11708.75,1248.2,19679.92,3943.39,0,4349.63,4313.17,0,21445.83,2142.98,10582.5,10201.93,0,0,0,0,5159,0,0,1,0,0,0,1357.5,36545.19,0,1262.15,20980.58,0,5063.65,0,0
2066,New Road primary school,Primary,565075.86,0,0,0,90119.4,0,1450,26341.96,10378.77,0,9182.91,0,895.8,0,0,31273.84,31397.3,261110.81,495.04,86177.94,33132.23,35642.61,0,23017.96,0,6934.7,5953.17,3061.79,23346.37,9641.35,1858,2609.15,16878.44,5640,13848.89,22133.89,28143.03,0,4716.43,5782.78,0,22299.19,2070,53036.46,4861.84,0,0,28089.69,3405.81,5080,0,0,1,0,2300,0,0,61135.74,3034.78,9938.07,123585.67,0,12718.07,0,2813.12
2067,Tuel Lane infant school,Infant,584098.78,0,2126.25,0,34230.9,0,3392.5,6722.87,0,0,1479.56,0,3410.23,0,0,0,44058,309463.85,14737.56,133295.89,26775.29,26564.41,11162.2,25578.66,2002.78,6515,6639.92,2652.82,3916.11,0,2520.09,2187.9,9161.52,6240,7877.81,24874.77,13264.09,0,1495.12,5004.31,0,36093.55,0,6388.32,5412.25,0,0,0,0,5476,0,0,1,0,1738.44,0,0,30812.99,0,10738.34,20507.86,0,14475.9,0,0
2068,Castle Hill J and I School,Primary,1027431.65,0,6654,0,96469.99,199.7,46763,60557.73,26956.88,11363.48,53974.04,8015.08,0,0,0,0,43256.52,496551.47,68446.38,201575.33,29498.96,38053.29,48087.13,87061.65,3612.29,18793.7,11131.12,6564.95,53515.03,35529.87,721.14,4515,14506.1,8729.45,8580.22,61080.38,14708.72,0,4953.8,8439.7,2405,28706.05,0,27011.33,17689.7,0,78701.66,0,0,7087,0,78701.66,1,0,79552.88,0,0,42073.91,0,-2211.16,44546.56,0,4024.62,0,0
